variant,N,P,imb,delta,rep,seconds,rc
ghc,50000,1,0,0,1,0.012544,0
ghc,50000,1,0,0,2,0.012347,0
ghc,50000,1,0,0,3,0.012589,0
ghc,50000,1,5,0,1,0.012433,0
ghc,50000,1,5,0,2,0.012225,0
ghc,50000,1,5,0,3,0.012330,0
ghc,50000,1,10,0,1,0.012594,0
ghc,50000,1,10,0,2,0.012291,0
ghc,50000,1,10,0,3,0.012460,0
ghc,50000,1,15,0,1,0.012736,0
ghc,50000,1,15,0,2,0.012584,0
ghc,50000,1,15,0,3,0.012529,0
ghc,50000,1,20,0,1,0.012778,0
ghc,50000,1,20,0,2,0.012589,0
ghc,50000,1,20,0,3,0.012720,0
ghc,50000,1,25,0,1,0.012172,0
ghc,50000,1,25,0,2,0.012570,0
ghc,50000,1,25,0,3,0.012585,0
ghc,50000,1,30,0,1,0.012498,0
ghc,50000,1,30,0,2,0.012457,0
ghc,50000,1,30,0,3,0.012278,0
ghc,50000,1,35,0,1,0.012829,0
ghc,50000,1,35,0,2,0.012415,0
ghc,50000,1,35,0,3,0.012289,0
ghc,50000,1,40,0,1,0.012584,0
ghc,50000,1,40,0,2,0.012364,0
ghc,50000,1,40,0,3,0.012321,0
ghc,50000,1,45,0,1,0.012614,0
ghc,50000,1,45,0,2,0.012262,0
ghc,50000,1,45,0,3,0.012547,0
ghc,50000,1,50,0,1,0.012603,0
ghc,50000,1,50,0,2,0.012449,0
ghc,50000,1,50,0,3,0.012239,0
ghc,50000,1,55,0,1,0.012703,0
ghc,50000,1,55,0,2,0.012486,0
ghc,50000,1,55,0,3,0.012098,0
ghc,50000,1,60,0,1,0.012371,0
ghc,50000,1,60,0,2,0.012627,0
ghc,50000,1,60,0,3,0.012255,0
ghc,50000,1,65,0,1,0.012535,0
ghc,50000,1,65,0,2,0.012216,0
ghc,50000,1,65,0,3,0.012553,0
ghc,50000,1,70,0,1,0.012621,0
ghc,50000,1,70,0,2,0.012639,0
ghc,50000,1,70,0,3,0.012551,0
ghc,50000,1,75,0,1,0.012679,0
ghc,50000,1,75,0,2,0.012704,0
ghc,50000,1,75,0,3,0.012491,0
ghc,50000,1,80,0,1,0.012559,0
ghc,50000,1,80,0,2,0.012664,0
ghc,50000,1,80,0,3,0.012602,0
ghc,50000,1,85,0,1,0.012732,0
ghc,50000,1,85,0,2,0.012739,0
ghc,50000,1,85,0,3,0.012665,0
ghc,50000,1,90,0,1,0.012588,0
ghc,50000,1,90,0,2,0.012430,0
ghc,50000,1,90,0,3,0.012708,0
ghc,50000,1,95,0,1,0.012737,0
ghc,50000,1,95,0,2,0.012534,0
ghc,50000,1,95,0,3,0.012620,0
ghc,50000,1,100,0,1,0.012411,0
ghc,50000,1,100,0,2,0.012556,0
ghc,50000,1,100,0,3,0.012380,0
ghc,50000,2,0,0,1,0.012949,0
ghc,50000,2,0,0,2,0.012765,0
ghc,50000,2,0,0,3,0.012661,0
ghc,50000,2,5,0,1,0.012817,0
ghc,50000,2,5,0,2,0.012783,0
ghc,50000,2,5,0,3,0.012518,0
ghc,50000,2,10,0,1,0.012846,0
ghc,50000,2,10,0,2,0.012413,0
ghc,50000,2,10,0,3,0.012594,0
ghc,50000,2,15,0,1,0.012938,0
ghc,50000,2,15,0,2,0.012508,0
ghc,50000,2,15,0,3,0.012555,0
ghc,50000,2,20,0,1,0.012615,0
ghc,50000,2,20,0,2,0.012477,0
ghc,50000,2,20,0,3,0.012622,0
ghc,50000,2,25,0,1,0.012563,0
ghc,50000,2,25,0,2,0.012547,0
ghc,50000,2,25,0,3,0.012540,0
ghc,50000,2,30,0,1,0.012766,0
ghc,50000,2,30,0,2,0.012509,0
ghc,50000,2,30,0,3,0.012543,0
ghc,50000,2,35,0,1,0.013094,0
ghc,50000,2,35,0,2,0.012837,0
ghc,50000,2,35,0,3,0.012496,0
ghc,50000,2,40,0,1,0.012608,0
ghc,50000,2,40,0,2,0.012495,0
ghc,50000,2,40,0,3,0.012329,0
ghc,50000,2,45,0,1,0.012466,0
ghc,50000,2,45,0,2,0.012283,0
ghc,50000,2,45,0,3,0.012399,0
ghc,50000,2,50,0,1,0.012681,0
ghc,50000,2,50,0,2,0.012586,0
ghc,50000,2,50,0,3,0.012476,0
ghc,50000,2,55,0,1,0.012706,0
ghc,50000,2,55,0,2,0.012594,0
ghc,50000,2,55,0,3,0.012840,0
ghc,50000,2,60,0,1,0.012942,0
ghc,50000,2,60,0,2,0.012724,0
ghc,50000,2,60,0,3,0.012558,0
ghc,50000,2,65,0,1,0.012511,0
ghc,50000,2,65,0,2,0.012441,0
ghc,50000,2,65,0,3,0.012403,0
ghc,50000,2,70,0,1,0.012874,0
ghc,50000,2,70,0,2,0.012771,0
ghc,50000,2,70,0,3,0.012584,0
ghc,50000,2,75,0,1,0.012985,0
ghc,50000,2,75,0,2,0.012870,0
ghc,50000,2,75,0,3,0.012890,0
ghc,50000,2,80,0,1,0.012541,0
ghc,50000,2,80,0,2,0.012549,0
ghc,50000,2,80,0,3,0.012573,0
ghc,50000,2,85,0,1,0.012756,0
ghc,50000,2,85,0,2,0.012631,0
ghc,50000,2,85,0,3,0.012352,0
ghc,50000,2,90,0,1,0.012481,0
ghc,50000,2,90,0,2,0.012372,0
ghc,50000,2,90,0,3,0.012228,0
ghc,50000,2,95,0,1,0.012484,0
ghc,50000,2,95,0,2,0.012464,0
ghc,50000,2,95,0,3,0.012408,0
ghc,50000,2,100,0,1,0.033713,0
ghc,50000,2,100,0,2,0.023275,0
ghc,50000,2,100,0,3,0.023623,0
ghc,50000,4,0,0,1,0.013033,0
ghc,50000,4,0,0,2,0.012356,0
ghc,50000,4,0,0,3,0.012505,0
ghc,50000,4,5,0,1,0.012591,0
ghc,50000,4,5,0,2,0.012716,0
ghc,50000,4,5,0,3,0.012482,0
ghc,50000,4,10,0,1,0.012488,0
ghc,50000,4,10,0,2,0.012390,0
ghc,50000,4,10,0,3,0.012308,0
ghc,50000,4,15,0,1,0.012679,0
ghc,50000,4,15,0,2,0.012253,0
ghc,50000,4,15,0,3,0.012328,0
ghc,50000,4,20,0,1,0.012646,0
ghc,50000,4,20,0,2,0.012363,0
ghc,50000,4,20,0,3,0.012323,0
ghc,50000,4,25,0,1,0.012349,0
ghc,50000,4,25,0,2,0.012598,0
ghc,50000,4,25,0,3,0.012287,0
ghc,50000,4,30,0,1,0.012528,0
ghc,50000,4,30,0,2,0.012578,0
ghc,50000,4,30,0,3,0.012580,0
ghc,50000,4,35,0,1,0.012908,0
ghc,50000,4,35,0,2,0.012579,0
ghc,50000,4,35,0,3,0.012453,0
ghc,50000,4,40,0,1,0.013130,0
ghc,50000,4,40,0,2,0.012361,0
ghc,50000,4,40,0,3,0.012580,0
ghc,50000,4,45,0,1,0.012945,0
ghc,50000,4,45,0,2,0.012487,0
ghc,50000,4,45,0,3,0.012433,0
ghc,50000,4,50,0,1,0.012579,0
ghc,50000,4,50,0,2,0.012565,0
ghc,50000,4,50,0,3,0.012651,0
ghc,50000,4,55,0,1,0.012975,0
ghc,50000,4,55,0,2,0.012784,0
ghc,50000,4,55,0,3,0.012578,0
ghc,50000,4,60,0,1,0.012606,0
ghc,50000,4,60,0,2,0.012733,0
ghc,50000,4,60,0,3,0.012715,0
ghc,50000,4,65,0,1,0.012972,0
ghc,50000,4,65,0,2,0.012434,0
ghc,50000,4,65,0,3,0.012488,0
ghc,50000,4,70,0,1,0.012938,0
ghc,50000,4,70,0,2,0.012891,0
ghc,50000,4,70,0,3,0.012789,0
ghc,50000,4,75,0,1,0.012749,0
ghc,50000,4,75,0,2,0.012817,0
ghc,50000,4,75,0,3,0.012723,0
ghc,50000,4,80,0,1,0.012786,0
ghc,50000,4,80,0,2,0.012275,0
ghc,50000,4,80,0,3,0.012550,0
ghc,50000,4,85,0,1,0.012709,0
ghc,50000,4,85,0,2,0.012673,0
ghc,50000,4,85,0,3,0.012785,0
ghc,50000,4,90,0,1,0.012811,0
ghc,50000,4,90,0,2,0.012645,0
ghc,50000,4,90,0,3,0.012619,0
ghc,50000,4,95,0,1,0.012339,0
ghc,50000,4,95,0,2,0.012560,0
ghc,50000,4,95,0,3,0.012598,0
ghc,50000,4,100,0,1,0.055045,0
ghc,50000,4,100,0,2,0.054940,0
ghc,50000,4,100,0,3,0.066349,0
ghc,50000,8,0,0,1,0.012587,0
ghc,50000,8,0,0,2,0.012771,0
ghc,50000,8,0,0,3,0.012880,0
ghc,50000,8,5,0,1,0.012716,0
ghc,50000,8,5,0,2,0.012419,0
ghc,50000,8,5,0,3,0.012253,0
ghc,50000,8,10,0,1,0.012552,0
ghc,50000,8,10,0,2,0.012573,0
ghc,50000,8,10,0,3,0.012574,0
ghc,50000,8,15,0,1,0.012610,0
ghc,50000,8,15,0,2,0.012342,0
ghc,50000,8,15,0,3,0.012294,0
ghc,50000,8,20,0,1,0.012974,0
ghc,50000,8,20,0,2,0.012657,0
ghc,50000,8,20,0,3,0.012550,0
ghc,50000,8,25,0,1,0.012732,0
ghc,50000,8,25,0,2,0.012530,0
ghc,50000,8,25,0,3,0.012413,0
ghc,50000,8,30,0,1,0.012664,0
ghc,50000,8,30,0,2,0.012701,0
ghc,50000,8,30,0,3,0.012763,0
ghc,50000,8,35,0,1,0.012760,0
ghc,50000,8,35,0,2,0.012757,0
ghc,50000,8,35,0,3,0.012436,0
ghc,50000,8,40,0,1,0.012750,0
ghc,50000,8,40,0,2,0.012356,0
ghc,50000,8,40,0,3,0.012597,0
ghc,50000,8,45,0,1,0.012539,0
ghc,50000,8,45,0,2,0.012508,0
ghc,50000,8,45,0,3,0.012439,0
ghc,50000,8,50,0,1,0.012296,0
ghc,50000,8,50,0,2,0.012811,0
ghc,50000,8,50,0,3,0.012475,0
ghc,50000,8,55,0,1,0.012880,0
ghc,50000,8,55,0,2,0.012753,0
ghc,50000,8,55,0,3,0.012676,0
ghc,50000,8,60,0,1,0.013043,0
ghc,50000,8,60,0,2,0.012728,0
ghc,50000,8,60,0,3,0.012769,0
ghc,50000,8,65,0,1,0.012792,0
ghc,50000,8,65,0,2,0.012436,0
ghc,50000,8,65,0,3,0.012474,0
ghc,50000,8,70,0,1,0.012970,0
ghc,50000,8,70,0,2,0.012441,0
ghc,50000,8,70,0,3,0.012365,0
ghc,50000,8,75,0,1,0.012882,0
ghc,50000,8,75,0,2,0.012901,0
ghc,50000,8,75,0,3,0.012913,0
ghc,50000,8,80,0,1,0.012683,0
ghc,50000,8,80,0,2,0.012706,0
ghc,50000,8,80,0,3,0.012787,0
ghc,50000,8,85,0,1,0.012611,0
ghc,50000,8,85,0,2,0.012630,0
ghc,50000,8,85,0,3,0.012533,0
ghc,50000,8,90,0,1,0.012661,0
ghc,50000,8,90,0,2,0.012584,0
ghc,50000,8,90,0,3,0.012705,0
ghc,50000,8,95,0,1,0.012836,0
ghc,50000,8,95,0,2,0.012885,0
ghc,50000,8,95,0,3,0.012660,0
ghc,50000,8,100,0,1,0.128532,0
ghc,50000,8,100,0,2,0.131242,0
ghc,50000,8,100,0,3,0.131137,0
ghc,100000,1,0,0,1,0.012481,0
ghc,100000,1,0,0,2,0.012743,0
ghc,100000,1,0,0,3,0.012433,0
ghc,100000,1,5,0,1,0.012732,0
ghc,100000,1,5,0,2,0.012705,0
ghc,100000,1,5,0,3,0.012441,0
ghc,100000,1,10,0,1,0.012540,0
ghc,100000,1,10,0,2,0.012526,0
ghc,100000,1,10,0,3,0.012327,0
ghc,100000,1,15,0,1,0.012773,0
ghc,100000,1,15,0,2,0.012657,0
ghc,100000,1,15,0,3,0.012737,0
ghc,100000,1,20,0,1,0.012579,0
ghc,100000,1,20,0,2,0.012710,0
ghc,100000,1,20,0,3,0.012589,0
ghc,100000,1,25,0,1,0.012866,0
ghc,100000,1,25,0,2,0.012483,0
ghc,100000,1,25,0,3,0.012596,0
ghc,100000,1,30,0,1,0.012612,0
ghc,100000,1,30,0,2,0.012731,0
ghc,100000,1,30,0,3,0.012736,0
ghc,100000,1,35,0,1,0.012341,0
ghc,100000,1,35,0,2,0.012242,0
ghc,100000,1,35,0,3,0.012248,0
ghc,100000,1,40,0,1,0.012876,0
ghc,100000,1,40,0,2,0.012580,0
ghc,100000,1,40,0,3,0.013359,0
ghc,100000,1,45,0,1,0.012761,0
ghc,100000,1,45,0,2,0.012744,0
ghc,100000,1,45,0,3,0.012763,0
ghc,100000,1,50,0,1,0.012443,0
ghc,100000,1,50,0,2,0.012449,0
ghc,100000,1,50,0,3,0.012552,0
ghc,100000,1,55,0,1,0.012615,0
ghc,100000,1,55,0,2,0.012718,0
ghc,100000,1,55,0,3,0.012692,0
ghc,100000,1,60,0,1,0.013053,0
ghc,100000,1,60,0,2,0.012592,0
ghc,100000,1,60,0,3,0.012622,0
ghc,100000,1,65,0,1,0.012714,0
ghc,100000,1,65,0,2,0.012364,0
ghc,100000,1,65,0,3,0.012463,0
ghc,100000,1,70,0,1,0.012987,0
ghc,100000,1,70,0,2,0.012850,0
ghc,100000,1,70,0,3,0.012702,0
ghc,100000,1,75,0,1,0.012927,0
ghc,100000,1,75,0,2,0.012725,0
ghc,100000,1,75,0,3,0.012738,0
ghc,100000,1,80,0,1,0.012533,0
ghc,100000,1,80,0,2,0.012220,0
ghc,100000,1,80,0,3,0.012382,0
ghc,100000,1,85,0,1,0.013032,0
ghc,100000,1,85,0,2,0.012540,0
