variant,N,P,imb,delta,rep,seconds,rc
parpseq,50000,1,0,0,1,0.012690,0
parpseq,50000,1,0,0,2,0.012579,0
parpseq,50000,1,0,0,3,0.012557,0
parpseq,50000,1,5,0,1,0.012706,0
parpseq,50000,1,5,0,2,0.012764,0
parpseq,50000,1,5,0,3,0.012414,0
parpseq,50000,1,10,0,1,0.012556,0
parpseq,50000,1,10,0,2,0.012507,0
parpseq,50000,1,10,0,3,0.012692,0
parpseq,50000,1,15,0,1,0.012643,0
parpseq,50000,1,15,0,2,0.012604,0
parpseq,50000,1,15,0,3,0.012508,0
parpseq,50000,1,20,0,1,0.012479,0
parpseq,50000,1,20,0,2,0.012633,0
parpseq,50000,1,20,0,3,0.012255,0
parpseq,50000,1,25,0,1,0.012759,0
parpseq,50000,1,25,0,2,0.012628,0
parpseq,50000,1,25,0,3,0.012306,0
parpseq,50000,1,30,0,1,0.012823,0
parpseq,50000,1,30,0,2,0.012648,0
parpseq,50000,1,30,0,3,0.012616,0
parpseq,50000,1,35,0,1,0.012625,0
parpseq,50000,1,35,0,2,0.012582,0
parpseq,50000,1,35,0,3,0.012449,0
parpseq,50000,1,40,0,1,0.012592,0
parpseq,50000,1,40,0,2,0.012711,0
parpseq,50000,1,40,0,3,0.012284,0
parpseq,50000,1,45,0,1,0.012439,0
parpseq,50000,1,45,0,2,0.012462,0
parpseq,50000,1,45,0,3,0.012564,0
parpseq,50000,1,50,0,1,0.012648,0
parpseq,50000,1,50,0,2,0.012531,0
parpseq,50000,1,50,0,3,0.012648,0
parpseq,50000,1,55,0,1,0.012770,0
parpseq,50000,1,55,0,2,0.012539,0
parpseq,50000,1,55,0,3,0.012438,0
parpseq,50000,1,60,0,1,0.012651,0
parpseq,50000,1,60,0,2,0.012845,0
parpseq,50000,1,60,0,3,0.012429,0
parpseq,50000,1,65,0,1,0.013007,0
parpseq,50000,1,65,0,2,0.012657,0
parpseq,50000,1,65,0,3,0.012364,0
parpseq,50000,1,70,0,1,0.012715,0
parpseq,50000,1,70,0,2,0.012790,0
parpseq,50000,1,70,0,3,0.012722,0
parpseq,50000,1,75,0,1,0.012829,0
parpseq,50000,1,75,0,2,0.012507,0
parpseq,50000,1,75,0,3,0.012739,0
parpseq,50000,1,80,0,1,0.013065,0
parpseq,50000,1,80,0,2,0.012479,0
