variant,N,P,imb,delta,rep,seconds,rc
super,50000,1,0,0,1,0.000403607,0
super,50000,1,0,0,2,0.000453934,0
super,50000,1,0,0,3,0.000458880,0
super,50000,1,5,0,1,0.000456938,0
super,50000,1,5,0,2,0.000363562,0
super,50000,1,5,0,3,0.000473810,0
super,50000,1,10,0,1,0.000388011,0
super,50000,1,10,0,2,0.000520091,0
super,50000,1,10,0,3,0.000545326,0
super,50000,1,15,0,1,0.000522772,0
super,50000,1,15,0,2,0.000566332,0
super,50000,1,15,0,3,0.000505357,0
super,50000,1,20,0,1,0.000372953,0
super,50000,1,20,0,2,0.000373201,0
super,50000,1,20,0,3,0.000360684,0
super,50000,1,25,0,1,0.000378699,0
super,50000,1,25,0,2,0.000392266,0
super,50000,1,25,0,3,0.000350489,0
super,50000,1,30,0,1,0.000710205,0
super,50000,1,30,0,2,0.000351192,0
super,50000,1,30,0,3,0.000417749,0
super,50000,1,35,0,1,0.000424914,0
super,50000,1,35,0,2,0.000420612,0
super,50000,1,35,0,3,0.000442053,0
super,50000,1,40,0,1,0.000474906,0
super,50000,1,40,0,2,0.000382904,0
super,50000,1,40,0,3,0.000349106,0
super,50000,1,45,0,1,0.000449307,0
super,50000,1,45,0,2,0.000373544,0
super,50000,1,45,0,3,0.000448631,0
super,50000,1,50,0,1,0.000444445,0
super,50000,1,50,0,2,0.000343874,0
super,50000,1,50,0,3,0.000498967,0
super,50000,1,55,0,1,0.000489637,0
super,50000,1,55,0,2,0.000834633,0
super,50000,1,55,0,3,0.000525371,0
super,50000,1,60,0,1,0.000594121,0
super,50000,1,60,0,2,0.000472368,0
super,50000,1,60,0,3,0.000430523,0
super,50000,1,65,0,1,0.000400403,0
super,50000,1,65,0,2,0.000441067,0
super,50000,1,65,0,3,0.000434801,0
super,50000,1,70,0,1,0.000468673,0
super,50000,1,70,0,2,0.000363750,0
super,50000,1,70,0,3,0.000570073,0
super,50000,1,75,0,1,0.000454511,0
super,50000,1,75,0,2,0.000449080,0
super,50000,1,75,0,3,0.000516843,0
super,50000,1,80,0,1,0.001144985,0
super,50000,1,80,0,2,0.000472318,0
super,50000,1,80,0,3,0.000456747,0
super,50000,1,85,0,1,0.001042906,0
super,50000,1,85,0,2,0.000512515,0
super,50000,1,85,0,3,0.000452447,0
super,50000,1,90,0,1,0.000382994,0
super,50000,1,90,0,2,0.000571533,0
super,50000,1,90,0,3,0.000559064,0
super,50000,1,95,0,1,0.000508767,0
super,50000,1,95,0,2,0.000377109,0
super,50000,1,95,0,3,0.000377438,0
super,50000,1,100,0,1,0.000448592,0
super,50000,1,100,0,2,0.000383058,0
super,50000,1,100,0,3,0.000366996,0
super,50000,2,0,0,1,0.001540856,0
super,50000,2,0,0,2,0.001634191,0
super,50000,2,0,0,3,0.001665792,0
super,50000,2,5,0,1,0.001224288,0
super,50000,2,5,0,2,0.001638984,0
super,50000,2,5,0,3,0.001630568,0
super,50000,2,10,0,1,0.001526084,0
super,50000,2,10,0,2,0.001543793,0
super,50000,2,10,0,3,0.001718100,0
super,50000,2,15,0,1,0.001550317,0
super,50000,2,15,0,2,0.001579302,0
super,50000,2,15,0,3,0.001491343,0
super,50000,2,20,0,1,0.001563385,0
super,50000,2,20,0,2,0.001408533,0
super,50000,2,20,0,3,0.001531383,0
super,50000,2,25,0,1,0.001643856,0
super,50000,2,25,0,2,0.001619101,0
