variant,N,P,imb,delta,rep,seconds,rc
super,10000,1,0,0,1,0.000514524,0
super,10000,1,0,0,2,0.000548147,0
super,10000,1,0,0,3,0.000400589,0
super,10000,1,5,0,1,0.000539336,0
super,10000,1,5,0,2,0.000447017,0
super,10000,1,5,0,3,0.000422539,0
super,10000,1,10,0,1,0.000519716,0
super,10000,1,10,0,2,0.000442815,0
super,10000,1,10,0,3,0.000424737,0
super,10000,1,15,0,1,0.000572091,0
super,10000,1,15,0,2,0.000545658,0
super,10000,1,15,0,3,0.000469130,0
super,10000,1,20,0,1,0.000599371,0
super,10000,1,20,0,2,0.000372230,0
super,10000,1,20,0,3,0.001464276,0
super,10000,1,25,0,1,0.000426305,0
super,10000,1,25,0,2,0.000353179,0
super,10000,1,25,0,3,0.000535317,0
super,10000,1,30,0,1,0.000639592,0
super,10000,1,30,0,2,0.001584911,0
super,10000,1,30,0,3,0.000463229,0
super,10000,1,35,0,1,0.000365984,0
super,10000,1,35,0,2,0.000394500,0
super,10000,1,35,0,3,0.000548462,0
super,10000,1,40,0,1,0.000498795,0
super,10000,1,40,0,2,0.000417200,0
super,10000,1,40,0,3,0.000414723,0
super,10000,1,45,0,1,0.000538157,0
super,10000,1,45,0,2,0.000560766,0
super,10000,1,45,0,3,0.000550032,0
super,10000,1,50,0,1,0.000428248,0
super,10000,1,50,0,2,0.000370257,0
super,10000,1,50,0,3,0.000533167,0
super,10000,1,55,0,1,0.000434362,0
super,10000,1,55,0,2,0.000359242,0
super,10000,1,55,0,3,0.000561197,0
super,10000,1,60,0,1,0.000587816,0
super,10000,1,60,0,2,0.000579119,0
super,10000,1,60,0,3,0.000503570,0
super,10000,1,65,0,1,0.000371137,0
super,10000,1,65,0,2,0.000444996,0
super,10000,1,65,0,3,0.000441285,0
super,10000,1,70,0,1,0.000446627,0
super,10000,1,70,0,2,0.000441197,0
super,10000,1,70,0,3,0.001262806,0
super,10000,1,75,0,1,0.000866696,0
super,10000,1,75,0,2,0.000525282,0
super,10000,1,75,0,3,0.000985663,0
super,10000,1,80,0,1,0.000543594,0
super,10000,1,80,0,2,0.000606427,0
super,10000,1,80,0,3,0.000650956,0
super,10000,1,85,0,1,0.000458045,0
super,10000,1,85,0,2,0.000437868,0
super,10000,1,85,0,3,0.000505020,0
super,10000,1,90,0,1,0.000463225,0
super,10000,1,90,0,2,0.000468603,0
super,10000,1,90,0,3,0.000637530,0
super,10000,1,95,0,1,0.000489416,0
super,10000,1,95,0,2,0.000471219,0
super,10000,1,95,0,3,0.000470128,0
super,10000,1,100,0,1,0.000494149,0
super,10000,1,100,0,2,0.000482038,0
super,10000,1,100,0,3,0.000519118,0
super,10000,2,0,0,1,0.001591172,0
super,10000,2,0,0,2,0.001088882,0
super,10000,2,0,0,3,0.001772856,0
super,10000,2,5,0,1,0.001628951,0
super,10000,2,5,0,2,0.001311206,0
super,10000,2,5,0,3,0.001614209,0
super,10000,2,10,0,1,0.001835686,0
super,10000,2,10,0,2,0.001231388,0
super,10000,2,10,0,3,0.001824233,0
super,10000,2,15,0,1,0.001609139,0
super,10000,2,15,0,2,0.001857465,0
super,10000,2,15,0,3,0.001606977,0
super,10000,2,20,0,1,0.001675078,0
super,10000,2,20,0,2,0.001826556,0
super,10000,2,20,0,3,0.001612575,0
super,10000,2,25,0,1,0.001676628,0
super,10000,2,25,0,2,0.001635309,0
super,10000,2,25,0,3,0.001758971,0
super,10000,2,30,0,1,0.001570232,0
super,10000,2,30,0,2,0.001632611,0
super,10000,2,30,0,3,0.001743217,0
super,10000,2,35,0,1,0.001584081,0
super,10000,2,35,0,2,0.001614248,0
super,10000,2,35,0,3,0.001615878,0
super,10000,2,40,0,1,0.001651094,0
super,10000,2,40,0,2,0.001582301,0
super,10000,2,40,0,3,0.001582649,0
super,10000,2,45,0,1,0.001713489,0
super,10000,2,45,0,2,0.001528880,0
super,10000,2,45,0,3,0.001617253,0
super,10000,2,50,0,1,0.001671181,0
super,10000,2,50,0,2,0.001667875,0
super,10000,2,50,0,3,0.001574543,0
super,10000,2,55,0,1,0.002028984,0
super,10000,2,55,0,2,0.001660238,0
super,10000,2,55,0,3,0.001627198,0
super,10000,2,60,0,1,0.001576566,0
super,10000,2,60,0,2,0.001540700,0
super,10000,2,60,0,3,0.001966980,0
super,10000,2,65,0,1,0.001394436,0
super,10000,2,65,0,2,0.001602529,0
super,10000,2,65,0,3,0.001581953,0
super,10000,2,70,0,1,0.001808156,0
super,10000,2,70,0,2,0.001747674,0
super,10000,2,70,0,3,0.001633953,0
super,10000,2,75,0,1,0.001921534,0
super,10000,2,75,0,2,0.001690131,0
super,10000,2,75,0,3,0.001849121,0
super,10000,2,80,0,1,0.001613247,0
super,10000,2,80,0,2,0.001640085,0
super,10000,2,80,0,3,0.001493910,0
super,10000,2,85,0,1,0.001588560,0
super,10000,2,85,0,2,0.001658079,0
super,10000,2,85,0,3,0.001341895,0
super,10000,2,90,0,1,0.001636697,0
super,10000,2,90,0,2,0.001529362,0
super,10000,2,90,0,3,0.002169790,0
super,10000,2,95,0,1,0.001633003,0
super,10000,2,95,0,2,0.001651322,0
super,10000,2,95,0,3,0.001790296,0
super,10000,2,100,0,1,0.001617162,0
super,10000,2,100,0,2,0.002111464,0
super,10000,2,100,0,3,0.001605639,0
super,10000,4,0,0,1,0.003522215,0
super,10000,4,0,0,2,0.002607026,0
super,10000,4,0,0,3,0.002091366,0
super,10000,4,5,0,1,0.002256025,0
super,10000,4,5,0,2,0.002328169,0
super,10000,4,5,0,3,0.004785954,0
super,10000,4,10,0,1,0.003733262,0
super,10000,4,10,0,2,0.002513855,0
super,10000,4,10,0,3,0.002167046,0
super,10000,4,15,0,1,0.002731164,0
super,10000,4,15,0,2,0.003553165,0
super,10000,4,15,0,3,0.002145116,0
super,10000,4,20,0,1,0.002830045,0
super,10000,4,20,0,2,0.002037464,0
super,10000,4,20,0,3,0.004286325,0
super,10000,4,25,0,1,0.002751647,0
super,10000,4,25,0,2,0.003120472,0
super,10000,4,25,0,3,0.008998206,0
super,10000,4,30,0,1,0.002656791,0
super,10000,4,30,0,2,0.002576044,0
super,10000,4,30,0,3,0.003651398,0
super,10000,4,35,0,1,0.002354787,0
super,10000,4,35,0,2,0.002387541,0
super,10000,4,35,0,3,0.003074595,0
super,10000,4,40,0,1,0.002538573,0
super,10000,4,40,0,2,0.002093582,0
super,10000,4,40,0,3,0.002996536,0
super,10000,4,45,0,1,0.002476518,0
super,10000,4,45,0,2,0.002753958,0
super,10000,4,45,0,3,0.002374176,0
super,10000,4,50,0,1,0.003324420,0
super,10000,4,50,0,2,0.745591908,0
super,10000,4,50,0,3,0.007108455,0
super,10000,4,55,0,1,0.002616436,0
super,10000,4,55,0,2,0.004052825,0
super,10000,4,55,0,3,0.002284312,0
super,10000,4,60,0,1,0.002467386,0
super,10000,4,60,0,2,0.002269016,0
