variant,N,cutoff,P,rep,seconds,rc
ghc,35,15,1,1,9.91666e-4,0
ghc,35,15,1,2,1.144027e-3,0
ghc,35,15,1,3,8.76491e-4,0
ghc,35,15,2,1,9.77165e-4,0
ghc,35,15,2,2,8.71441e-4,0
ghc,35,15,2,3,1.358653e-3,0
ghc,35,15,4,1,1.356591e-3,0
ghc,35,15,4,2,8.8771e-4,0
ghc,35,15,4,3,1.85366e-3,0
ghc,35,15,8,1,5.01783e-4,0
ghc,35,15,8,2,1.973823e-3,0
ghc,35,15,8,3,1.983542e-3,0
ghc,35,20,1,1,1.13189e-4,0
ghc,35,20,1,2,7.6381e-5,0
ghc,35,20,1,3,1.19954e-4,0
ghc,35,20,2,1,1.26026e-4,0
ghc,35,20,2,2,1.39635e-4,0
ghc,35,20,2,3,1.01025e-4,0
ghc,35,20,4,1,1.17007e-4,0
ghc,35,20,4,2,9.9636e-5,0
ghc,35,20,4,3,8.0964e-5,0
ghc,35,20,8,1,1.85377e-4,0
ghc,35,20,8,2,1.67477e-4,0
ghc,35,20,8,3,1.56138e-4,0
ghc,35,25,1,1,7.088e-6,0
ghc,35,25,1,2,1.2042e-5,0
ghc,35,25,1,3,1.221e-5,0
ghc,35,25,2,1,9.669e-6,0
ghc,35,25,2,2,1.3424e-5,0
ghc,35,25,2,3,1.0647e-5,0
ghc,35,25,4,1,1.0929e-5,0
ghc,35,25,4,2,1.2001e-5,0
ghc,35,25,4,3,9.69e-6,0
ghc,35,25,8,1,1.871e-5,0
ghc,35,25,8,2,1.182e-5,0
ghc,35,25,8,3,1.3363e-5,0
ghc,35,30,1,1,1.381e-6,0
ghc,35,30,1,2,9.17e-7,0
ghc,35,30,1,3,1.083e-6,0
ghc,35,30,2,1,1.383e-6,0
ghc,35,30,2,2,1.169e-6,0
ghc,35,30,2,3,8.88e-7,0
ghc,35,30,4,1,2.412e-6,0
ghc,35,30,4,2,1.622e-6,0
ghc,35,30,4,3,1.625e-6,0
ghc,35,30,8,1,1.4142e-5,0
ghc,35,30,8,2,1.8664e-5,0
ghc,35,30,8,3,1.3656e-5,0
