variant,N,cutoff,P,rep,seconds,rc
parpseq,35,15,1,1,4.7346287e-2,0
parpseq,35,15,1,2,4.9328302e-2,0
parpseq,35,15,1,3,5.0270071e-2,0
parpseq,35,15,2,1,2.8349147e-2,0
parpseq,35,15,2,2,3.0691883e-2,0
parpseq,35,15,2,3,3.0616463e-2,0
parpseq,35,15,4,1,2.2866439e-2,0
parpseq,35,15,4,2,2.9408849e-2,0
parpseq,35,15,4,3,2.8868886e-2,0
parpseq,35,15,8,1,2.9373149e-2,0
parpseq,35,15,8,2,2.8609167e-2,0
parpseq,35,15,8,3,1.8305421e-2,0
parpseq,35,20,1,1,4.816997e-2,0
parpseq,35,20,1,2,4.8463525e-2,0
parpseq,35,20,1,3,4.7694187e-2,0
parpseq,35,20,2,1,3.0461653e-2,0
parpseq,35,20,2,2,3.622851e-2,0
parpseq,35,20,2,3,3.0564244e-2,0
parpseq,35,20,4,1,1.8227218e-2,0
parpseq,35,20,4,2,2.0865688e-2,0
parpseq,35,20,4,3,3.6417804e-2,0
parpseq,35,20,8,1,4.3668949e-2,0
parpseq,35,20,8,2,2.086227e-2,0
parpseq,35,20,8,3,2.8079928e-2,0
parpseq,35,25,1,1,4.6500171e-2,0
parpseq,35,25,1,2,4.589585e-2,0
parpseq,35,25,1,3,4.7775905e-2,0
parpseq,35,25,2,1,3.7159846e-2,0
parpseq,35,25,2,2,3.1763777e-2,0
parpseq,35,25,2,3,2.9040789e-2,0
parpseq,35,25,4,1,3.2548673e-2,0
parpseq,35,25,4,2,3.0462327e-2,0
parpseq,35,25,4,3,3.554421e-2,0
parpseq,35,25,8,1,2.1279402e-2,0
parpseq,35,25,8,2,2.0771284e-2,0
parpseq,35,25,8,3,2.1036814e-2,0
parpseq,35,30,1,1,4.7234901e-2,0
parpseq,35,30,1,2,4.5865156e-2,0
parpseq,35,30,1,3,4.7572133e-2,0
parpseq,35,30,2,1,4.4781735e-2,0
parpseq,35,30,2,2,3.3583006e-2,0
parpseq,35,30,2,3,3.1789041e-2,0
parpseq,35,30,4,1,4.0965301e-2,0
parpseq,35,30,4,2,3.2211054e-2,0
parpseq,35,30,4,3,3.5649193e-2,0
parpseq,35,30,8,1,3.3146015e-2,0
parpseq,35,30,8,2,3.7027844e-2,0
parpseq,35,30,8,3,2.8822584e-2,0
