variant,N,cutoff,P,rep,seconds,rc
super,35,15,1,1,112.854950009,0
super,35,15,1,2,115.973777061,0
super,35,15,1,3,118.861391123,0
super,35,15,2,1,88.919182368,0
super,35,15,2,2,103.260639916,0
super,35,15,2,3,128.126834813,0
super,35,15,4,1,140.652805794,0
super,35,15,4,2,91.875179537,0
super,35,15,4,3,40.557409333,0
super,35,15,8,1,51.346849937,0
super,35,15,8,2,153.746461383,0
super,35,15,8,3,176.136993177,0
super,35,20,1,1,0.769272609,0
super,35,20,1,2,0.770396467,0
super,35,20,1,3,0.785372905,0
super,35,20,2,1,1.039096676,0
super,35,20,2,2,0.968244497,0
super,35,20,2,3,0.968534056,0
super,35,20,4,1,0.646680385,0
super,35,20,4,2,0.672661755,0
super,35,20,4,3,1.024768185,0
super,35,20,8,1,1.080878080,0
super,35,20,8,2,1.045233100,0
super,35,20,8,3,0.890325869,0
super,35,25,1,1,0.044762554,0
super,35,25,1,2,0.045760037,0
super,35,25,1,3,0.024835353,0
super,35,25,2,1,0.043230277,0
super,35,25,2,2,0.043090885,0
super,35,25,2,3,0.042108486,0
super,35,25,4,1,0.045931405,0
super,35,25,4,2,0.046460108,0
super,35,25,4,3,0.046918172,0
super,35,25,8,1,0.054764373,0
super,35,25,8,2,0.050941696,0
super,35,25,8,3,0.053690868,0
super,35,30,1,1,0.003721796,0
super,35,30,1,2,0.003415948,0
super,35,30,1,3,0.003528427,0
super,35,30,2,1,0.004668000,0
super,35,30,2,2,0.004254227,0
super,35,30,2,3,0.004317178,0
super,35,30,4,1,0.004980260,0
super,35,30,4,2,0.009478673,0
super,35,30,4,3,0.005444239,0
super,35,30,8,1,0.015156458,0
super,35,30,8,2,0.007418734,0
super,35,30,8,3,0.008728464,0
