variant,N,P,edge_prob,seed,rep,seconds,colors,valid,rc
ghc,50,1,0.01,42,1,3.4421e-5,2,True,0
ghc,50,1,0.01,42,2,3.7288e-5,2,True,0
ghc,50,1,0.01,42,3,2.8563e-5,2,True,0
ghc,50,2,0.01,42,1,4.214916e-3,3,True,0
ghc,50,2,0.01,42,2,3.6712e-5,3,True,0
ghc,50,2,0.01,42,3,3.7557e-5,3,True,0
ghc,50,4,0.01,42,1,4.006e-5,3,True,0
ghc,50,4,0.01,42,2,4.0096e-5,3,True,0
ghc,50,4,0.01,42,3,3.9599e-5,3,True,0
ghc,50,8,0.01,42,1,4.4674e-5,3,True,0
ghc,50,8,0.01,42,2,4.2965e-5,3,True,0
ghc,50,8,0.01,42,3,4.3112e-5,3,True,0
ghc,100,1,0.01,42,1,8.7246e-5,3,True,0
ghc,100,1,0.01,42,2,6.5336e-5,3,True,0
ghc,100,1,0.01,42,3,6.4737e-5,3,True,0
ghc,100,2,0.01,42,1,9.6273e-5,4,True,0
ghc,100,2,0.01,42,2,1.06488e-4,4,True,0
ghc,100,2,0.01,42,3,1.13467e-4,4,True,0
ghc,100,4,0.01,42,1,7.9402e-5,5,True,0
ghc,100,4,0.01,42,2,8.2922e-5,5,True,0
ghc,100,4,0.01,42,3,8.9521e-5,5,True,0
ghc,100,8,0.01,42,1,9.8281e-5,4,True,0
ghc,100,8,0.01,42,2,2.02174e-4,4,True,0
ghc,100,8,0.01,42,3,1.31053e-4,4,True,0
ghc,150,1,0.01,42,1,1.1848e-4,5,True,0
ghc,150,1,0.01,42,2,8.2651e-5,5,True,0
ghc,150,1,0.01,42,3,8.1703e-5,5,True,0
ghc,150,2,0.01,42,1,1.58065e-4,5,True,0
ghc,150,2,0.01,42,2,1.58776e-4,5,True,0
ghc,150,2,0.01,42,3,2.0926e-4,5,True,0
ghc,150,4,0.01,42,1,1.40516e-4,5,True,0
ghc,150,4,0.01,42,2,1.50315e-4,5,True,0
ghc,150,4,0.01,42,3,1.31906e-4,5,True,0
ghc,150,8,0.01,42,1,1.07386e-4,5,True,0
ghc,150,8,0.01,42,2,1.1355e-4,5,True,0
ghc,150,8,0.01,42,3,1.58239e-4,5,True,0
ghc,200,1,0.01,42,1,1.24516e-4,6,True,0
ghc,200,1,0.01,42,2,1.26433e-4,6,True,0
ghc,200,1,0.01,42,3,1.25478e-4,6,True,0
ghc,200,2,0.01,42,1,2.24125e-4,5,True,0
ghc,200,2,0.01,42,2,1.52425e-4,5,True,0
ghc,200,2,0.01,42,3,1.99703e-4,5,True,0
ghc,200,4,0.01,42,1,1.97611e-4,6,True,0
ghc,200,4,0.01,42,2,1.99097e-4,6,True,0
ghc,200,4,0.01,42,3,2.45497e-4,6,True,0
ghc,200,8,0.01,42,1,1.70606e-4,5,True,0
ghc,200,8,0.01,42,2,1.67702e-4,5,True,0
ghc,200,8,0.01,42,3,1.68507e-4,5,True,0
ghc,250,1,0.01,42,1,2.04692e-4,6,True,0
ghc,250,1,0.01,42,2,1.73429e-4,6,True,0
ghc,250,1,0.01,42,3,1.8397e-4,6,True,0
ghc,250,2,0.01,42,1,2.85988e-4,6,True,0
ghc,250,2,0.01,42,2,8.09185e-4,6,True,0
ghc,250,2,0.01,42,3,4.06009e-4,6,True,0
ghc,250,4,0.01,42,1,3.42057e-4,6,True,0
ghc,250,4,0.01,42,2,2.52684e-4,6,True,0
ghc,250,4,0.01,42,3,2.51944e-4,6,True,0
ghc,250,8,0.01,42,1,2.503e-4,6,True,0
ghc,250,8,0.01,42,2,2.39792e-4,6,True,0
ghc,250,8,0.01,42,3,2.52072e-4,6,True,0
ghc,300,1,0.01,42,1,3.02183e-4,6,True,0
ghc,300,1,0.01,42,2,3.02029e-4,6,True,0
ghc,300,1,0.01,42,3,3.40127e-4,6,True,0
ghc,300,2,0.01,42,1,3.53889e-4,6,True,0
ghc,300,2,0.01,42,2,3.88136e-4,6,True,0
ghc,300,2,0.01,42,3,3.90537e-4,6,True,0
ghc,300,4,0.01,42,1,4.14965e-4,6,True,0
ghc,300,4,0.01,42,2,4.22653e-4,6,True,0
ghc,300,4,0.01,42,3,4.28982e-4,6,True,0
ghc,300,8,0.01,42,1,4.35433e-4,6,True,0
ghc,300,8,0.01,42,2,5.80266e-4,6,True,0
ghc,300,8,0.01,42,3,6.64596e-4,6,True,0
ghc,350,1,0.01,42,1,4.00125e-4,6,True,0
ghc,350,1,0.01,42,2,3.44794e-4,6,True,0
ghc,350,1,0.01,42,3,4.07509e-4,6,True,0
