variant,N,P,edge_prob,seed,rep,seconds,colors,valid,rc
parpseq,50,1,0.01,42,1,2.5364e-5,2,True,0
parpseq,50,1,0.01,42,2,3.4195e-5,2,True,0
parpseq,50,1,0.01,42,3,2.5554e-5,2,True,0
parpseq,50,2,0.01,42,1,3.9502e-5,3,True,0
parpseq,50,2,0.01,42,2,5.9609e-5,3,True,0
parpseq,50,2,0.01,42,3,3.9588e-5,3,True,0
parpseq,50,4,0.01,42,1,4.5795e-5,3,True,0
parpseq,50,4,0.01,42,2,4.3986e-5,3,True,0
parpseq,50,4,0.01,42,3,5.6156e-5,3,True,0
parpseq,50,8,0.01,42,1,4.6003e-5,3,True,0
parpseq,50,8,0.01,42,2,4.5124e-5,3,True,0
parpseq,50,8,0.01,42,3,4.5453e-5,3,True,0
parpseq,100,1,0.01,42,1,6.3497e-5,3,True,0
parpseq,100,1,0.01,42,2,6.3854e-5,3,True,0
parpseq,100,1,0.01,42,3,6.5327e-5,3,True,0
parpseq,100,2,0.01,42,1,1.24068e-4,4,True,0
parpseq,100,2,0.01,42,2,1.33135e-4,4,True,0
parpseq,100,2,0.01,42,3,1.03681e-4,4,True,0
parpseq,100,4,0.01,42,1,1.00649e-4,5,True,0
parpseq,100,4,0.01,42,2,9.495e-5,5,True,0
parpseq,100,4,0.01,42,3,1.05043e-4,5,True,0
parpseq,100,8,0.01,42,1,1.81249e-4,5,True,0
parpseq,100,8,0.01,42,2,1.79163e-4,5,True,0
parpseq,100,8,0.01,42,3,2.04958e-4,5,True,0
parpseq,150,1,0.01,42,1,8.2846e-5,5,True,0
parpseq,150,1,0.01,42,2,8.181e-5,5,True,0
parpseq,150,1,0.01,42,3,7.9291e-5,5,True,0
parpseq,150,2,0.01,42,1,1.10834e-4,5,True,0
parpseq,150,2,0.01,42,2,1.11335e-4,5,True,0
parpseq,150,2,0.01,42,3,1.45207e-4,5,True,0
parpseq,150,4,0.01,42,1,1.05535e-4,5,True,0
parpseq,150,4,0.01,42,2,1.31545e-4,5,True,0
parpseq,150,4,0.01,42,3,1.17274e-4,5,True,0
parpseq,150,8,0.01,42,1,1.2088e-4,5,True,0
parpseq,150,8,0.01,42,2,1.22403e-4,5,True,0
parpseq,150,8,0.01,42,3,1.2175e-4,5,True,0
parpseq,200,1,0.01,42,1,1.25159e-4,6,True,0
parpseq,200,1,0.01,42,2,1.30496e-4,6,True,0
parpseq,200,1,0.01,42,3,1.26847e-4,6,True,0
parpseq,200,2,0.01,42,1,1.5355e-4,5,True,0
parpseq,200,2,0.01,42,2,1.54664e-4,5,True,0
parpseq,200,2,0.01,42,3,1.54749e-4,5,True,0
parpseq,200,4,0.01,42,1,2.5331e-4,6,True,0
parpseq,200,4,0.01,42,2,2.25325e-4,6,True,0
parpseq,200,4,0.01,42,3,1.85493e-4,6,True,0
parpseq,200,8,0.01,42,1,2.22872e-4,5,True,0
parpseq,200,8,0.01,42,2,1.69597e-4,5,True,0
parpseq,200,8,0.01,42,3,1.87129e-4,5,True,0
parpseq,250,1,0.01,42,1,1.88982e-4,6,True,0
parpseq,250,1,0.01,42,2,2.36505e-4,6,True,0
parpseq,250,1,0.01,42,3,1.77886e-4,6,True,0
parpseq,250,2,0.01,42,1,2.22446e-4,6,True,0
parpseq,250,2,0.01,42,2,2.73216e-4,6,True,0
parpseq,250,2,0.01,42,3,2.45715e-4,6,True,0
parpseq,250,4,0.01,42,1,2.62084e-4,7,True,0
parpseq,250,4,0.01,42,2,2.76649e-4,7,True,0
parpseq,250,4,0.01,42,3,3.9527e-4,7,True,0
parpseq,250,8,0.01,42,1,2.84333e-4,6,True,0
parpseq,250,8,0.01,42,2,2.74534e-4,6,True,0
parpseq,250,8,0.01,42,3,2.9258e-4,6,True,0
parpseq,300,1,0.01,42,1,2.8613e-4,6,True,0
parpseq,300,1,0.01,42,2,4.92626e-4,6,True,0
parpseq,300,1,0.01,42,3,3.65742e-4,6,True,0
parpseq,300,2,0.01,42,1,3.79702e-4,6,True,0
parpseq,300,2,0.01,42,2,3.61451e-4,6,True,0
parpseq,300,2,0.01,42,3,3.99615e-4,6,True,0
parpseq,300,4,0.01,42,1,4.42724e-4,6,True,0
parpseq,300,4,0.01,42,2,3.9131e-4,6,True,0
parpseq,300,4,0.01,42,3,4.08661e-4,6,True,0
parpseq,300,8,0.01,42,1,4.91865e-4,8,True,0
parpseq,300,8,0.01,42,2,4.6106e-4,8,True,0
parpseq,300,8,0.01,42,3,4.33981e-4,8,True,0
parpseq,350,1,0.01,42,1,3.2325e-4,6,True,0
parpseq,350,1,0.01,42,2,3.35679e-4,6,True,0
parpseq,350,1,0.01,42,3,3.27109e-4,6,True,0
parpseq,350,2,0.01,42,1,4.07663e-4,7,True,0
parpseq,350,2,0.01,42,2,4.04096e-4,7,True,0
parpseq,350,2,0.01,42,3,3.856e-4,7,True,0
parpseq,350,4,0.01,42,1,4.05031e-4,7,True,0
parpseq,350,4,0.01,42,2,4.38572e-4,7,True,0
parpseq,350,4,0.01,42,3,4.05913e-4,7,True,0
parpseq,350,8,0.01,42,1,4.05981e-4,7,True,0
parpseq,350,8,0.01,42,2,4.04288e-4,7,True,0
parpseq,350,8,0.01,42,3,4.23987e-4,7,True,0
parpseq,400,1,0.01,42,1,4.52734e-4,6,True,0
parpseq,400,1,0.01,42,2,4.41437e-4,6,True,0
parpseq,400,1,0.01,42,3,4.8135e-4,6,True,0
parpseq,400,2,0.01,42,1,4.68833e-4,7,True,0
parpseq,400,2,0.01,42,2,4.8334e-4,7,True,0
parpseq,400,2,0.01,42,3,5.1993e-4,7,True,0
parpseq,400,4,0.01,42,1,5.06175e-4,7,True,0
parpseq,400,4,0.01,42,2,5.73319e-4,7,True,0
parpseq,400,4,0.01,42,3,5.75784e-4,7,True,0
parpseq,400,8,0.01,42,1,5.31386e-4,8,True,0
parpseq,400,8,0.01,42,2,5.19714e-4,8,True,0
parpseq,400,8,0.01,42,3,5.40188e-4,8,True,0
parpseq,450,1,0.01,42,1,5.50154e-4,7,True,0
parpseq,450,1,0.01,42,2,5.12623e-4,7,True,0
parpseq,450,1,0.01,42,3,5.57902e-4,7,True,0
parpseq,450,2,0.01,42,1,6.39919e-4,7,True,0
parpseq,450,2,0.01,42,2,5.9163e-4,7,True,0
parpseq,450,2,0.01,42,3,5.92441e-4,7,True,0
parpseq,450,4,0.01,42,1,6.74581e-4,8,True,0
parpseq,450,4,0.01,42,2,6.5292e-4,8,True,0
parpseq,450,4,0.01,42,3,6.5373e-4,8,True,0
parpseq,450,8,0.01,42,1,7.27305e-4,8,True,0
parpseq,450,8,0.01,42,2,7.05653e-4,8,True,0
parpseq,450,8,0.01,42,3,7.55841e-4,8,True,0
parpseq,500,1,0.01,42,1,6.40311e-4,8,True,0
parpseq,500,1,0.01,42,2,6.6928e-4,8,True,0
parpseq,500,1,0.01,42,3,7.00625e-4,8,True,0
parpseq,500,2,0.01,42,1,7.84738e-4,8,True,0
parpseq,500,2,0.01,42,2,7.48007e-4,8,True,0
parpseq,500,2,0.01,42,3,7.76806e-4,8,True,0
parpseq,500,4,0.01,42,1,8.56236e-4,8,True,0
parpseq,500,4,0.01,42,2,1.195971e-3,8,True,0
parpseq,500,4,0.01,42,3,8.01993e-4,8,True,0
parpseq,500,8,0.01,42,1,7.90754e-4,8,True,0
parpseq,500,8,0.01,42,2,7.96078e-4,8,True,0
parpseq,500,8,0.01,42,3,7.84933e-4,8,True,0
parpseq,550,1,0.01,42,1,7.96897e-4,8,True,0
parpseq,550,1,0.01,42,2,8.42434e-4,8,True,0
parpseq,550,1,0.01,42,3,8.05597e-4,8,True,0
