variant,N,P,edge_prob,seed,rep,seconds,colors,valid,rc
super,50,1,0.01,42,1,0.007315952,2,True,0
super,50,1,0.01,42,2,0.007111219,2,True,0
super,50,1,0.01,42,3,0.007481027,2,True,0
super,50,2,0.01,42,1,0.006890938,2,True,0
super,50,2,0.01,42,2,0.006895441,2,True,0
super,50,2,0.01,42,3,0.006805242,2,True,0
super,50,4,0.01,42,1,0.005164939,2,True,0
super,50,4,0.01,42,2,0.005518788,2,True,0
super,50,4,0.01,42,3,0.004945504,2,True,0
super,50,8,0.01,42,1,0.007335889,2,True,0
super,50,8,0.01,42,2,0.009913955,2,True,0
super,50,8,0.01,42,3,0.007316637,2,True,0
super,100,1,0.01,42,1,0.046079478,3,True,0
super,100,1,0.01,42,2,0.048263880,3,True,0
super,100,1,0.01,42,3,0.044329695,3,True,0
super,100,2,0.01,42,1,0.030263025,3,True,0
super,100,2,0.01,42,2,0.030694397,3,True,0
super,100,2,0.01,42,3,0.030518665,3,True,0
super,100,4,0.01,42,1,0.013061422,3,True,0
super,100,4,0.01,42,2,0.017885976,3,True,0
super,100,4,0.01,42,3,0.015024173,3,True,0
super,100,8,0.01,42,1,0.011225975,3,True,0
super,100,8,0.01,42,2,0.018928675,3,True,0
super,100,8,0.01,42,3,0.010390345,3,True,0
super,150,1,0.01,42,1,0.155672511,5,True,0
super,150,1,0.01,42,2,0.144681326,5,True,0
super,150,1,0.01,42,3,0.145815348,5,True,0
super,150,2,0.01,42,1,0.092610927,5,True,0
super,150,2,0.01,42,2,0.093860676,5,True,0
super,150,2,0.01,42,3,0.094002134,5,True,0
super,150,4,0.01,42,1,0.035001325,5,True,0
super,150,4,0.01,42,2,0.037987761,5,True,0
super,150,4,0.01,42,3,0.039366618,5,True,0
super,150,8,0.01,42,1,0.020328921,5,True,0
super,150,8,0.01,42,2,0.020815119,5,True,0
super,150,8,0.01,42,3,0.019582827,5,True,0
super,200,1,0.01,42,1,0.337465273,6,True,0
super,200,1,0.01,42,2,0.338168523,6,True,0
super,200,1,0.01,42,3,0.334948305,6,True,0
super,200,2,0.01,42,1,0.222278873,6,True,0
super,200,2,0.01,42,2,0.221382190,6,True,0
super,200,2,0.01,42,3,0.216954447,6,True,0
super,200,4,0.01,42,1,0.055326427,6,True,0
super,200,4,0.01,42,2,0.065288709,6,True,0
super,200,4,0.01,42,3,0.102983863,6,True,0
super,200,8,0.01,42,1,0.032553463,6,True,0
super,200,8,0.01,42,2,0.036484708,6,True,0
super,200,8,0.01,42,3,0.033283297,6,True,0
super,250,1,0.01,42,1,0.642778228,6,True,0
super,250,1,0.01,42,2,0.662565489,6,True,0
super,250,1,0.01,42,3,0.646130622,6,True,0
super,250,2,0.01,42,1,0.419002087,6,True,0
super,250,2,0.01,42,2,0.423866363,6,True,0
super,250,2,0.01,42,3,0.420627066,6,True,0
super,250,4,0.01,42,1,0.190410490,6,True,0
super,250,4,0.01,42,2,0.156931739,6,True,0
super,250,4,0.01,42,3,0.101120132,6,True,0
super,250,8,0.01,42,1,0.053260212,6,True,0
super,250,8,0.01,42,2,0.057019059,6,True,0
super,250,8,0.01,42,3,0.058366379,6,True,0
super,300,1,0.01,42,1,1.128189309,6,True,0
super,300,1,0.01,42,2,1.117021149,6,True,0
super,300,1,0.01,42,3,1.110699312,6,True,0
super,300,2,0.01,42,1,0.721494252,6,True,0
super,300,2,0.01,42,2,0.729612591,6,True,0
super,300,2,0.01,42,3,0.725664350,6,True,0
super,300,4,0.01,42,1,0.271123734,6,True,0
super,300,4,0.01,42,2,0.224118943,6,True,0
super,300,4,0.01,42,3,0.342652032,6,True,0
super,300,8,0.01,42,1,0.078697282,6,True,0
super,300,8,0.01,42,2,0.095863199,6,True,0
super,300,8,0.01,42,3,0.101548156,6,True,0
super,350,1,0.01,42,1,1.765107073,6,True,0
super,350,1,0.01,42,2,1.755961692,6,True,0
super,350,1,0.01,42,3,1.753254422,6,True,0
super,350,2,0.01,42,1,1.160500314,6,True,0
super,350,2,0.01,42,2,1.153292038,6,True,0
super,350,2,0.01,42,3,1.147455714,6,True,0
super,350,4,0.01,42,1,0.293282244,6,True,0
super,350,4,0.01,42,2,0.348025996,6,True,0
super,350,4,0.01,42,3,0.348006134,6,True,0
super,350,8,0.01,42,1,0.142908782,6,True,0
super,350,8,0.01,42,2,0.113484977,6,True,0
super,350,8,0.01,42,3,0.139392487,6,True,0
super,400,1,0.01,42,1,2.646715434,6,True,0
super,400,1,0.01,42,2,2.610502057,6,True,0
super,400,1,0.01,42,3,2.598420657,6,True,0
super,400,2,0.01,42,1,1.709553382,6,True,0
super,400,2,0.01,42,2,1.705924618,6,True,0
super,400,2,0.01,42,3,1.298418330,6,True,0
super,400,4,0.01,42,1,0.430256541,6,True,0
super,400,4,0.01,42,2,0.674498925,6,True,0
super,400,4,0.01,42,3,0.537284492,6,True,0
super,400,8,0.01,42,1,0.182077265,6,True,0
super,400,8,0.01,42,2,0.191573756,6,True,0
super,400,8,0.01,42,3,0.194725128,6,True,0
super,450,1,0.01,42,1,3.771674616,7,True,0
super,450,1,0.01,42,2,3.765546533,7,True,0
super,450,1,0.01,42,3,3.768778400,7,True,0
super,450,2,0.01,42,1,2.417075273,7,True,0
super,450,2,0.01,42,2,2.406725209,7,True,0
super,450,2,0.01,42,3,2.410043076,7,True,0
super,450,4,0.01,42,1,0.928288211,7,True,0
super,450,4,0.01,42,2,0.741738782,7,True,0
super,450,4,0.01,42,3,0.746068451,7,True,0
super,450,8,0.01,42,1,0.263353109,7,True,0
super,450,8,0.01,42,2,0.282967437,7,True,0
super,450,8,0.01,42,3,0.272291051,7,True,0
super,500,1,0.01,42,1,5.088591344,8,True,0
super,500,1,0.01,42,2,5.098907958,8,True,0
super,500,1,0.01,42,3,5.130193401,8,True,0
super,500,2,0.01,42,1,3.290405543,8,True,0
super,500,2,0.01,42,2,3.260188389,8,True,0
super,500,2,0.01,42,3,3.238304207,8,True,0
super,500,4,0.01,42,1,1.162081410,8,True,0
super,500,4,0.01,42,2,1.154548329,8,True,0
super,500,4,0.01,42,3,1.025490588,8,True,0
super,500,8,0.01,42,1,0.294659896,8,True,0
super,500,8,0.01,42,2,0.362485884,8,True,0
super,500,8,0.01,42,3,0.262135477,8,True,0
super,550,1,0.01,42,1,6.926692111,8,True,0
super,550,1,0.01,42,2,6.840821823,8,True,0
super,550,1,0.01,42,3,6.880168376,8,True,0
super,550,2,0.01,42,1,4.329467826,8,True,0
super,550,2,0.01,42,2,4.406591916,8,True,0
super,550,2,0.01,42,3,4.330743091,8,True,0
super,550,4,0.01,42,1,1.509721611,8,True,0
super,550,4,0.01,42,2,1.504860494,8,True,0
super,550,4,0.01,42,3,1.493000691,8,True,0
super,550,8,0.01,42,1,0.447461558,8,True,0
super,550,8,0.01,42,2,0.444047069,8,True,0
super,550,8,0.01,42,3,0.618798327,8,True,0
super,600,1,0.01,42,1,8.890893803,8,True,0
super,600,1,0.01,42,2,8.826566684,8,True,0
super,600,1,0.01,42,3,8.843121131,8,True,0
super,600,2,0.01,42,1,5.628650185,8,True,0
super,600,2,0.01,42,2,5.587091180,8,True,0
super,600,2,0.01,42,3,5.577923416,8,True,0
super,600,4,0.01,42,1,1.394887420,8,True,0
super,600,4,0.01,42,2,1.394605911,8,True,0
super,600,4,0.01,42,3,1.932124089,8,True,0
super,600,8,0.01,42,1,0.695102156,8,True,0
super,600,8,0.01,42,2,0.613283105,8,True,0
super,600,8,0.01,42,3,0.624094874,8,True,0
super,650,1,0.01,42,1,11.325127501,9,True,0
super,650,1,0.01,42,2,11.221491636,9,True,0
super,650,1,0.01,42,3,11.292148224,9,True,0
super,650,2,0.01,42,1,7.105220595,9,True,0
super,650,2,0.01,42,2,7.079611987,9,True,0
super,650,2,0.01,42,3,7.073089214,9,True,0
super,650,4,0.01,42,1,3.116101626,9,True,0
super,650,4,0.01,42,2,2.487462528,9,True,0
super,650,4,0.01,42,3,1.520786593,9,True,0
super,650,8,0.01,42,1,0.567620389,9,True,0
super,650,8,0.01,42,2,0.747182947,9,True,0
super,650,8,0.01,42,3,0.502620692,9,True,0
super,700,1,0.01,42,1,13.998479759,9,True,0
super,700,1,0.01,42,2,14.010234534,9,True,0
super,700,1,0.01,42,3,14.099586689,9,True,0
super,700,2,0.01,42,1,6.734830024,9,True,0
super,700,2,0.01,42,2,6.681579420,9,True,0
super,700,2,0.01,42,3,8.890575320,9,True,0
super,700,4,0.01,42,1,2.684968975,9,True,0
super,700,4,0.01,42,2,2.330578720,9,True,0
super,700,4,0.01,42,3,3.109895613,9,True,0
super,700,8,0.01,42,1,0.893957081,9,True,0
super,700,8,0.01,42,2,1.239353717,9,True,0
super,700,8,0.01,42,3,0.908411805,9,True,0
super,750,1,0.01,42,1,17.284949587,9,True,0
super,750,1,0.01,42,2,17.398403745,9,True,0
super,750,1,0.01,42,3,17.322939286,9,True,0
super,750,2,0.01,42,1,10.993405788,9,True,0
super,750,2,0.01,42,2,10.921125267,9,True,0
super,750,2,0.01,42,3,10.929453019,9,True,0
super,750,4,0.01,42,1,3.270738611,9,True,0
super,750,4,0.01,42,2,3.889740799,9,True,0
super,750,4,0.01,42,3,3.879189362,9,True,0
super,750,8,0.01,42,1,1.132558992,9,True,0
super,750,8,0.01,42,2,0.956766715,9,True,0
super,750,8,0.01,42,3,1.029748726,9,True,0
super,800,1,0.01,42,1,20.878720981,9,True,0
super,800,1,0.01,42,2,20.819922248,9,True,0
super,800,1,0.01,42,3,20.848509829,9,True,0
super,800,2,0.01,42,1,13.427294700,9,True,0
super,800,2,0.01,42,2,13.277745934,9,True,0
super,800,2,0.01,42,3,13.318759209,9,True,0
super,800,4,0.01,42,1,4.739912355,9,True,0
super,800,4,0.01,42,2,3.919573484,9,True,0
super,800,4,0.01,42,3,3.928421030,9,True,0
