variant,N,P,edge_prob,seed,rep,seconds,colors,valid,rc
ghc,50,1,0.3,42,1,1.24622e-4,13,True,0
ghc,50,1,0.3,42,2,1.21645e-4,13,True,0
ghc,50,1,0.3,42,3,1.48656e-4,13,True,0
ghc,50,2,0.3,42,1,2.32295e-4,14,True,0
ghc,50,2,0.3,42,2,1.56382e-4,14,True,0
ghc,50,2,0.3,42,3,1.66542e-4,14,True,0
ghc,50,4,0.3,42,1,2.09761e-4,14,True,0
ghc,50,4,0.3,42,2,2.13906e-4,14,True,0
ghc,50,4,0.3,42,3,2.08612e-4,14,True,0
ghc,50,8,0.3,42,1,2.14827e-4,13,True,0
ghc,50,8,0.3,42,2,2.03389e-4,13,True,0
ghc,50,8,0.3,42,3,1.98929e-4,13,True,0
ghc,100,1,0.3,42,1,4.94795e-4,20,True,0
ghc,100,1,0.3,42,2,4.78043e-4,20,True,0
ghc,100,1,0.3,42,3,5.46763e-4,20,True,0
ghc,100,2,0.3,42,1,5.17613e-4,24,True,0
ghc,100,2,0.3,42,2,5.7074e-4,24,True,0
ghc,100,2,0.3,42,3,6.93731e-4,24,True,0
ghc,100,4,0.3,42,1,6.10802e-4,22,True,0
ghc,100,4,0.3,42,2,6.20296e-4,22,True,0
ghc,100,4,0.3,42,3,6.88913e-4,22,True,0
ghc,100,8,0.3,42,1,6.55999e-4,23,True,0
ghc,100,8,0.3,42,2,6.30807e-4,23,True,0
ghc,100,8,0.3,42,3,8.37626e-4,23,True,0
ghc,150,1,0.3,42,1,7.42102e-4,26,True,0
ghc,150,1,0.3,42,2,6.1738e-4,26,True,0
ghc,150,1,0.3,42,3,6.36887e-4,26,True,0
ghc,150,2,0.3,42,1,8.17052e-4,32,True,0
ghc,150,2,0.3,42,2,1.079363e-3,32,True,0
ghc,150,2,0.3,42,3,1.398269e-3,32,True,0
ghc,150,4,0.3,42,1,6.56366e-4,31,True,0
ghc,150,4,0.3,42,2,7.95626e-4,31,True,0
ghc,150,4,0.3,42,3,7.88078e-4,31,True,0
ghc,150,8,0.3,42,1,7.15555e-4,29,True,0
ghc,150,8,0.3,42,2,6.05755e-4,29,True,0
ghc,150,8,0.3,42,3,5.84767e-4,29,True,0
ghc,200,1,0.3,42,1,1.130034e-3,31,True,0
ghc,200,1,0.3,42,2,1.043619e-3,31,True,0
ghc,200,1,0.3,42,3,1.015529e-3,31,True,0
ghc,200,2,0.3,42,1,1.464315e-3,34,True,0
ghc,200,2,0.3,42,2,1.56869e-3,34,True,0
ghc,200,2,0.3,42,3,1.421494e-3,34,True,0
ghc,200,4,0.3,42,1,1.287028e-3,36,True,0
ghc,200,4,0.3,42,2,1.423425e-3,36,True,0
ghc,200,4,0.3,42,3,1.304081e-3,36,True,0
ghc,200,8,0.3,42,1,1.274353e-3,36,True,0
ghc,200,8,0.3,42,2,1.298446e-3,36,True,0
ghc,200,8,0.3,42,3,1.19567e-3,36,True,0
ghc,250,1,0.3,42,1,1.606871e-3,35,True,0
