variant,N,P,edge_prob,seed,rep,seconds,colors,valid,rc
parpseq,50,1,0.5,42,1,1.60252e-4,20,True,0
parpseq,50,1,0.5,42,2,1.86398e-4,20,True,0
parpseq,50,1,0.5,42,3,1.69068e-4,20,True,0
parpseq,50,2,0.5,42,1,2.59384e-4,21,True,0
parpseq,50,2,0.5,42,2,4.14324e-4,21,True,0
parpseq,50,2,0.5,42,3,2.24704e-4,21,True,0
parpseq,50,4,0.5,42,1,2.41617e-4,22,True,0
parpseq,50,4,0.5,42,2,2.43213e-4,22,True,0
parpseq,50,4,0.5,42,3,2.43797e-4,22,True,0
parpseq,50,8,0.5,42,1,2.23797e-4,20,True,0
parpseq,50,8,0.5,42,2,2.32681e-4,20,True,0
parpseq,50,8,0.5,42,3,3.04775e-4,20,True,0
parpseq,100,1,0.5,42,1,4.85988e-4,31,True,0
parpseq,100,1,0.5,42,2,4.37856e-4,31,True,0
parpseq,100,1,0.5,42,3,5.27106e-4,31,True,0
parpseq,100,2,0.5,42,1,5.72124e-4,35,True,0
parpseq,100,2,0.5,42,2,6.32138e-4,35,True,0
parpseq,100,2,0.5,42,3,5.88872e-4,35,True,0
parpseq,100,4,0.5,42,1,7.52522e-4,36,True,0
parpseq,100,4,0.5,42,2,6.28851e-4,36,True,0
parpseq,100,4,0.5,42,3,5.63355e-4,36,True,0
parpseq,100,8,0.5,42,1,8.55815e-4,33,True,0
parpseq,100,8,0.5,42,2,6.10296e-4,33,True,0
parpseq,100,8,0.5,42,3,6.27566e-4,33,True,0
parpseq,150,1,0.5,42,1,5.9237e-4,42,True,0
parpseq,150,1,0.5,42,2,5.93153e-4,42,True,0
parpseq,150,1,0.5,42,3,5.97914e-4,42,True,0
parpseq,150,2,0.5,42,1,8.34291e-4,48,True,0
parpseq,150,2,0.5,42,2,9.03571e-4,48,True,0
parpseq,150,2,0.5,42,3,1.27486e-3,48,True,0
parpseq,150,4,0.5,42,1,7.39303e-4,47,True,0
parpseq,150,4,0.5,42,2,8.76927e-4,47,True,0
parpseq,150,4,0.5,42,3,8.56488e-4,47,True,0
parpseq,150,8,0.5,42,1,9.29766e-4,48,True,0
parpseq,150,8,0.5,42,2,7.52253e-4,48,True,0
parpseq,150,8,0.5,42,3,1.247247e-3,48,True,0
parpseq,200,1,0.5,42,1,1.089398e-3,54,True,0
parpseq,200,1,0.5,42,2,1.019989e-3,54,True,0
parpseq,200,1,0.5,42,3,1.117663e-3,54,True,0
parpseq,200,2,0.5,42,1,1.658604e-3,60,True,0
parpseq,200,2,0.5,42,2,1.721944e-3,60,True,0
parpseq,200,2,0.5,42,3,1.824266e-3,60,True,0
parpseq,200,4,0.5,42,1,1.786371e-3,61,True,0
parpseq,200,4,0.5,42,2,1.533388e-3,61,True,0
parpseq,200,4,0.5,42,3,1.498377e-3,61,True,0
parpseq,200,8,0.5,42,1,1.393703e-3,59,True,0
parpseq,200,8,0.5,42,2,1.386152e-3,59,True,0
parpseq,200,8,0.5,42,3,1.386906e-3,59,True,0
parpseq,250,1,0.5,42,1,2.559436e-3,66,True,0
parpseq,250,1,0.5,42,2,1.734071e-3,66,True,0
parpseq,250,1,0.5,42,3,1.750008e-3,66,True,0
parpseq,250,2,0.5,42,1,2.699316e-3,72,True,0
parpseq,250,2,0.5,42,2,2.645797e-3,72,True,0
parpseq,250,2,0.5,42,3,2.608352e-3,72,True,0
parpseq,250,4,0.5,42,1,3.370382e-3,69,True,0
parpseq,250,4,0.5,42,2,2.598454e-3,69,True,0
parpseq,250,4,0.5,42,3,2.49711e-3,69,True,0
parpseq,250,8,0.5,42,1,3.797571e-3,69,True,0
parpseq,250,8,0.5,42,2,3.704284e-3,69,True,0
parpseq,250,8,0.5,42,3,2.889627e-3,69,True,0
parpseq,300,1,0.5,42,1,2.640583e-3,76,True,0
parpseq,300,1,0.5,42,2,2.619186e-3,76,True,0
parpseq,300,1,0.5,42,3,2.478065e-3,76,True,0
parpseq,300,2,0.5,42,1,3.235881e-3,80,True,0
parpseq,300,2,0.5,42,2,3.320808e-3,80,True,0
parpseq,300,2,0.5,42,3,3.994461e-3,80,True,0
parpseq,300,4,0.5,42,1,3.704426e-3,86,True,0
parpseq,300,4,0.5,42,2,3.894682e-3,86,True,0
parpseq,300,4,0.5,42,3,3.897667e-3,86,True,0
parpseq,300,8,0.5,42,1,5.107913e-3,81,True,0
parpseq,300,8,0.5,42,2,3.645399e-3,81,True,0
parpseq,300,8,0.5,42,3,3.720099e-3,81,True,0
parpseq,350,1,0.5,42,1,3.4767e-3,85,True,0
parpseq,350,1,0.5,42,2,3.724369e-3,85,True,0
parpseq,350,1,0.5,42,3,3.538932e-3,85,True,0
parpseq,350,2,0.5,42,1,6.059639e-3,94,True,0
parpseq,350,2,0.5,42,2,5.242423e-3,94,True,0
parpseq,350,2,0.5,42,3,5.383445e-3,94,True,0
parpseq,350,4,0.5,42,1,5.591563e-3,94,True,0
parpseq,350,4,0.5,42,2,5.641933e-3,94,True,0
parpseq,350,4,0.5,42,3,5.241282e-3,94,True,0
parpseq,350,8,0.5,42,1,6.427475e-3,90,True,0
parpseq,350,8,0.5,42,2,5.927687e-3,90,True,0
parpseq,350,8,0.5,42,3,5.347827e-3,90,True,0
parpseq,400,1,0.5,42,1,4.864215e-3,93,True,0
parpseq,400,1,0.5,42,2,6.098314e-3,93,True,0
parpseq,400,1,0.5,42,3,5.061232e-3,93,True,0
parpseq,400,2,0.5,42,1,8.086377e-3,103,True,0
parpseq,400,2,0.5,42,2,8.141698e-3,103,True,0
parpseq,400,2,0.5,42,3,8.352011e-3,103,True,0
parpseq,400,4,0.5,42,1,7.84557e-3,101,True,0
parpseq,400,4,0.5,42,2,8.292628e-3,101,True,0
parpseq,400,4,0.5,42,3,7.430529e-3,101,True,0
parpseq,400,8,0.5,42,1,7.155914e-3,103,True,0
parpseq,400,8,0.5,42,2,8.99167e-3,103,True,0
parpseq,400,8,0.5,42,3,7.436336e-3,103,True,0
parpseq,450,1,0.5,42,1,6.841307e-3,107,True,0
parpseq,450,1,0.5,42,2,6.898407e-3,107,True,0
parpseq,450,1,0.5,42,3,7.16044e-3,107,True,0
parpseq,450,2,0.5,42,1,8.918574e-3,113,True,0
parpseq,450,2,0.5,42,2,9.003981e-3,113,True,0
parpseq,450,2,0.5,42,3,1.0583238e-2,113,True,0
parpseq,450,4,0.5,42,1,1.0000365e-2,115,True,0
parpseq,450,4,0.5,42,2,9.934634e-3,115,True,0
parpseq,450,4,0.5,42,3,1.184953e-2,115,True,0
parpseq,450,8,0.5,42,1,9.406353e-3,114,True,0
parpseq,450,8,0.5,42,2,9.301432e-3,114,True,0
parpseq,450,8,0.5,42,3,9.402555e-3,114,True,0
parpseq,500,1,0.5,42,1,9.118564e-3,117,True,0
parpseq,500,1,0.5,42,2,8.814504e-3,117,True,0
parpseq,500,1,0.5,42,3,9.440527e-3,117,True,0
parpseq,500,2,0.5,42,1,1.240147e-2,123,True,0
parpseq,500,2,0.5,42,2,1.2119971e-2,123,True,0
parpseq,500,2,0.5,42,3,1.2259583e-2,123,True,0
parpseq,500,4,0.5,42,1,1.3730312e-2,122,True,0
parpseq,500,4,0.5,42,2,1.2425229e-2,122,True,0
parpseq,500,4,0.5,42,3,1.193712e-2,122,True,0
parpseq,500,8,0.5,42,1,1.1831347e-2,123,True,0
parpseq,500,8,0.5,42,2,1.3382437e-2,123,True,0
parpseq,500,8,0.5,42,3,1.2250493e-2,123,True,0
parpseq,550,1,0.5,42,1,1.0972013e-2,126,True,0
parpseq,550,1,0.5,42,2,1.1586097e-2,126,True,0
parpseq,550,1,0.5,42,3,1.158681e-2,126,True,0
parpseq,550,2,0.5,42,1,1.5182148e-2,132,True,0
parpseq,550,2,0.5,42,2,1.5114443e-2,132,True,0
parpseq,550,2,0.5,42,3,1.4147957e-2,132,True,0
parpseq,550,4,0.5,42,1,1.665672e-2,135,True,0
parpseq,550,4,0.5,42,2,1.5721955e-2,135,True,0
parpseq,550,4,0.5,42,3,1.5314913e-2,135,True,0
parpseq,550,8,0.5,42,1,1.4823955e-2,128,True,0
parpseq,550,8,0.5,42,2,1.549281e-2,128,True,0
parpseq,550,8,0.5,42,3,1.5290886e-2,128,True,0
parpseq,600,1,0.5,42,1,1.3663257e-2,134,True,0
parpseq,600,1,0.5,42,2,1.3973605e-2,134,True,0
parpseq,600,1,0.5,42,3,1.3821329e-2,134,True,0
parpseq,600,2,0.5,42,1,1.8057682e-2,145,True,0
parpseq,600,2,0.5,42,2,1.6875132e-2,145,True,0
parpseq,600,2,0.5,42,3,1.6883074e-2,145,True,0
parpseq,600,4,0.5,42,1,1.8194398e-2,146,True,0
parpseq,600,4,0.5,42,2,1.8310661e-2,146,True,0
parpseq,600,4,0.5,42,3,1.8342627e-2,146,True,0
parpseq,600,8,0.5,42,1,1.8178876e-2,143,True,0
parpseq,600,8,0.5,42,2,1.7633509e-2,143,True,0
parpseq,600,8,0.5,42,3,1.7630007e-2,143,True,0
parpseq,650,1,0.5,42,1,1.6132591e-2,143,True,0
parpseq,650,1,0.5,42,2,1.6623436e-2,143,True,0
parpseq,650,1,0.5,42,3,1.6814208e-2,143,True,0
parpseq,650,2,0.5,42,1,2.0363883e-2,152,True,0
parpseq,650,2,0.5,42,2,2.0382274e-2,152,True,0
parpseq,650,2,0.5,42,3,2.0275482e-2,152,True,0
parpseq,650,4,0.5,42,1,2.1912569e-2,152,True,0
parpseq,650,4,0.5,42,2,2.2751751e-2,152,True,0
parpseq,650,4,0.5,42,3,2.1364016e-2,152,True,0
parpseq,650,8,0.5,42,1,2.1761271e-2,153,True,0
parpseq,650,8,0.5,42,2,2.2227645e-2,153,True,0
parpseq,650,8,0.5,42,3,2.1684316e-2,153,True,0
parpseq,700,1,0.5,42,1,1.9433399e-2,152,True,0
parpseq,700,1,0.5,42,2,1.874245e-2,152,True,0
parpseq,700,1,0.5,42,3,1.9281062e-2,152,True,0
parpseq,700,2,0.5,42,1,2.2879679e-2,157,True,0
parpseq,700,2,0.5,42,2,2.4167923e-2,157,True,0
parpseq,700,2,0.5,42,3,2.2783958e-2,157,True,0
parpseq,700,4,0.5,42,1,2.3914888e-2,163,True,0
parpseq,700,4,0.5,42,2,2.4836424e-2,163,True,0
parpseq,700,4,0.5,42,3,2.4077151e-2,163,True,0
parpseq,700,8,0.5,42,1,2.5359759e-2,162,True,0
parpseq,700,8,0.5,42,2,2.5091003e-2,162,True,0
parpseq,700,8,0.5,42,3,2.5686518e-2,162,True,0
parpseq,750,1,0.5,42,1,2.3427481e-2,163,True,0
parpseq,750,1,0.5,42,2,2.3016219e-2,163,True,0
parpseq,750,1,0.5,42,3,2.3714466e-2,163,True,0
parpseq,750,2,0.5,42,1,2.6478481e-2,168,True,0
parpseq,750,2,0.5,42,2,2.6220301e-2,168,True,0
parpseq,750,2,0.5,42,3,2.6120991e-2,168,True,0
parpseq,750,4,0.5,42,1,2.9325105e-2,175,True,0
parpseq,750,4,0.5,42,2,3.023718e-2,175,True,0
parpseq,750,4,0.5,42,3,2.8109095e-2,175,True,0
parpseq,750,8,0.5,42,1,2.8949843e-2,171,True,0
parpseq,750,8,0.5,42,2,3.0099239e-2,171,True,0
parpseq,750,8,0.5,42,3,2.9627729e-2,171,True,0
parpseq,800,1,0.5,42,1,2.6478415e-2,174,True,0
parpseq,800,1,0.5,42,2,2.706287e-2,174,True,0
parpseq,800,1,0.5,42,3,2.7875559e-2,174,True,0
parpseq,800,2,0.5,42,1,3.0307473e-2,178,True,0
parpseq,800,2,0.5,42,2,3.1854429e-2,178,True,0
parpseq,800,2,0.5,42,3,2.951814e-2,178,True,0
parpseq,800,4,0.5,42,1,3.2317493e-2,185,True,0
parpseq,800,4,0.5,42,2,3.5287034e-2,185,True,0
parpseq,800,4,0.5,42,3,3.2667277e-2,185,True,0
parpseq,800,8,0.5,42,1,3.2118755e-2,178,True,0
parpseq,800,8,0.5,42,2,3.1892344e-2,178,True,0
parpseq,800,8,0.5,42,3,3.3583239e-2,178,True,0
parpseq,850,1,0.5,42,1,3.0396614e-2,181,True,0
parpseq,850,1,0.5,42,2,3.0690645e-2,181,True,0
parpseq,850,1,0.5,42,3,3.0477571e-2,181,True,0
parpseq,850,2,0.5,42,1,3.4010459e-2,186,True,0
parpseq,850,2,0.5,42,2,3.3421514e-2,186,True,0
parpseq,850,2,0.5,42,3,3.5518469e-2,186,True,0
parpseq,850,4,0.5,42,1,3.8005305e-2,190,True,0
parpseq,850,4,0.5,42,2,3.8956328e-2,190,True,0
parpseq,850,4,0.5,42,3,3.7093071e-2,190,True,0
parpseq,850,8,0.5,42,1,4.0357178e-2,192,True,0
parpseq,850,8,0.5,42,2,3.8162713e-2,192,True,0
parpseq,850,8,0.5,42,3,3.9805545e-2,192,True,0
parpseq,900,1,0.5,42,1,3.3544521e-2,189,True,0
parpseq,900,1,0.5,42,2,3.3836241e-2,189,True,0
parpseq,900,1,0.5,42,3,3.463692e-2,189,True,0
parpseq,900,2,0.5,42,1,3.8139727e-2,200,True,0
parpseq,900,2,0.5,42,2,3.8030521e-2,200,True,0
parpseq,900,2,0.5,42,3,3.8982142e-2,200,True,0
parpseq,900,4,0.5,42,1,4.2026111e-2,202,True,0
parpseq,900,4,0.5,42,2,4.3124929e-2,202,True,0
parpseq,900,4,0.5,42,3,4.38266e-2,202,True,0
parpseq,900,8,0.5,42,1,4.2813602e-2,196,True,0
parpseq,900,8,0.5,42,2,4.4015759e-2,196,True,0
parpseq,900,8,0.5,42,3,4.2698148e-2,196,True,0
parpseq,950,1,0.5,42,1,3.6869307e-2,199,True,0
parpseq,950,1,0.5,42,2,3.774646e-2,199,True,0
parpseq,950,1,0.5,42,3,3.9460413e-2,199,True,0
parpseq,950,2,0.5,42,1,4.3609713e-2,208,True,0
parpseq,950,2,0.5,42,2,4.400395e-2,208,True,0
parpseq,950,2,0.5,42,3,4.3313509e-2,208,True,0
parpseq,950,4,0.5,42,1,4.8345191e-2,207,True,0
parpseq,950,4,0.5,42,2,4.7294609e-2,207,True,0
parpseq,950,4,0.5,42,3,4.8902984e-2,207,True,0
parpseq,950,8,0.5,42,1,4.865721e-2,207,True,0
parpseq,950,8,0.5,42,2,5.1379363e-2,207,True,0
parpseq,950,8,0.5,42,3,5.0471372e-2,207,True,0
parpseq,1000,1,0.5,42,1,4.4483897e-2,208,True,0
parpseq,1000,1,0.5,42,2,4.3604375e-2,208,True,0
parpseq,1000,1,0.5,42,3,4.3039592e-2,208,True,0
parpseq,1000,2,0.5,42,1,4.8671625e-2,214,True,0
parpseq,1000,2,0.5,42,2,4.9475832e-2,214,True,0
parpseq,1000,2,0.5,42,3,4.7382087e-2,214,True,0
parpseq,1000,4,0.5,42,1,5.0016939e-2,220,True,0
parpseq,1000,4,0.5,42,2,5.167871e-2,220,True,0
parpseq,1000,4,0.5,42,3,4.9478576e-2,220,True,0
parpseq,1000,8,0.5,42,1,5.2144878e-2,220,True,0
parpseq,1000,8,0.5,42,2,5.5515201e-2,220,True,0
parpseq,1000,8,0.5,42,3,5.4211417e-2,220,True,0
