variant,N,P,edge_prob,seed,rep,seconds,colors,valid,rc
super,50,1,0.5,42,1,0.004711619,20,True,0
super,50,1,0.5,42,2,0.004726302,20,True,0
super,50,1,0.5,42,3,0.004959695,20,True,0
super,50,2,0.5,42,1,0.005426638,20,True,0
super,50,2,0.5,42,2,0.007239555,20,True,0
super,50,2,0.5,42,3,0.005918857,20,True,0
super,50,4,0.5,42,1,0.005988349,20,True,0
super,50,4,0.5,42,2,0.006254341,20,True,0
super,50,4,0.5,42,3,0.004038365,20,True,0
super,50,8,0.5,42,1,0.010987556,20,True,0
super,50,8,0.5,42,2,0.009552156,20,True,0
super,50,8,0.5,42,3,0.008700700,20,True,0
super,100,1,0.5,42,1,0.024541924,31,True,0
super,100,1,0.5,42,2,0.024814766,31,True,0
super,100,1,0.5,42,3,0.027112727,31,True,0
super,100,2,0.5,42,1,0.021734494,31,True,0
super,100,2,0.5,42,2,0.021858045,31,True,0
super,100,2,0.5,42,3,0.021624834,31,True,0
super,100,4,0.5,42,1,0.010221977,31,True,0
super,100,4,0.5,42,2,0.012211609,31,True,0
super,100,4,0.5,42,3,0.012070205,31,True,0
super,100,8,0.5,42,1,0.010693726,31,True,0
super,100,8,0.5,42,2,0.012761332,31,True,0
super,100,8,0.5,42,3,0.013444296,31,True,0
super,150,1,0.5,42,1,0.076604633,42,True,0
super,150,1,0.5,42,2,0.076135079,42,True,0
super,150,1,0.5,42,3,0.077275938,42,True,0
super,150,2,0.5,42,1,0.062438391,42,True,0
super,150,2,0.5,42,2,0.063426749,42,True,0
super,150,2,0.5,42,3,0.064416653,42,True,0
super,150,4,0.5,42,1,0.028279179,42,True,0
super,150,4,0.5,42,2,0.030699650,42,True,0
super,150,4,0.5,42,3,0.035202960,42,True,0
super,150,8,0.5,42,1,0.015583773,42,True,0
super,150,8,0.5,42,2,0.017495545,42,True,0
super,150,8,0.5,42,3,0.017125786,42,True,0
super,200,1,0.5,42,1,0.180752748,54,True,0
