variant,N,P,rep,seconds,rc
ghc,50,1,1,1.731943e-3,0
ghc,50,1,2,9.51705e-4,0
ghc,50,1,3,9.13106e-4,0
ghc,50,1,4,1.182855e-3,0
ghc,50,1,5,1.836081e-3,0
ghc,50,1,6,1.002578e-3,0
ghc,50,1,7,9.41625e-4,0
ghc,50,1,8,1.908493e-3,0
ghc,50,1,9,2.007989e-3,0
ghc,50,1,10,8.93767e-4,0
ghc,50,2,1,1.019499e-3,0
ghc,50,2,2,1.025508e-3,0
ghc,50,2,3,7.6796e-4,0
ghc,50,2,4,9.70813e-4,0
ghc,50,2,5,8.72913e-4,0
ghc,50,2,6,7.45801e-4,0
ghc,50,2,7,8.22943e-4,0
ghc,50,2,8,1.013251e-3,0
ghc,50,2,9,1.007213e-3,0
ghc,50,2,10,1.167753e-3,0
ghc,50,4,1,5.73469e-4,0
ghc,50,4,2,5.53747e-4,0
ghc,50,4,3,5.68216e-4,0
ghc,50,4,4,6.70758e-4,0
ghc,50,4,5,5.34028e-4,0
ghc,50,4,6,5.59414e-4,0
ghc,50,4,7,6.99614e-4,0
ghc,50,4,8,5.46161e-4,0
ghc,50,4,9,5.56933e-4,0
ghc,50,4,10,5.95777e-4,0
ghc,50,8,1,5.59024e-4,0
ghc,50,8,2,5.57719e-4,0
ghc,50,8,3,4.62925e-4,0
ghc,50,8,4,4.49901e-4,0
ghc,50,8,5,4.72621e-4,0
ghc,50,8,6,4.84285e-4,0
ghc,50,8,7,5.01941e-4,0
ghc,50,8,8,6.65101e-4,0
ghc,50,8,9,4.69319e-4,0
ghc,50,8,10,4.44558e-4,0
ghc,100,1,1,6.241496e-3,0
ghc,100,1,2,7.30604e-3,0
ghc,100,1,3,8.119179e-3,0
ghc,100,1,4,7.86475e-3,0
ghc,100,1,5,6.432409e-3,0
ghc,100,1,6,8.050164e-3,0
ghc,100,1,7,6.850533e-3,0
ghc,100,1,8,5.720668e-3,0
ghc,100,1,9,7.159437e-3,0
ghc,100,1,10,8.323616e-3,0
ghc,100,2,1,4.67123e-3,0
ghc,100,2,2,5.877907e-3,0
ghc,100,2,3,5.222465e-3,0
ghc,100,2,4,5.782274e-3,0
ghc,100,2,5,4.647361e-3,0
ghc,100,2,6,4.616995e-3,0
ghc,100,2,7,7.013778e-3,0
ghc,100,2,8,4.911489e-3,0
ghc,100,2,9,6.513369e-3,0
ghc,100,2,10,4.594834e-3,0
ghc,100,4,1,3.231809e-3,0
ghc,100,4,2,3.679267e-3,0
ghc,100,4,3,3.558184e-3,0
ghc,100,4,4,4.100482e-3,0
ghc,100,4,5,4.0275e-3,0
ghc,100,4,6,3.377196e-3,0
ghc,100,4,7,4.050425e-3,0
ghc,100,4,8,3.570312e-3,0
ghc,100,4,9,3.499259e-3,0
ghc,100,4,10,5.539237e-3,0
ghc,100,8,1,3.213548e-3,0
ghc,100,8,2,3.252284e-3,0
ghc,100,8,3,2.448593e-3,0
ghc,100,8,4,3.337213e-3,0
ghc,100,8,5,3.246111e-3,0
ghc,100,8,6,3.476646e-3,0
ghc,100,8,7,3.924313e-3,0
ghc,100,8,8,3.294046e-3,0
ghc,100,8,9,3.123417e-3,0
ghc,100,8,10,2.881805e-3,0
ghc,150,1,1,2.0977661e-2,0
ghc,150,1,2,2.0013577e-2,0
ghc,150,1,3,1.86944e-2,0
ghc,150,1,4,1.9890559e-2,0
ghc,150,1,5,2.0232589e-2,0
ghc,150,1,6,2.2488246e-2,0
ghc,150,1,7,2.0178225e-2,0
ghc,150,1,8,2.5133034e-2,0
ghc,150,1,9,2.4180333e-2,0
ghc,150,1,10,2.3798681e-2,0
ghc,150,2,1,1.70606e-2,0
ghc,150,2,2,1.6196179e-2,0
ghc,150,2,3,1.2026142e-2,0
ghc,150,2,4,1.6165481e-2,0
ghc,150,2,5,1.3589801e-2,0
ghc,150,2,6,1.2676879e-2,0
ghc,150,2,7,1.2451563e-2,0
ghc,150,2,8,1.1845986e-2,0
ghc,150,2,9,1.617762e-2,0
ghc,150,2,10,1.2237856e-2,0
ghc,150,4,1,1.0100038e-2,0
ghc,150,4,2,8.965804e-3,0
ghc,150,4,3,1.0102383e-2,0
ghc,150,4,4,9.790604e-3,0
ghc,150,4,5,1.0828634e-2,0
ghc,150,4,6,8.270878e-3,0
ghc,150,4,7,7.599024e-3,0
ghc,150,4,8,8.273418e-3,0
ghc,150,4,9,8.820851e-3,0
ghc,150,4,10,7.230652e-3,0
ghc,150,8,1,5.953546e-3,0
ghc,150,8,2,7.271993e-3,0
ghc,150,8,3,7.483081e-3,0
ghc,150,8,4,5.97802e-3,0
ghc,150,8,5,8.136815e-3,0
ghc,150,8,6,6.913175e-3,0
ghc,150,8,7,6.785577e-3,0
ghc,150,8,8,6.164539e-3,0
ghc,150,8,9,7.444561e-3,0
ghc,150,8,10,6.248499e-3,0
ghc,200,1,1,5.0539259e-2,0
ghc,200,1,2,4.942704e-2,0
ghc,200,1,3,5.5258367e-2,0
ghc,200,1,4,5.1963162e-2,0
ghc,200,1,5,5.169809e-2,0
ghc,200,1,6,5.6915184e-2,0
ghc,200,1,7,5.2338831e-2,0
ghc,200,1,8,5.6147806e-2,0
ghc,200,1,9,5.6649533e-2,0
ghc,200,1,10,6.0476592e-2,0
ghc,200,2,1,3.0182585e-2,0
ghc,200,2,2,3.9482143e-2,0
ghc,200,2,3,2.883229e-2,0
ghc,200,2,4,3.1072209e-2,0
ghc,200,2,5,3.0278224e-2,0
ghc,200,2,6,3.6466217e-2,0
ghc,200,2,7,3.2127765e-2,0
ghc,200,2,8,2.4083101e-2,0
ghc,200,2,9,2.4491827e-2,0
ghc,200,2,10,2.5527545e-2,0
ghc,200,4,1,1.6284118e-2,0
ghc,200,4,2,1.8826075e-2,0
ghc,200,4,3,1.5665182e-2,0
ghc,200,4,4,1.5755167e-2,0
ghc,200,4,5,1.6744418e-2,0
ghc,200,4,6,1.5905222e-2,0
ghc,200,4,7,1.5891826e-2,0
ghc,200,4,8,1.4446615e-2,0
ghc,200,4,9,1.6075844e-2,0
ghc,200,4,10,1.7632166e-2,0
ghc,200,8,1,1.3321567e-2,0
ghc,200,8,2,1.5055287e-2,0
ghc,200,8,3,1.3853428e-2,0
ghc,200,8,4,1.3428122e-2,0
ghc,200,8,5,1.4955467e-2,0
ghc,200,8,6,1.5544472e-2,0
ghc,200,8,7,1.5947528e-2,0
ghc,200,8,8,1.7671048e-2,0
ghc,200,8,9,1.6982703e-2,0
ghc,200,8,10,1.3065437e-2,0
ghc,250,1,1,9.5354113e-2,0
ghc,250,1,2,0.100143538,0
ghc,250,1,3,9.1756818e-2,0
ghc,250,1,4,9.1612794e-2,0
ghc,250,1,5,0.111538388,0
ghc,250,1,6,0.123844818,0
ghc,250,1,7,0.223355724,0
ghc,250,1,8,0.111601161,0
ghc,250,1,9,0.122353698,0
ghc,250,1,10,0.151737006,0
ghc,250,2,1,8.6472355e-2,0
ghc,250,2,2,7.005168e-2,0
ghc,250,2,3,6.1091363e-2,0
ghc,250,2,4,5.6011464e-2,0
ghc,250,2,5,6.3265232e-2,0
ghc,250,2,6,7.0730639e-2,0
ghc,250,2,7,5.7835014e-2,0
ghc,250,2,8,7.5989355e-2,0
ghc,250,2,9,7.569321e-2,0
ghc,250,2,10,6.6577346e-2,0
ghc,250,4,1,3.5918401e-2,0
ghc,250,4,2,3.608489e-2,0
ghc,250,4,3,3.1650487e-2,0
ghc,250,4,4,3.2063303e-2,0
ghc,250,4,5,3.6368873e-2,0
ghc,250,4,6,3.9155393e-2,0
ghc,250,4,7,2.9735903e-2,0
ghc,250,4,8,2.992455e-2,0
ghc,250,4,9,3.1418067e-2,0
ghc,250,4,10,3.3144447e-2,0
ghc,250,8,1,2.356631e-2,0
