variant,N,P,rep,seconds,rc
parpseq,50,1,1,9.6944e-4,0
parpseq,50,1,2,2.00089e-3,0
parpseq,50,1,3,1.672577e-3,0
parpseq,50,1,4,1.34528e-3,0
parpseq,50,1,5,1.960806e-3,0
parpseq,50,1,6,1.951594e-3,0
parpseq,50,1,7,1.942187e-3,0
parpseq,50,1,8,1.938715e-3,0
parpseq,50,1,9,1.977988e-3,0
parpseq,50,1,10,3.205071e-3,0
parpseq,50,2,1,1.32353e-3,0
parpseq,50,2,2,1.928768e-3,0
parpseq,50,2,3,1.259255e-3,0
parpseq,50,2,4,1.142352e-3,0
parpseq,50,2,5,1.178177e-3,0
parpseq,50,2,6,2.115422e-3,0
parpseq,50,2,7,1.961767e-3,0
parpseq,50,2,8,1.101583e-3,0
parpseq,50,2,9,2.025357e-3,0
parpseq,50,2,10,1.261969e-3,0
parpseq,50,4,1,8.33886e-4,0
parpseq,50,4,2,9.00667e-4,0
parpseq,50,4,3,8.32134e-4,0
parpseq,50,4,4,7.41873e-4,0
parpseq,50,4,5,9.91398e-4,0
parpseq,50,4,6,7.95353e-4,0
parpseq,50,4,7,1.238853e-3,0
parpseq,50,4,8,6.71926e-4,0
parpseq,50,4,9,8.15286e-4,0
parpseq,50,4,10,9.52029e-4,0
parpseq,50,8,1,6.60604e-4,0
parpseq,50,8,2,6.70597e-4,0
parpseq,50,8,3,7.94883e-4,0
parpseq,50,8,4,7.43404e-4,0
parpseq,50,8,5,9.23382e-4,0
parpseq,50,8,6,7.97909e-4,0
parpseq,50,8,7,7.97046e-4,0
parpseq,50,8,8,6.80521e-4,0
parpseq,50,8,9,7.2911e-4,0
parpseq,50,8,10,7.12024e-4,0
parpseq,100,1,1,6.890225e-3,0
parpseq,100,1,2,7.491038e-3,0
parpseq,100,1,3,6.863036e-3,0
parpseq,100,1,4,6.165303e-3,0
parpseq,100,1,5,6.287742e-3,0
parpseq,100,1,6,6.130235e-3,0
parpseq,100,1,7,7.707752e-3,0
parpseq,100,1,8,7.526357e-3,0
parpseq,100,1,9,6.014292e-3,0
parpseq,100,1,10,6.623091e-3,0
parpseq,100,2,1,6.491152e-3,0
parpseq,100,2,2,7.089143e-3,0
parpseq,100,2,3,6.297288e-3,0
parpseq,100,2,4,6.108386e-3,0
parpseq,100,2,5,8.171225e-3,0
parpseq,100,2,6,7.197036e-3,0
parpseq,100,2,7,6.289316e-3,0
parpseq,100,2,8,7.358644e-3,0
