variant,N,P,rep,seconds,rc
super,50,1,1,0.001422119,0
super,50,1,2,0.001309278,0
super,50,1,3,0.001310423,0
super,50,1,4,0.001261989,0
super,50,1,5,0.001683746,0
super,50,1,6,0.001330037,0
super,50,1,7,0.001350004,0
super,50,1,8,0.001379767,0
super,50,1,9,0.001289989,0
super,50,1,10,0.001267657,0
super,50,2,1,0.002599301,0
super,50,2,2,0.002481822,0
super,50,2,3,0.002420028,0
super,50,2,4,0.002129025,0
super,50,2,5,0.002191406,0
super,50,2,6,0.002503361,0
super,50,2,7,0.002180925,0
super,50,2,8,0.002488739,0
super,50,2,9,0.002498603,0
super,50,2,10,0.002146247,0
super,50,4,1,0.002372119,0
super,50,4,2,0.002369620,0
super,50,4,3,0.002299741,0
super,50,4,4,0.002282409,0
super,50,4,5,0.002158981,0
super,50,4,6,0.002225233,0
super,50,4,7,0.002239947,0
super,50,4,8,0.002835737,0
super,50,4,9,0.002233740,0
super,50,4,10,0.003284669,0
super,50,8,1,0.005675801,0
super,50,8,2,0.003619317,0
super,50,8,3,0.007054241,0
super,50,8,4,0.005421185,0
super,50,8,5,0.005214765,0
super,50,8,6,0.005847103,0
super,50,8,7,0.004907131,0
super,50,8,8,0.011086277,0
super,50,8,9,0.004004258,0
super,50,8,10,0.004005470,0
super,100,1,1,0.010691638,0
super,100,1,2,0.008109751,0
super,100,1,3,0.008057942,0
super,100,1,4,0.008078876,0
super,100,1,5,0.007871474,0
super,100,1,6,0.008126543,0
super,100,1,7,0.009942598,0
super,100,1,8,0.009765386,0
super,100,1,9,0.009659212,0
super,100,1,10,0.009589370,0
super,100,2,1,0.006678520,0
super,100,2,2,0.006025714,0
super,100,2,3,0.006702949,0
super,100,2,4,0.009939736,0
super,100,2,5,0.006606015,0
super,100,2,6,0.009898098,0
super,100,2,7,0.005971473,0
super,100,2,8,0.006740385,0
super,100,2,9,0.009902159,0
super,100,2,10,0.009960003,0
super,100,4,1,0.004800747,0
super,100,4,2,0.004577232,0
super,100,4,3,0.004540909,0
super,100,4,4,0.004626436,0
super,100,4,5,0.004582829,0
super,100,4,6,0.004644367,0
super,100,4,7,0.004641830,0
super,100,4,8,0.007097112,0
super,100,4,9,0.005129439,0
super,100,4,10,0.004474907,0
super,100,8,1,0.008179267,0
super,100,8,2,0.005408360,0
super,100,8,3,0.007144727,0
super,100,8,4,0.006094263,0
super,100,8,5,0.009289473,0
super,100,8,6,0.008511430,0
super,100,8,7,0.007284031,0
super,100,8,8,0.007079659,0
super,100,8,9,0.008325089,0
super,100,8,10,0.007290498,0
super,150,1,1,0.032456664,0
super,150,1,2,0.033509124,0
super,150,1,3,0.033399300,0
super,150,1,4,0.025945791,0
super,150,1,5,0.026760296,0
super,150,1,6,0.026027003,0
super,150,1,7,0.025768194,0
super,150,1,8,0.026123344,0
super,150,1,9,0.025844242,0
super,150,1,10,0.025944354,0
super,150,2,1,0.028964786,0
super,150,2,2,0.029681607,0
super,150,2,3,0.019154317,0
super,150,2,4,0.029617972,0
super,150,2,5,0.018893773,0
super,150,2,6,0.018885056,0
super,150,2,7,0.029726719,0
super,150,2,8,0.029647704,0
super,150,2,9,0.029921630,0
super,150,2,10,0.029758047,0
super,150,4,1,0.011038629,0
super,150,4,2,0.010849768,0
super,150,4,3,0.010879190,0
super,150,4,4,0.010803318,0
super,150,4,5,0.010903205,0
super,150,4,6,0.011543860,0
super,150,4,7,0.011580236,0
super,150,4,8,0.011036890,0
super,150,4,9,0.011246278,0
super,150,4,10,0.011129820,0
super,150,8,1,0.011462613,0
super,150,8,2,0.011430921,0
super,150,8,3,0.010200210,0
super,150,8,4,0.013923430,0
super,150,8,5,0.011946726,0
super,150,8,6,0.013900895,0
super,150,8,7,0.012385789,0
super,150,8,8,0.012077267,0
super,150,8,9,0.016647300,0
super,150,8,10,0.015733091,0
super,200,1,1,0.062297794,0
super,200,1,2,0.059045182,0
super,200,1,3,0.060734237,0
super,200,1,4,0.060898077,0
super,200,1,5,0.061007159,0
super,200,1,6,0.060645979,0
super,200,1,7,0.060442768,0
super,200,1,8,0.059320973,0
super,200,1,9,0.059127344,0
super,200,1,10,0.059659850,0
super,200,2,1,0.042725651,0
super,200,2,2,0.042766929,0
super,200,2,3,0.068115701,0
super,200,2,4,0.069370054,0
super,200,2,5,0.072357277,0
super,200,2,6,0.045249613,0
super,200,2,7,0.071491480,0
super,200,2,8,0.068622881,0
super,200,2,9,0.068410241,0
super,200,2,10,0.068076742,0
super,200,4,1,0.039775575,0
super,200,4,2,0.022827711,0
super,200,4,3,0.023115169,0
super,200,4,4,0.022687952,0
super,200,4,5,0.022724357,0
super,200,4,6,0.022788849,0
super,200,4,7,0.023653796,0
super,200,4,8,0.022678578,0
super,200,4,9,0.023030371,0
super,200,4,10,0.023053120,0
super,200,8,1,0.016078588,0
super,200,8,2,0.018578027,0
super,200,8,3,0.017772413,0
super,200,8,4,0.019085440,0
super,200,8,5,0.022190197,0
super,200,8,6,0.019190951,0
super,200,8,7,0.017333779,0
super,200,8,8,0.020781981,0
super,200,8,9,0.016674273,0
super,200,8,10,0.020733513,0
super,250,1,1,0.144562387,0
super,250,1,2,0.125289332,0
super,250,1,3,0.116097518,0
super,250,1,4,0.116154153,0
super,250,1,5,0.116106903,0
super,250,1,6,0.116760859,0
super,250,1,7,0.120423471,0
super,250,1,8,0.122247932,0
super,250,1,9,0.117122708,0
super,250,1,10,0.115647831,0
super,250,2,1,0.079865548,0
super,250,2,2,0.080602428,0
super,250,2,3,0.131407039,0
super,250,2,4,0.132030070,0
super,250,2,5,0.138563709,0
super,250,2,6,0.087219965,0
super,250,2,7,0.085184380,0
super,250,2,8,0.085744214,0
super,250,2,9,0.134162559,0
super,250,2,10,0.134322342,0
super,250,4,1,0.042678634,0
super,250,4,2,0.057337709,0
super,250,4,3,0.043368895,0
super,250,4,4,0.043880755,0
super,250,4,5,0.044861348,0
super,250,4,6,0.043948167,0
super,250,4,7,0.043894112,0
super,250,4,8,0.042650106,0
super,250,4,9,0.042716222,0
super,250,4,10,0.043568841,0
super,250,8,1,0.025338824,0
super,250,8,2,0.024792567,0
super,250,8,3,0.025992746,0
super,250,8,4,0.033939219,0
super,250,8,5,0.037728212,0
super,250,8,6,0.031049124,0
super,250,8,7,0.035269546,0
super,250,8,8,0.034630718,0
super,250,8,9,0.043979444,0
super,250,8,10,0.025479525,0
super,300,1,1,0.207735393,0
super,300,1,2,0.202500195,0
super,300,1,3,0.201910668,0
super,300,1,4,0.203131844,0
super,300,1,5,0.203996364,0
super,300,1,6,0.201050628,0
super,300,1,7,0.196277277,0
super,300,1,8,0.201070343,0
super,300,1,9,0.201051793,0
super,300,1,10,0.203814600,0
super,300,2,1,0.229939818,0
super,300,2,2,0.228085260,0
super,300,2,3,0.231072208,0
super,300,2,4,0.142541543,0
super,300,2,5,0.140768535,0
super,300,2,6,0.145733902,0
super,300,2,7,0.231953500,0
super,300,2,8,0.140816930,0
super,300,2,9,0.230588841,0
super,300,2,10,0.235173620,0
super,300,4,1,0.074436766,0
super,300,4,2,0.075216617,0
super,300,4,3,0.074947802,0
super,300,4,4,0.075295503,0
super,300,4,5,0.074381553,0
super,300,4,6,0.074909412,0
super,300,4,7,0.074387195,0
super,300,4,8,0.075196023,0
super,300,4,9,0.075378748,0
super,300,4,10,0.074522416,0
super,300,8,1,0.043651889,0
super,300,8,2,0.077338146,0
super,300,8,3,0.042398957,0
super,300,8,4,0.049379537,0
super,300,8,5,0.045419138,0
super,300,8,6,0.052707496,0
super,300,8,7,0.058427010,0
super,300,8,8,0.043541889,0
super,300,8,9,0.049840800,0
super,300,8,10,0.044407435,0
super,350,1,1,0.326700966,0
super,350,1,2,0.327203435,0
super,350,1,3,0.350319928,0
super,350,1,4,0.331934784,0
super,350,1,5,0.362769295,0
super,350,1,6,0.321815828,0
super,350,1,7,0.322890560,0
super,350,1,8,0.314886498,0
super,350,1,9,0.316592082,0
super,350,1,10,0.321071159,0
super,350,2,1,0.361402409,0
super,350,2,2,0.368667619,0
super,350,2,3,0.369649097,0
super,350,2,4,0.372355696,0
super,350,2,5,0.236191755,0
super,350,2,6,0.364755811,0
super,350,2,7,0.226069095,0
super,350,2,8,0.375899859,0
super,350,2,9,0.232549298,0
super,350,2,10,0.225242912,0
super,350,4,1,0.113900272,0
super,350,4,2,0.116400532,0
super,350,4,3,0.118740135,0
super,350,4,4,0.118242125,0
super,350,4,5,0.119192558,0
super,350,4,6,0.117298414,0
super,350,4,7,0.118713027,0
super,350,4,8,0.116184942,0
super,350,4,9,0.118354919,0
super,350,4,10,0.216893649,0
super,350,8,1,0.072423903,0
super,350,8,2,0.071485971,0
super,350,8,3,0.115685849,0
super,350,8,4,0.088739801,0
super,350,8,5,0.066673720,0
super,350,8,6,0.069384640,0
super,350,8,7,0.067393476,0
super,350,8,8,0.069795745,0
super,350,8,9,0.068297385,0
super,350,8,10,0.065564477,0
super,400,1,1,0.510947322,0
super,400,1,2,0.486125754,0
super,400,1,3,0.481122093,0
super,400,1,4,0.481564795,0
super,400,1,5,0.477966471,0
super,400,1,6,0.518422445,0
super,400,1,7,0.477151919,0
super,400,1,8,0.476056632,0
super,400,1,9,0.501998732,0
super,400,1,10,0.480635977,0
super,400,2,1,0.337883385,0
super,400,2,2,0.546082574,0
super,400,2,3,0.338170628,0
super,400,2,4,0.342815620,0
super,400,2,5,0.549198291,0
super,400,2,6,0.560003286,0
super,400,2,7,0.557070342,0
super,400,2,8,0.343261271,0
super,400,2,9,0.558483425,0
super,400,2,10,0.559615600,0
super,400,4,1,0.313029872,0
super,400,4,2,0.174343369,0
super,400,4,3,0.175253140,0
super,400,4,4,0.175094068,0
super,400,4,5,0.179992862,0
super,400,4,6,0.179597446,0
super,400,4,7,0.177280133,0
super,400,4,8,0.173132410,0
super,400,4,9,0.171315864,0
super,400,4,10,0.174632301,0
super,400,8,1,0.113546430,0
super,400,8,2,0.099075973,0
super,400,8,3,0.099513668,0
super,400,8,4,0.106449173,0
super,400,8,5,0.097868101,0
super,400,8,6,0.166470205,0
super,400,8,7,0.114280028,0
super,400,8,8,0.098040076,0
super,400,8,9,0.097730128,0
super,400,8,10,0.124738292,0
super,450,1,1,0.681296788,0
super,450,1,2,0.686503209,0
super,450,1,3,0.678806929,0
super,450,1,4,0.682137331,0
super,450,1,5,0.691936636,0
super,450,1,6,0.682089073,0
super,450,1,7,0.678475291,0
super,450,1,8,0.677887687,0
super,450,1,9,0.692246103,0
super,450,1,10,0.680480421,0
super,450,2,1,0.782143236,0
super,450,2,2,0.488165675,0
super,450,2,3,0.783195440,0
super,450,2,4,0.781905810,0
super,450,2,5,0.485157292,0
super,450,2,6,0.479033312,0
super,450,2,7,0.788082218,0
super,450,2,8,0.790140710,0
super,450,2,9,0.801719368,0
super,450,2,10,0.786469483,0
super,450,4,1,0.240983241,0
super,450,4,2,0.242123977,0
super,450,4,3,0.245880862,0
super,450,4,4,0.483432286,0
super,450,4,5,0.246691358,0
super,450,4,6,0.253314702,0
super,450,4,7,0.267679516,0
super,450,4,8,0.247634384,0
super,450,4,9,0.250861936,0
super,450,4,10,0.247380592,0
super,450,8,1,0.213605467,0
super,450,8,2,0.140191499,0
super,450,8,3,0.261193865,0
super,450,8,4,0.149895580,0
super,450,8,5,0.136898655,0
super,450,8,6,0.140925735,0
super,450,8,7,0.137331360,0
super,450,8,8,0.139896630,0
super,450,8,9,0.142183543,0
super,450,8,10,0.148888452,0
super,500,1,1,0.918304648,0
super,500,1,2,0.949714846,0
super,500,1,3,0.930240681,0
super,500,1,4,0.931892102,0
super,500,1,5,0.930191517,0
super,500,1,6,0.927044836,0
super,500,1,7,0.922520569,0
super,500,1,8,0.934771685,0
super,500,1,9,0.940821740,0
super,500,1,10,0.941424987,0
super,500,2,1,1.077979826,0
super,500,2,2,1.083633329,0
super,500,2,3,1.070480918,0
super,500,2,4,0.668832399,0
super,500,2,5,1.076590910,0
super,500,2,6,0.662762702,0
super,500,2,7,0.661919758,0
super,500,2,8,0.666762398,0
super,500,2,9,1.085411722,0
super,500,2,10,1.079259756,0
super,500,4,1,0.550856799,0
super,500,4,2,0.333966123,0
super,500,4,3,0.349979317,0
super,500,4,4,0.336638740,0
super,500,4,5,0.333861141,0
super,500,4,6,0.342106914,0
super,500,4,7,0.332498558,0
super,500,4,8,0.334806633,0
super,500,4,9,0.347501807,0
super,500,4,10,0.558141478,0
super,500,8,1,0.184694291,0
super,500,8,2,0.190668778,0
super,500,8,3,0.194683765,0
super,500,8,4,0.203020086,0
super,500,8,5,0.189511854,0
super,500,8,6,0.191511162,0
super,500,8,7,0.199518357,0
super,500,8,8,0.191330819,0
super,500,8,9,0.188930597,0
super,500,8,10,0.192039056,0
super,550,1,1,1.244770654,0
super,550,1,2,1.229719774,0
super,550,1,3,1.239508208,0
super,550,1,4,1.229791964,0
super,550,1,5,1.258768853,0
super,550,1,6,1.218885173,0
super,550,1,7,1.242339265,0
super,550,1,8,1.243795007,0
super,550,1,9,1.231990860,0
super,550,1,10,1.243309187,0
super,550,2,1,1.425410360,0
super,550,2,2,1.411717014,0
super,550,2,3,1.420595274,0
super,550,2,4,0.881906278,0
super,550,2,5,1.426052842,0
super,550,2,6,1.431883743,0
super,550,2,7,1.421319144,0
super,550,2,8,0.873305440,0
super,550,2,9,1.420561621,0
super,550,2,10,1.426100351,0
super,550,4,1,0.445965843,0
super,550,4,2,0.738158485,0
