variant,N,P,reps,median_seconds,std_seconds
ghc,50000,1,8,0.047984,0.001639
ghc,100000,1,8,0.106960,0.001562
ghc,150000,1,8,0.164849,0.004633
ghc,200000,1,8,0.221951,0.004725
ghc,250000,1,8,0.291185,0.006351
ghc,300000,1,8,0.365091,0.010501
ghc,350000,1,8,0.435324,0.009605
ghc,400000,1,8,0.515798,0.027710
ghc,450000,1,8,0.580599,0.014665
ghc,500000,1,8,0.685997,0.026666
ghc,550000,1,8,0.776393,0.031153
ghc,600000,1,8,0.869092,0.037677
ghc,650000,1,8,0.992940,0.033681
ghc,700000,1,8,0.958794,0.034592
ghc,750000,1,8,0.968106,0.005255
ghc,800000,1,8,1.071123,0.033126
ghc,850000,1,8,1.161587,0.044139
ghc,900000,1,8,1.258575,0.103017
ghc,950000,1,8,1.265850,0.038200
ghc,1000000,1,8,1.324820,0.020770
ghc,50000,2,8,0.035948,0.001674
ghc,100000,2,8,0.082435,0.004371
ghc,150000,2,8,0.116355,0.003177
ghc,200000,2,8,0.165629,0.004942
ghc,250000,2,8,0.213501,0.008558
ghc,300000,2,8,0.327674,0.027309
ghc,350000,2,8,0.339207,0.013878
ghc,400000,2,8,0.366793,0.007747
ghc,450000,2,8,0.461097,0.020099
ghc,500000,2,8,0.484355,0.049517
ghc,550000,2,8,0.614223,0.029141
ghc,600000,2,8,0.662580,0.016695
ghc,650000,2,8,0.762496,0.029090
ghc,700000,2,8,0.666715,0.024740
ghc,750000,2,8,0.704217,0.014424
ghc,800000,2,8,0.764247,0.019778
ghc,850000,2,8,0.824030,0.050191
ghc,900000,2,8,0.977081,0.040334
ghc,950000,2,8,0.940146,0.040554
ghc,1000000,2,8,0.977382,0.017254
ghc,50000,4,8,0.041574,0.004617
ghc,100000,4,8,0.077842,0.005657
ghc,150000,4,8,0.112115,0.004265
ghc,200000,4,8,0.155674,0.004568
ghc,250000,4,8,0.218702,0.020103
ghc,300000,4,8,0.326649,0.036497
ghc,350000,4,8,0.338942,0.009532
ghc,400000,4,8,0.353785,0.008695
ghc,450000,4,8,0.493872,0.018020
ghc,500000,4,8,0.556130,0.057979
ghc,550000,4,8,0.587275,0.041086
ghc,600000,4,8,0.685287,0.036380
ghc,650000,4,8,0.651986,0.035714
ghc,700000,4,8,0.625192,0.014041
ghc,750000,4,8,0.684628,0.021875
ghc,800000,4,8,0.737098,0.047547
ghc,850000,4,8,0.791054,0.064529
ghc,900000,4,8,0.862674,0.054343
ghc,950000,4,8,0.886343,0.030747
ghc,1000000,4,8,0.988712,0.076775
ghc,50000,8,8,0.042214,0.003080
ghc,100000,8,8,0.091104,0.002777
ghc,150000,8,8,0.144284,0.007433
ghc,200000,8,8,0.185093,0.010554
ghc,250000,8,8,0.231038,0.012673
ghc,300000,8,8,0.333517,0.027324
ghc,350000,8,8,0.364599,0.027130
ghc,400000,8,8,0.416473,0.022901
ghc,450000,8,8,0.494553,0.032726
ghc,500000,8,8,0.629359,0.045145
ghc,550000,8,8,0.677056,0.041479
ghc,600000,8,8,0.722780,0.038749
ghc,650000,8,8,0.769476,0.044045
ghc,700000,8,8,0.749289,0.045170
ghc,750000,8,8,0.847114,0.075450
ghc,800000,8,8,0.881827,0.063069
ghc,850000,8,8,0.978024,0.095646
ghc,900000,8,8,1.078581,0.031915
ghc,950000,8,8,1.151709,0.049962
ghc,1000000,8,8,1.232646,0.092524
