variant,N,P,reps,median_seconds,std_seconds
parpseq,50000,1,8,0.048709,0.003311
parpseq,100000,1,8,0.093261,0.007244
parpseq,150000,1,8,0.141746,0.007409
parpseq,200000,1,8,0.191688,0.006620
parpseq,250000,1,8,0.264538,0.009979
parpseq,300000,1,8,0.351560,0.015631
parpseq,350000,1,8,0.412496,0.007602
parpseq,400000,1,8,0.492954,0.011400
parpseq,450000,1,8,0.515240,0.019055
parpseq,500000,1,8,0.545896,0.014827
parpseq,550000,1,8,0.593816,0.022052
parpseq,600000,1,8,0.647069,0.011595
parpseq,650000,1,8,0.707415,0.013880
parpseq,700000,1,8,0.798031,0.019498
parpseq,750000,1,8,0.824100,0.039013
parpseq,800000,1,8,0.952726,0.020428
parpseq,850000,1,8,1.033269,0.031251
parpseq,900000,1,8,1.036239,0.041746
parpseq,950000,1,8,1.092161,0.014306
parpseq,1000000,1,8,1.161727,0.015268
parpseq,50000,2,8,0.032999,0.003750
parpseq,100000,2,8,0.062170,0.002445
parpseq,150000,2,8,0.100541,0.006409
parpseq,200000,2,8,0.152130,0.011956
parpseq,250000,2,8,0.236153,0.022402
parpseq,300000,2,8,0.288679,0.009827
parpseq,350000,2,8,0.321104,0.013146
parpseq,400000,2,8,0.377156,0.020020
parpseq,450000,2,8,0.409097,0.049661
parpseq,500000,2,8,0.385582,0.009710
parpseq,550000,2,8,0.433777,0.023582
parpseq,600000,2,8,0.489954,0.016397
parpseq,650000,2,8,0.508547,0.014424
parpseq,700000,2,8,0.551182,0.010535
parpseq,750000,2,8,0.670245,0.048723
parpseq,800000,2,8,0.691307,0.019528
parpseq,850000,2,8,0.773065,0.038138
parpseq,900000,2,8,0.750207,0.015516
parpseq,950000,2,8,0.883441,0.050414
parpseq,1000000,2,8,0.831680,0.021744
parpseq,50000,4,8,0.026949,0.001440
parpseq,100000,4,8,0.065596,0.006874
parpseq,150000,4,8,0.094047,0.005262
parpseq,200000,4,8,0.159601,0.008985
parpseq,250000,4,8,0.224605,0.010341
parpseq,300000,4,8,0.263046,0.004885
parpseq,350000,4,8,0.318822,0.013241
parpseq,400000,4,8,0.396867,0.023529
parpseq,450000,4,8,0.366932,0.021644
parpseq,500000,4,8,0.372291,0.007038
parpseq,550000,4,8,0.421407,0.018624
parpseq,600000,4,8,0.473309,0.025752
parpseq,650000,4,8,0.525467,0.026626
parpseq,700000,4,8,0.539282,0.026259
parpseq,750000,4,8,0.663526,0.049448
parpseq,800000,4,8,0.685125,0.016128
parpseq,850000,4,8,0.772021,0.059426
parpseq,900000,4,8,0.747003,0.012681
parpseq,950000,4,8,0.847762,0.031467
parpseq,1000000,4,8,0.894863,0.047261
parpseq,50000,8,8,0.035647,0.001212
parpseq,100000,8,8,0.078618,0.003978
parpseq,150000,8,8,0.118694,0.005174
parpseq,200000,8,8,0.170598,0.008558
parpseq,250000,8,8,0.242016,0.015877
parpseq,300000,8,8,0.286513,0.027145
parpseq,350000,8,8,0.343301,0.042646
parpseq,400000,8,8,0.422509,0.053831
parpseq,450000,8,8,0.384078,0.019916
parpseq,500000,8,8,0.420732,0.017541
parpseq,550000,8,8,0.454354,0.029281
parpseq,600000,8,8,0.548133,0.048042
parpseq,650000,8,8,0.576686,0.044529
parpseq,700000,8,8,0.620358,0.033898
parpseq,750000,8,8,0.706291,0.042997
parpseq,800000,8,8,0.819133,0.030974
parpseq,850000,8,8,0.854309,0.065380
parpseq,900000,8,8,0.863674,0.024400
parpseq,950000,8,8,0.914393,0.035457
parpseq,1000000,8,8,0.969483,0.023155
