variant,N,P,reps,median_seconds,std_seconds
super,50000,1,8,0.002011,0.000316
super,100000,1,8,0.003175,0.000508
super,150000,1,8,0.005371,0.000727
super,200000,1,8,0.006364,0.000996
super,250000,1,8,0.010222,0.001222
super,300000,1,8,0.009081,0.001716
super,350000,1,8,0.010127,0.000497
super,400000,1,8,0.012901,0.001022
super,450000,1,8,0.020627,0.002640
super,500000,1,8,0.014906,0.002244
super,550000,1,8,0.020318,0.001828
super,600000,1,8,0.022409,0.003481
super,650000,1,8,0.022774,0.004146
super,700000,1,8,0.031886,0.003002
super,750000,1,8,0.034630,0.003831
super,800000,1,8,0.024446,0.001300
super,850000,1,8,0.036991,0.005782
super,900000,1,8,0.029954,0.001872
super,950000,1,8,0.043719,0.004840
super,1000000,1,8,0.046200,0.004047
super,50000,2,8,0.003203,0.000537
super,100000,2,8,0.004913,0.000483
super,150000,2,8,0.006259,0.000733
super,200000,2,8,0.009280,0.002080
super,250000,2,8,0.008126,0.000466
super,300000,2,8,0.010096,0.001782
super,350000,2,8,0.013987,0.001763
super,400000,2,8,0.013263,0.002538
super,450000,2,8,0.024293,0.002066
super,500000,2,8,0.016021,0.002589
super,550000,2,8,0.020758,0.003913
super,600000,2,8,0.023251,0.005064
super,650000,2,8,0.024533,0.004156
super,700000,2,8,0.026791,0.004249
super,750000,2,8,0.033225,0.002787
super,800000,2,8,0.037065,0.006079
super,850000,2,8,0.029469,0.005776
super,900000,2,8,0.044011,0.005819
super,950000,2,8,0.042159,0.007733
super,1000000,2,8,0.047973,0.008109
super,50000,4,8,0.004572,0.000400
super,100000,4,8,0.006832,0.000823
super,150000,4,8,0.008842,0.001303
super,200000,4,8,0.013809,0.001585
super,250000,4,8,0.009820,0.000677
super,300000,4,8,0.010739,0.000543
super,350000,4,8,0.012266,0.000555
super,400000,4,8,0.012920,0.001225
super,450000,4,8,0.022627,0.004502
super,500000,4,8,0.015523,0.001008
super,550000,4,8,0.016525,0.000694
super,600000,4,8,0.019156,0.002117
super,650000,4,8,0.022610,0.001762
super,700000,4,8,0.031009,0.004402
super,750000,4,8,0.023584,0.002266
super,800000,4,8,0.023582,0.002111
super,850000,4,8,0.024741,0.001130
super,900000,4,8,0.027098,0.002381
super,950000,4,8,0.028786,0.001757
super,1000000,4,8,0.043340,0.005551
super,50000,8,8,0.007942,0.001465
super,100000,8,8,0.009324,0.000710
super,150000,8,8,0.012631,0.001445
super,200000,8,8,0.019828,0.003170
super,250000,8,8,0.013721,0.001974
super,300000,8,8,0.013694,0.000610
super,350000,8,8,0.017529,0.001991
super,400000,8,8,0.024069,0.002874
super,450000,8,8,0.028816,0.005954
super,500000,8,8,0.020417,0.001237
super,550000,8,8,0.022385,0.001934
super,600000,8,8,0.022458,0.002051
super,650000,8,8,0.027492,0.002496
super,700000,8,8,0.039806,0.004210
super,750000,8,8,0.024865,0.001055
super,800000,8,8,0.029227,0.003247
super,850000,8,8,0.028300,0.001403
super,900000,8,8,0.036547,0.003670
super,950000,8,8,0.039342,0.005580
super,1000000,8,8,0.047511,0.006777
