variant,N,P,rep,seconds,rc
ghc,50000,1,1,3.5534885e-2,0
ghc,50000,1,2,4.0884938e-2,0
ghc,50000,1,3,3.336381e-2,0
ghc,50000,1,4,4.0134245e-2,0
ghc,50000,1,5,3.3161905e-2,0
ghc,50000,1,6,3.6093708e-2,0
ghc,50000,1,7,3.7209398e-2,0
ghc,50000,1,8,3.919188e-2,0
ghc,50000,1,9,3.566874e-2,0
ghc,50000,1,10,3.3921952e-2,0
ghc,50000,2,1,3.1299135e-2,0
ghc,50000,2,2,2.7035585e-2,0
ghc,50000,2,3,3.2085945e-2,0
ghc,50000,2,4,3.2494711e-2,0
ghc,50000,2,5,4.6768287e-2,0
ghc,50000,2,6,3.4076925e-2,0
ghc,50000,2,7,2.7894906e-2,0
ghc,50000,2,8,2.5699472e-2,0
ghc,50000,2,9,2.464437e-2,0
ghc,50000,2,10,3.2719783e-2,0
ghc,50000,4,1,2.9466878e-2,0
ghc,50000,4,2,2.7014743e-2,0
ghc,50000,4,3,2.5788428e-2,0
ghc,50000,4,4,2.7291361e-2,0
ghc,50000,4,5,2.8694523e-2,0
ghc,50000,4,6,2.5230458e-2,0
ghc,50000,4,7,2.7181657e-2,0
ghc,50000,4,8,2.6659142e-2,0
ghc,50000,4,9,2.5809857e-2,0
ghc,50000,4,10,2.4691931e-2,0
ghc,50000,8,1,2.7797126e-2,0
ghc,50000,8,2,3.2403755e-2,0
ghc,50000,8,3,3.5001056e-2,0
ghc,50000,8,4,3.1247738e-2,0
ghc,50000,8,5,2.8975983e-2,0
ghc,50000,8,6,3.3868516e-2,0
ghc,50000,8,7,4.5528069e-2,0
ghc,50000,8,8,3.8039422e-2,0
ghc,50000,8,9,3.1136513e-2,0
ghc,50000,8,10,3.2678445e-2,0
ghc,100000,1,1,8.5032303e-2,0
ghc,100000,1,2,9.1449036e-2,0
ghc,100000,1,3,7.9888931e-2,0
ghc,100000,1,4,7.6994414e-2,0
ghc,100000,1,5,8.2643548e-2,0
ghc,100000,1,6,7.8564359e-2,0
ghc,100000,1,7,7.8612341e-2,0
ghc,100000,1,8,7.5889583e-2,0
ghc,100000,1,9,8.100109e-2,0
ghc,100000,1,10,8.0338449e-2,0
ghc,100000,2,1,5.4283104e-2,0
ghc,100000,2,2,5.8058409e-2,0
ghc,100000,2,3,5.6555804e-2,0
ghc,100000,2,4,5.7612433e-2,0
ghc,100000,2,5,5.6741942e-2,0
ghc,100000,2,6,5.3643486e-2,0
ghc,100000,2,7,6.1157576e-2,0
ghc,100000,2,8,5.9138208e-2,0
ghc,100000,2,9,5.52341e-2,0
ghc,100000,2,10,5.3690331e-2,0
ghc,100000,4,1,5.670986e-2,0
ghc,100000,4,2,6.1470367e-2,0
ghc,100000,4,3,5.5722266e-2,0
ghc,100000,4,4,5.6617378e-2,0
ghc,100000,4,5,5.7949441e-2,0
ghc,100000,4,6,5.6350844e-2,0
ghc,100000,4,7,5.6206147e-2,0
ghc,100000,4,8,6.4397111e-2,0
ghc,100000,4,9,6.7741023e-2,0
ghc,100000,4,10,6.6121158e-2,0
ghc,100000,8,1,7.5937209e-2,0
ghc,100000,8,2,8.3467004e-2,0
ghc,100000,8,3,7.323111e-2,0
ghc,100000,8,4,6.7355596e-2,0
ghc,100000,8,5,6.8288907e-2,0
ghc,100000,8,6,9.1153502e-2,0
ghc,100000,8,7,7.0669063e-2,0
ghc,100000,8,8,6.9719401e-2,0
ghc,100000,8,9,7.0556236e-2,0
ghc,100000,8,10,7.6255262e-2,0
ghc,150000,1,1,0.124468099,0
ghc,150000,1,2,0.121815865,0
ghc,150000,1,3,0.128887401,0
ghc,150000,1,4,0.120705047,0
ghc,150000,1,5,0.129318187,0
ghc,150000,1,6,0.124870259,0
ghc,150000,1,7,0.124250331,0
ghc,150000,1,8,0.12400757,0
ghc,150000,1,9,0.125598692,0
ghc,150000,1,10,0.167650659,0
ghc,150000,2,1,0.103023481,0
ghc,150000,2,2,9.733029e-2,0
ghc,150000,2,3,8.172713e-2,0
ghc,150000,2,4,8.1613249e-2,0
ghc,150000,2,5,9.4798272e-2,0
ghc,150000,2,6,9.1950938e-2,0
ghc,150000,2,7,8.9784292e-2,0
ghc,150000,2,8,0.121495645,0
ghc,150000,2,9,8.5848175e-2,0
ghc,150000,2,10,8.0233826e-2,0
ghc,150000,4,1,0.103134368,0
ghc,150000,4,2,9.0146051e-2,0
ghc,150000,4,3,0.105508186,0
ghc,150000,4,4,0.11201324,0
ghc,150000,4,5,7.7851607e-2,0
ghc,150000,4,6,9.2018539e-2,0
ghc,150000,4,7,8.6897837e-2,0
ghc,150000,4,8,9.3341817e-2,0
ghc,150000,4,9,0.107335992,0
ghc,150000,4,10,9.4186732e-2,0
ghc,150000,8,1,0.134330546,0
ghc,150000,8,2,0.109601372,0
ghc,150000,8,3,0.112131886,0
ghc,150000,8,4,0.144570608,0
ghc,150000,8,5,0.103399852,0
ghc,150000,8,6,0.115721073,0
ghc,150000,8,7,0.115067532,0
ghc,150000,8,8,0.114346254,0
ghc,150000,8,9,0.102021884,0
ghc,150000,8,10,9.4092142e-2,0
ghc,200000,1,1,0.17968666,0
ghc,200000,1,2,0.213349904,0
ghc,200000,1,3,0.195248661,0
ghc,200000,1,4,0.200544109,0
ghc,200000,1,5,0.179405031,0
ghc,200000,1,6,0.18726186,0
ghc,200000,1,7,0.225076254,0
ghc,200000,1,8,0.224698815,0
ghc,200000,1,9,0.190575256,0
ghc,200000,1,10,0.201365994,0
ghc,200000,2,1,0.159603094,0
ghc,200000,2,2,0.183678121,0
ghc,200000,2,3,0.200977195,0
ghc,200000,2,4,0.169688504,0
ghc,200000,2,5,0.202902756,0
ghc,200000,2,6,0.151506925,0
ghc,200000,2,7,0.158887837,0
ghc,200000,2,8,0.152207043,0
ghc,200000,2,9,0.178426006,0
ghc,200000,2,10,0.193798638,0
ghc,200000,4,1,0.178508628,0
ghc,200000,4,2,0.191232382,0
ghc,200000,4,3,0.172239719,0
ghc,200000,4,4,0.153422152,0
ghc,200000,4,5,0.162494254,0
ghc,200000,4,6,0.151721004,0
ghc,200000,4,7,0.155044057,0
ghc,200000,4,8,0.141495194,0
ghc,200000,4,9,0.165863621,0
ghc,200000,4,10,0.179522594,0
ghc,200000,8,1,0.206897449,0
ghc,200000,8,2,0.204177391,0
ghc,200000,8,3,0.1594434,0
ghc,200000,8,4,0.178351304,0
ghc,200000,8,5,0.18322072,0
ghc,200000,8,6,0.217841237,0
ghc,200000,8,7,0.207988782,0
ghc,200000,8,8,0.185035296,0
ghc,200000,8,9,0.163520543,0
ghc,200000,8,10,0.199186663,0
ghc,250000,1,1,0.264655743,0
ghc,250000,1,2,0.26501764,0
ghc,250000,1,3,0.306039122,0
ghc,250000,1,4,0.272643532,0
ghc,250000,1,5,0.234672161,0
ghc,250000,1,6,0.281780003,0
ghc,250000,1,7,0.306455777,0
ghc,250000,1,8,0.236625667,0
ghc,250000,1,9,0.229487357,0
ghc,250000,1,10,0.245674461,0
ghc,250000,2,1,0.176323838,0
ghc,250000,2,2,0.188570621,0
ghc,250000,2,3,0.203230205,0
ghc,250000,2,4,0.202085643,0
ghc,250000,2,5,0.190284538,0
ghc,250000,2,6,0.180760914,0
ghc,250000,2,7,0.168762799,0
ghc,250000,2,8,0.194543366,0
ghc,250000,2,9,0.21010017,0
ghc,250000,2,10,0.21147164,0
ghc,250000,4,1,0.188492577,0
ghc,250000,4,2,0.197982044,0
ghc,250000,4,3,0.171806811,0
ghc,250000,4,4,0.181612027,0
ghc,250000,4,5,0.210359479,0
ghc,250000,4,6,0.179175613,0
ghc,250000,4,7,0.200380523,0
ghc,250000,4,8,0.183868413,0
ghc,250000,4,9,0.168537798,0
ghc,250000,4,10,0.172832764,0
ghc,250000,8,1,0.197956192,0
ghc,250000,8,2,0.227494034,0
ghc,250000,8,3,0.233228124,0
ghc,250000,8,4,0.203360362,0
ghc,250000,8,5,0.2426091,0
ghc,250000,8,6,0.305590454,0
ghc,250000,8,7,0.224146197,0
ghc,250000,8,8,0.242234739,0
ghc,250000,8,9,0.286018292,0
ghc,250000,8,10,0.216681376,0
ghc,300000,1,1,0.303578753,0
ghc,300000,1,2,0.318080517,0
ghc,300000,1,3,0.296639329,0
ghc,300000,1,4,0.275987424,0
ghc,300000,1,5,0.278148398,0
ghc,300000,1,6,0.288714461,0
ghc,300000,1,7,0.277859491,0
ghc,300000,1,8,0.297804082,0
ghc,300000,1,9,0.303494145,0
ghc,300000,1,10,0.315267768,0
ghc,300000,2,1,0.237793334,0
ghc,300000,2,2,0.230451506,0
ghc,300000,2,3,0.226633519,0
ghc,300000,2,4,0.204929762,0
ghc,300000,2,5,0.213993053,0
ghc,300000,2,6,0.227503388,0
ghc,300000,2,7,0.210589802,0
ghc,300000,2,8,0.240138303,0
ghc,300000,2,9,0.278067307,0
ghc,300000,2,10,0.211371644,0
ghc,300000,4,1,0.236835031,0
ghc,300000,4,2,0.215799189,0
ghc,300000,4,3,0.186229658,0
ghc,300000,4,4,0.20948998,0
ghc,300000,4,5,0.183636621,0
ghc,300000,4,6,0.184351338,0
ghc,300000,4,7,0.2218332,0
ghc,300000,4,8,0.262465743,0
ghc,300000,4,9,0.278416762,0
ghc,300000,4,10,0.263709783,0
ghc,300000,8,1,0.262086492,0
ghc,300000,8,2,0.293142086,0
ghc,300000,8,3,0.431190315,0
ghc,300000,8,4,0.430552653,0
ghc,300000,8,5,0.412173115,0
ghc,300000,8,6,0.328096589,0
ghc,300000,8,7,0.434257026,0
ghc,300000,8,8,0.39523489,0
ghc,300000,8,9,0.337063526,0
ghc,300000,8,10,0.31363666,0
ghc,350000,1,1,0.38784172,0
ghc,350000,1,2,0.383022712,0
ghc,350000,1,3,0.355677531,0
ghc,350000,1,4,0.369206147,0
ghc,350000,1,5,0.372887959,0
ghc,350000,1,6,0.355591759,0
ghc,350000,1,7,0.351365593,0
ghc,350000,1,8,0.36342338,0
ghc,350000,1,9,0.356107171,0
ghc,350000,1,10,0.352660234,0
