variant,N,P,rep,seconds,rc
parpseq,50000,1,1,4.1643294e-2,0
parpseq,50000,1,2,4.6530571e-2,0
parpseq,50000,1,3,4.3629969e-2,0
parpseq,50000,1,4,4.3547347e-2,0
parpseq,50000,1,5,5.6228042e-2,0
parpseq,50000,1,6,5.0491873e-2,0
parpseq,50000,1,7,3.9438032e-2,0
parpseq,50000,1,8,3.8699936e-2,0
parpseq,50000,1,9,4.4141585e-2,0
parpseq,50000,1,10,4.2799235e-2,0
parpseq,50000,2,1,3.2836894e-2,0
parpseq,50000,2,2,3.1444143e-2,0
parpseq,50000,2,3,4.2837759e-2,0
parpseq,50000,2,4,4.8436229e-2,0
parpseq,50000,2,5,4.0759215e-2,0
parpseq,50000,2,6,3.6519416e-2,0
parpseq,50000,2,7,3.3575829e-2,0
parpseq,50000,2,8,3.306536e-2,0
parpseq,50000,2,9,3.4790367e-2,0
parpseq,50000,2,10,3.8562735e-2,0
parpseq,50000,4,1,4.3682446e-2,0
parpseq,50000,4,2,3.6299258e-2,0
parpseq,50000,4,3,3.9343407e-2,0
parpseq,50000,4,4,3.2544904e-2,0
parpseq,50000,4,5,3.2084811e-2,0
parpseq,50000,4,6,3.1749643e-2,0
parpseq,50000,4,7,3.5490993e-2,0
parpseq,50000,4,8,3.5358551e-2,0
parpseq,50000,4,9,2.761169e-2,0
parpseq,50000,4,10,3.2374934e-2,0
parpseq,50000,8,1,3.7880118e-2,0
parpseq,50000,8,2,4.3007293e-2,0
parpseq,50000,8,3,3.906984e-2,0
parpseq,50000,8,4,4.2241088e-2,0
parpseq,50000,8,5,3.4534425e-2,0
parpseq,50000,8,6,3.4558448e-2,0
parpseq,50000,8,7,3.5105099e-2,0
parpseq,50000,8,8,3.2756537e-2,0
parpseq,50000,8,9,3.2329586e-2,0
parpseq,50000,8,10,3.7321124e-2,0
parpseq,100000,1,1,0.107992227,0
parpseq,100000,1,2,9.9298404e-2,0
parpseq,100000,1,3,0.114218928,0
parpseq,100000,1,4,0.106469205,0
parpseq,100000,1,5,9.9100519e-2,0
parpseq,100000,1,6,0.10668531,0
parpseq,100000,1,7,9.9099432e-2,0
parpseq,100000,1,8,9.9950189e-2,0
parpseq,100000,1,9,0.10138572,0
parpseq,100000,1,10,0.101894637,0
parpseq,100000,2,1,7.4463288e-2,0
parpseq,100000,2,2,0.109577014,0
parpseq,100000,2,3,7.7560643e-2,0
parpseq,100000,2,4,7.7643413e-2,0
parpseq,100000,2,5,9.2143187e-2,0
parpseq,100000,2,6,7.9387715e-2,0
parpseq,100000,2,7,7.5139462e-2,0
parpseq,100000,2,8,7.7281957e-2,0
parpseq,100000,2,9,7.8014719e-2,0
parpseq,100000,2,10,7.5524347e-2,0
parpseq,100000,4,1,7.7306952e-2,0
parpseq,100000,4,2,8.5481016e-2,0
parpseq,100000,4,3,7.0125897e-2,0
parpseq,100000,4,4,8.1099403e-2,0
parpseq,100000,4,5,6.580168e-2,0
parpseq,100000,4,6,6.9783443e-2,0
parpseq,100000,4,7,7.2500536e-2,0
parpseq,100000,4,8,7.5502934e-2,0
parpseq,100000,4,9,6.9056944e-2,0
parpseq,100000,4,10,7.4330675e-2,0
parpseq,100000,8,1,7.1988816e-2,0
parpseq,100000,8,2,8.0725768e-2,0
parpseq,100000,8,3,8.1916633e-2,0
parpseq,100000,8,4,8.0870903e-2,0
parpseq,100000,8,5,7.6939008e-2,0
parpseq,100000,8,6,7.7096331e-2,0
parpseq,100000,8,7,7.6280834e-2,0
parpseq,100000,8,8,7.7362527e-2,0
parpseq,100000,8,9,8.5684813e-2,0
parpseq,100000,8,10,7.8137914e-2,0
parpseq,150000,1,1,0.125118449,0
parpseq,150000,1,2,0.141992813,0
parpseq,150000,1,3,0.130990639,0
parpseq,150000,1,4,0.134932635,0
parpseq,150000,1,5,0.133838852,0
parpseq,150000,1,6,0.140317327,0
parpseq,150000,1,7,0.1247454,0
parpseq,150000,1,8,0.133065453,0
parpseq,150000,1,9,0.131324344,0
parpseq,150000,1,10,0.128918822,0
parpseq,150000,2,1,0.115061388,0
parpseq,150000,2,2,8.7334753e-2,0
parpseq,150000,2,3,0.102377973,0
parpseq,150000,2,4,0.110473359,0
parpseq,150000,2,5,0.113306226,0
parpseq,150000,2,6,0.116066564,0
parpseq,150000,2,7,0.118384383,0
parpseq,150000,2,8,0.112445851,0
parpseq,150000,2,9,9.5582737e-2,0
parpseq,150000,2,10,9.5259371e-2,0
parpseq,150000,4,1,9.9419731e-2,0
parpseq,150000,4,2,9.8798377e-2,0
parpseq,150000,4,3,9.7162111e-2,0
parpseq,150000,4,4,9.246223e-2,0
parpseq,150000,4,5,0.101336396,0
parpseq,150000,4,6,0.114148927,0
parpseq,150000,4,7,8.5807318e-2,0
parpseq,150000,4,8,8.7813517e-2,0
parpseq,150000,4,9,0.102726113,0
parpseq,150000,4,10,9.3206908e-2,0
parpseq,150000,8,1,0.117289016,0
parpseq,150000,8,2,0.117207086,0
parpseq,150000,8,3,0.109564723,0
parpseq,150000,8,4,0.128798336,0
parpseq,150000,8,5,0.139170124,0
parpseq,150000,8,6,0.13369665,0
parpseq,150000,8,7,0.113910106,0
parpseq,150000,8,8,0.122215261,0
parpseq,150000,8,9,0.108648934,0
parpseq,150000,8,10,0.108331902,0
parpseq,200000,1,1,0.211923784,0
parpseq,200000,1,2,0.240433877,0
parpseq,200000,1,3,0.225383802,0
parpseq,200000,1,4,0.207125948,0
parpseq,200000,1,5,0.197942318,0
parpseq,200000,1,6,0.213659516,0
