variant,N,P,rep,seconds,rc
super,50000,1,1,0.001597,0
super,50000,1,2,0.002216,0
super,50000,1,3,0.002786,0
super,50000,1,4,0.002315,0
super,50000,1,5,0.002533,0
super,50000,1,6,0.001873,0
super,50000,1,7,0.001667,0
super,50000,1,8,0.001671,0
super,50000,1,9,0.001663,0
super,50000,1,10,0.002149,0
super,50000,2,1,0.007301,0
super,50000,2,2,0.004723,0
super,50000,2,3,0.003202,0
super,50000,2,4,0.003788,0
super,50000,2,5,0.003265,0
super,50000,2,6,0.002974,0
super,50000,2,7,0.003128,0
super,50000,2,8,0.003205,0
super,50000,2,9,0.003099,0
super,50000,2,10,0.003009,0
super,50000,4,1,0.004061,0
super,50000,4,2,0.004016,0
super,50000,4,3,0.004977,0
super,50000,4,4,0.005196,0
super,50000,4,5,0.007170,0
super,50000,4,6,0.004493,0
super,50000,4,7,0.004761,0
super,50000,4,8,0.004235,0
super,50000,4,9,0.003785,0
super,50000,4,10,0.004651,0
super,50000,8,1,0.008132,0
super,50000,8,2,0.009291,0
super,50000,8,3,0.006986,0
super,50000,8,4,0.006015,0
super,50000,8,5,0.007294,0
super,50000,8,6,0.010306,0
super,50000,8,7,0.011306,0
super,50000,8,8,0.011871,0
super,50000,8,9,0.007497,0
super,50000,8,10,0.007753,0
super,100000,1,1,0.003332,0
super,100000,1,2,0.004613,0
super,100000,1,3,0.004113,0
super,100000,1,4,0.002914,0
super,100000,1,5,0.003757,0
super,100000,1,6,0.003870,0
super,100000,1,7,0.003017,0
super,100000,1,8,0.002723,0
super,100000,1,9,0.002744,0
super,100000,1,10,0.002655,0
super,100000,2,1,0.004548,0
super,100000,2,2,0.005209,0
super,100000,2,3,0.004381,0
super,100000,2,4,0.004417,0
super,100000,2,5,0.004413,0
super,100000,2,6,0.005491,0
super,100000,2,7,0.005919,0
super,100000,2,8,0.005282,0
super,100000,2,9,0.005695,0
super,100000,2,10,0.004618,0
super,100000,4,1,0.005666,0
super,100000,4,2,0.005890,0
super,100000,4,3,0.007795,0
super,100000,4,4,0.007468,0
super,100000,4,5,0.005924,0
super,100000,4,6,0.007909,0
super,100000,4,7,0.007461,0
super,100000,4,8,0.011671,0
super,100000,4,9,0.006181,0
super,100000,4,10,0.006203,0
super,100000,8,1,0.008472,0
super,100000,8,2,0.011364,0
super,100000,8,3,0.010558,0
super,100000,8,4,0.009138,0
super,100000,8,5,0.008505,0
super,100000,8,6,0.008978,0
super,100000,8,7,0.009510,0
super,100000,8,8,0.008012,0
super,100000,8,9,0.009583,0
super,100000,8,10,0.010260,0
super,150000,1,1,0.006663,0
super,150000,1,2,0.004885,0
super,150000,1,3,0.004446,0
super,150000,1,4,0.005654,0
super,150000,1,5,0.005088,0
super,150000,1,6,0.004463,0
super,150000,1,7,0.006104,0
super,150000,1,8,0.005840,0
super,150000,1,9,0.006550,0
super,150000,1,10,0.004098,0
super,150000,2,1,0.005888,0
super,150000,2,2,0.005627,0
super,150000,2,3,0.005508,0
super,150000,2,4,0.007777,0
super,150000,2,5,0.005587,0
super,150000,2,6,0.007529,0
super,150000,2,7,0.006964,0
super,150000,2,8,0.007068,0
super,150000,2,9,0.006631,0
super,150000,2,10,0.005564,0
super,150000,4,1,0.009125,0
super,150000,4,2,0.008708,0
super,150000,4,3,0.018067,0
super,150000,4,4,0.011750,0
super,150000,4,5,0.006967,0
super,150000,4,6,0.008976,0
super,150000,4,7,0.009961,0
super,150000,4,8,0.008429,0
super,150000,4,9,0.007113,0
super,150000,4,10,0.007949,0
super,150000,8,1,0.009883,0
super,150000,8,2,0.008789,0
super,150000,8,3,0.014440,0
super,150000,8,4,0.013126,0
super,150000,8,5,0.014152,0
super,150000,8,6,0.012376,0
super,150000,8,7,0.010969,0
super,150000,8,8,0.011800,0
super,150000,8,9,0.012886,0
super,150000,8,10,0.015808,0
super,200000,1,1,0.005140,0
super,200000,1,2,0.007339,0
super,200000,1,3,0.005951,0
super,200000,1,4,0.008400,0
super,200000,1,5,0.013477,0
super,200000,1,6,0.005969,0
super,200000,1,7,0.007857,0
super,200000,1,8,0.005804,0
super,200000,1,9,0.006758,0
super,200000,1,10,0.005520,0
super,200000,2,1,0.007689,0
super,200000,2,2,0.009114,0
super,200000,2,3,0.007421,0
super,200000,2,4,0.009446,0
super,200000,2,5,0.012169,0
super,200000,2,6,0.008850,0
super,200000,2,7,0.012088,0
super,200000,2,8,0.015607,0
super,200000,2,9,0.013337,0
super,200000,2,10,0.007130,0
super,200000,4,1,0.015205,0
super,200000,4,2,0.013821,0
super,200000,4,3,0.013072,0
super,200000,4,4,0.012352,0
super,200000,4,5,0.014121,0
super,200000,4,6,0.013797,0
super,200000,4,7,0.008070,0
super,200000,4,8,0.015286,0
super,200000,4,9,0.020735,0
super,200000,4,10,0.010045,0
super,200000,8,1,0.022626,0
super,200000,8,2,0.016623,0
super,200000,8,3,0.028766,0
super,200000,8,4,0.020779,0
super,200000,8,5,0.026993,0
super,200000,8,6,0.019737,0
