variant,N,P,reps,median_seconds,std_seconds
ghc,50000,1,8,0.050200,0.001159
ghc,100000,1,8,0.106630,0.001229
ghc,150000,1,8,0.170417,0.002989
ghc,200000,1,8,0.267332,0.006572
ghc,250000,1,8,0.345500,0.013314
ghc,300000,1,8,0.463755,0.020243
ghc,350000,1,8,0.527025,0.041857
ghc,400000,1,8,0.550298,0.011500
ghc,450000,1,8,0.616250,0.013014
ghc,500000,1,8,0.697102,0.051913
ghc,550000,1,8,0.768155,0.009395
ghc,600000,1,8,0.869789,0.004807
ghc,650000,1,8,0.957619,0.013950
ghc,700000,1,8,1.010942,0.014585
ghc,750000,1,8,1.139137,0.039040
ghc,800000,1,8,1.197106,0.024736
ghc,850000,1,8,1.249578,0.013172
ghc,900000,1,8,1.326894,0.018137
ghc,950000,1,8,1.427352,0.017174
ghc,1000000,1,8,1.504956,0.016240
ghc,50000,2,8,0.032429,0.002287
ghc,100000,2,8,0.067733,0.003213
ghc,150000,2,8,0.106789,0.003625
ghc,200000,2,8,0.183916,0.009450
ghc,250000,2,8,0.227549,0.013717
ghc,300000,2,8,0.310199,0.007827
ghc,350000,2,8,0.368241,0.019244
ghc,400000,2,8,0.348534,0.008209
ghc,450000,2,8,0.395033,0.018550
ghc,500000,2,8,0.466516,0.013870
ghc,550000,2,8,0.523978,0.022376
ghc,600000,2,8,0.574826,0.017767
ghc,650000,2,8,0.604529,0.016006
ghc,700000,2,8,0.679407,0.019102
ghc,750000,2,8,0.803004,0.015543
ghc,800000,2,8,0.769487,0.018660
ghc,850000,2,8,0.828046,0.013323
ghc,900000,2,8,0.883066,0.025990
ghc,950000,2,8,0.950679,0.017165
ghc,1000000,2,8,0.988299,0.013911
ghc,50000,4,8,0.028705,0.002483
ghc,100000,4,8,0.055897,0.004752
ghc,150000,4,8,0.091546,0.006744
ghc,200000,4,8,0.172028,0.011547
ghc,250000,4,8,0.198450,0.024260
ghc,300000,4,8,0.271764,0.025360
ghc,350000,4,8,0.330119,0.032060
ghc,400000,4,8,0.309353,0.017716
ghc,450000,4,8,0.380144,0.026320
ghc,500000,4,8,0.423160,0.023267
ghc,550000,4,8,0.471621,0.014770
ghc,600000,4,8,0.529421,0.021134
ghc,650000,4,8,0.576841,0.030594
ghc,700000,4,8,0.620610,0.034043
ghc,750000,4,8,0.674415,0.025319
ghc,800000,4,8,0.712847,0.025891
ghc,850000,4,8,0.754833,0.021587
ghc,900000,4,8,0.791904,0.028579
ghc,950000,4,8,0.832889,0.025909
ghc,1000000,4,8,0.954497,0.045636
ghc,50000,8,8,0.027976,0.003089
ghc,100000,8,8,0.061930,0.005167
ghc,150000,8,8,0.108330,0.007853
ghc,200000,8,8,0.182897,0.034787
ghc,250000,8,8,0.244105,0.025919
ghc,300000,8,8,0.317337,0.039521
ghc,350000,8,8,0.456963,0.058144
ghc,400000,8,8,0.362984,0.025310
ghc,450000,8,8,0.391664,0.026202
ghc,500000,8,8,0.458609,0.036210
ghc,550000,8,8,0.552352,0.052602
ghc,600000,8,8,0.573355,0.013792
ghc,650000,8,8,0.678774,0.067445
ghc,700000,8,8,0.716152,0.027571
ghc,750000,8,8,0.769590,0.034925
ghc,800000,8,8,0.767229,0.060509
ghc,850000,8,8,0.858445,0.073252
ghc,900000,8,8,0.965619,0.087037
ghc,950000,8,8,0.959360,0.049146
ghc,1000000,8,8,1.107758,0.031871
