variant,N,P,rep,seconds,rc
ghc,50000,1,1,4.7107469e-2,0
ghc,50000,1,2,5.3425796e-2,0
ghc,50000,1,3,4.9605277e-2,0
ghc,50000,1,4,5.0802645e-2,0
ghc,50000,1,5,5.1152707e-2,0
ghc,50000,1,6,4.8361622e-2,0
ghc,50000,1,7,5.0794733e-2,0
ghc,50000,1,8,4.8193749e-2,0
ghc,50000,1,9,5.1230093e-2,0
ghc,50000,1,10,4.924079e-2,0
ghc,50000,2,1,3.526048e-2,0
ghc,50000,2,2,3.1568872e-2,0
ghc,50000,2,3,2.7604253e-2,0
ghc,50000,2,4,3.4717959e-2,0
ghc,50000,2,5,3.1913809e-2,0
ghc,50000,2,6,3.294421e-2,0
ghc,50000,2,7,2.8610839e-2,0
ghc,50000,2,8,2.8341023e-2,0
ghc,50000,2,9,3.3240311e-2,0
ghc,50000,2,10,3.4640302e-2,0
ghc,50000,4,1,2.918612e-2,0
ghc,50000,4,2,2.3796558e-2,0
ghc,50000,4,3,2.7308939e-2,0
ghc,50000,4,4,2.8828397e-2,0
ghc,50000,4,5,2.4922795e-2,0
ghc,50000,4,6,3.3379816e-2,0
ghc,50000,4,7,2.4260975e-2,0
ghc,50000,4,8,2.9000435e-2,0
ghc,50000,4,9,3.2694205e-2,0
ghc,50000,4,10,2.8582593e-2,0
ghc,50000,8,1,3.2220472e-2,0
ghc,50000,8,2,2.1830316e-2,0
ghc,50000,8,3,2.8327498e-2,0
ghc,50000,8,4,3.3424157e-2,0
ghc,50000,8,5,3.4013108e-2,0
ghc,50000,8,6,2.762449e-2,0
ghc,50000,8,7,2.5819452e-2,0
ghc,50000,8,8,2.6943733e-2,0
ghc,50000,8,9,2.6614608e-2,0
ghc,50000,8,10,4.0116837e-2,0
ghc,100000,1,1,0.103082521,0
ghc,100000,1,2,0.111224655,0
ghc,100000,1,3,0.104108953,0
ghc,100000,1,4,0.106671856,0
ghc,100000,1,5,0.104310579,0
ghc,100000,1,6,0.107132273,0
ghc,100000,1,7,0.106587177,0
ghc,100000,1,8,0.10765012,0
ghc,100000,1,9,0.10708791,0
ghc,100000,1,10,0.106346585,0
ghc,100000,2,1,6.6493382e-2,0
ghc,100000,2,2,7.5715528e-2,0
ghc,100000,2,3,7.3331645e-2,0
ghc,100000,2,4,6.7257915e-2,0
ghc,100000,2,5,7.1386576e-2,0
ghc,100000,2,6,7.7387411e-2,0
ghc,100000,2,7,6.3175005e-2,0
ghc,100000,2,8,6.8044809e-2,0
ghc,100000,2,9,6.7195634e-2,0
ghc,100000,2,10,6.7420733e-2,0
ghc,100000,4,1,4.9256761e-2,0
ghc,100000,4,2,5.9911369e-2,0
ghc,100000,4,3,7.3329571e-2,0
ghc,100000,4,4,6.086216e-2,0
ghc,100000,4,5,6.5085117e-2,0
ghc,100000,4,6,5.2615746e-2,0
ghc,100000,4,7,5.4547223e-2,0
ghc,100000,4,8,4.7793452e-2,0
ghc,100000,4,9,5.4318038e-2,0
ghc,100000,4,10,5.7247635e-2,0
ghc,100000,8,1,6.0224792e-2,0
ghc,100000,8,2,6.3635696e-2,0
ghc,100000,8,3,5.9056915e-2,0
ghc,100000,8,4,6.6862342e-2,0
ghc,100000,8,5,5.836969e-2,0
ghc,100000,8,6,5.6269524e-2,0
ghc,100000,8,7,6.4273462e-2,0
ghc,100000,8,8,5.384652e-2,0
ghc,100000,8,9,8.212708e-2,0
ghc,100000,8,10,7.3348646e-2,0
ghc,150000,1,1,0.173139802,0
ghc,150000,1,2,0.179433805,0
ghc,150000,1,3,0.175189398,0
ghc,150000,1,4,0.168163687,0
ghc,150000,1,5,0.166582787,0
ghc,150000,1,6,0.174882633,0
ghc,150000,1,7,0.169344152,0
ghc,150000,1,8,0.168614348,0
ghc,150000,1,9,0.171490658,0
ghc,150000,1,10,0.166809269,0
ghc,150000,2,1,0.103881877,0
ghc,150000,2,2,0.111422036,0
ghc,150000,2,3,0.103444372,0
ghc,150000,2,4,0.113108215,0
ghc,150000,2,5,0.106952149,0
ghc,150000,2,6,0.113620002,0
ghc,150000,2,7,0.106626497,0
ghc,150000,2,8,0.104415529,0
ghc,150000,2,9,0.11180281,0
ghc,150000,2,10,0.103218478,0
ghc,150000,4,1,8.6353463e-2,0
ghc,150000,4,2,9.3167447e-2,0
ghc,150000,4,3,0.102268485,0
ghc,150000,4,4,8.9924958e-2,0
ghc,150000,4,5,8.489498e-2,0
ghc,150000,4,6,8.7350847e-2,0
ghc,150000,4,7,0.100918847,0
ghc,150000,4,8,0.116075663,0
ghc,150000,4,9,0.101028278,0
ghc,150000,4,10,8.2559796e-2,0
ghc,150000,8,1,0.112669124,0
ghc,150000,8,2,8.5382794e-2,0
ghc,150000,8,3,9.4244346e-2,0
ghc,150000,8,4,0.109843026,0
ghc,150000,8,5,9.41514e-2,0
ghc,150000,8,6,0.102949309,0
ghc,150000,8,7,0.11233227,0
ghc,150000,8,8,0.129809605,0
ghc,150000,8,9,0.116279267,0
ghc,150000,8,10,0.106816056,0
ghc,200000,1,1,0.258761225,0
ghc,200000,1,2,0.263632479,0
ghc,200000,1,3,0.264586077,0
ghc,200000,1,4,0.266270192,0
ghc,200000,1,5,0.270382638,0
ghc,200000,1,6,0.301576982,0
ghc,200000,1,7,0.278285673,0
ghc,200000,1,8,0.282467489,0
ghc,200000,1,9,0.264053433,0
ghc,200000,1,10,0.268393966,0
ghc,200000,2,1,0.187334407,0
ghc,200000,2,2,0.175261753,0
ghc,200000,2,3,0.16533021,0
ghc,200000,2,4,0.202822637,0
ghc,200000,2,5,0.1995711,0
ghc,200000,2,6,0.18533738,0
ghc,200000,2,7,0.181854847,0
ghc,200000,2,8,0.171317975,0
ghc,200000,2,9,0.182494709,0
ghc,200000,2,10,0.199105476,0
ghc,200000,4,1,0.263415514,0
ghc,200000,4,2,0.170080294,0
ghc,200000,4,3,0.187472093,0
ghc,200000,4,4,0.173657675,0
ghc,200000,4,5,0.195806846,0
ghc,200000,4,6,0.147066074,0
ghc,200000,4,7,0.170397898,0
ghc,200000,4,8,0.161403389,0
ghc,200000,4,9,0.174162332,0
ghc,200000,4,10,0.159085361,0
ghc,200000,8,1,0.198520008,0
ghc,200000,8,2,0.278608368,0
ghc,200000,8,3,0.179133242,0
ghc,200000,8,4,0.178898973,0
ghc,200000,8,5,0.186660449,0
ghc,200000,8,6,0.276046708,0
ghc,200000,8,7,0.173081813,0
ghc,200000,8,8,0.149362923,0
ghc,200000,8,9,0.200124262,0
ghc,200000,8,10,0.14969305,0
ghc,250000,1,1,0.337732396,0
ghc,250000,1,2,0.348287157,0
ghc,250000,1,3,0.380663414,0
ghc,250000,1,4,0.365663289,0
ghc,250000,1,5,0.332372155,0
ghc,250000,1,6,0.331283694,0
ghc,250000,1,7,0.342712992,0
ghc,250000,1,8,0.350045094,0
ghc,250000,1,9,0.372115356,0
ghc,250000,1,10,0.336051016,0
ghc,250000,2,1,0.220006331,0
ghc,250000,2,2,0.22335519,0
ghc,250000,2,3,0.244448022,0
ghc,250000,2,4,0.226745133,0
ghc,250000,2,5,0.209253947,0
ghc,250000,2,6,0.268536586,0
ghc,250000,2,7,0.254275897,0
ghc,250000,2,8,0.228353209,0
ghc,250000,2,9,0.252691248,0
ghc,250000,2,10,0.218391897,0
ghc,250000,4,1,0.197238789,0
ghc,250000,4,2,0.221040155,0
ghc,250000,4,3,0.187081002,0
ghc,250000,4,4,0.136617202,0
ghc,250000,4,5,0.153770102,0
ghc,250000,4,6,0.167066131,0
ghc,250000,4,7,0.199662044,0
ghc,250000,4,8,0.228779494,0
ghc,250000,4,9,0.261509449,0
ghc,250000,4,10,0.213081991,0
ghc,250000,8,1,0.234753303,0
ghc,250000,8,2,0.201702477,0
ghc,250000,8,3,0.264598507,0
ghc,250000,8,4,0.238137342,0
ghc,250000,8,5,0.244747839,0
ghc,250000,8,6,0.367055893,0
ghc,250000,8,7,0.262533047,0
ghc,250000,8,8,0.307657991,0
ghc,250000,8,9,0.243462006,0
ghc,250000,8,10,0.214642534,0
ghc,300000,1,1,0.445331587,0
ghc,300000,1,2,0.432250196,0
ghc,300000,1,3,0.510853152,0
ghc,300000,1,4,0.471861186,0
ghc,300000,1,5,0.443314552,0
ghc,300000,1,6,0.458033765,0
ghc,300000,1,7,0.455484437,0
ghc,300000,1,8,0.469476046,0
ghc,300000,1,9,0.529175482,0
ghc,300000,1,10,0.476244648,0
ghc,300000,2,1,0.316503846,0
ghc,300000,2,2,0.321776693,0
ghc,300000,2,3,0.306005788,0
ghc,300000,2,4,0.270214661,0
ghc,300000,2,5,0.306701679,0
ghc,300000,2,6,0.379402364,0
ghc,300000,2,7,0.295279539,0
ghc,300000,2,8,0.31816082,0
ghc,300000,2,9,0.309232744,0
ghc,300000,2,10,0.311166095,0
ghc,300000,4,1,0.274694903,0
ghc,300000,4,2,0.309576381,0
ghc,300000,4,3,0.266500875,0
ghc,300000,4,4,0.321660373,0
ghc,300000,4,5,0.332115897,0
ghc,300000,4,6,0.236918878,0
ghc,300000,4,7,0.256801475,0
ghc,300000,4,8,0.251833027,0
ghc,300000,4,9,0.268832328,0
ghc,300000,4,10,0.310314387,0
ghc,300000,8,1,0.322533985,0
ghc,300000,8,2,0.318150522,0
ghc,300000,8,3,0.432916192,0
ghc,300000,8,4,0.483147146,0
ghc,300000,8,5,0.322926572,0
ghc,300000,8,6,0.314405827,0
ghc,300000,8,7,0.307875601,0
ghc,300000,8,8,0.302737107,0
ghc,300000,8,9,0.316522767,0
ghc,300000,8,10,0.285108076,0
ghc,350000,1,1,0.622502726,0
ghc,350000,1,2,0.511417883,0
ghc,350000,1,3,0.53342778,0
ghc,350000,1,4,0.520622773,0
ghc,350000,1,5,0.46751723,0
ghc,350000,1,6,0.4172631,0
ghc,350000,1,7,0.541940369,0
ghc,350000,1,8,0.634735318,0
ghc,350000,1,9,0.51380506,0
ghc,350000,1,10,0.558579606,0
ghc,350000,2,1,0.35446797,0
ghc,350000,2,2,0.359607713,0
ghc,350000,2,3,0.379364559,0
ghc,350000,2,4,0.436599377,0
ghc,350000,2,5,0.366607527,0
ghc,350000,2,6,0.353869576,0
ghc,350000,2,7,0.358035053,0
ghc,350000,2,8,0.412563583,0
ghc,350000,2,9,0.39713933,0
ghc,350000,2,10,0.369875432,0
ghc,350000,4,1,0.40915752,0
ghc,350000,4,2,0.376911983,0
ghc,350000,4,3,0.32505041,0
ghc,350000,4,4,0.299378061,0
ghc,350000,4,5,0.320369766,0
ghc,350000,4,6,0.335187162,0
ghc,350000,4,7,0.311046767,0
ghc,350000,4,8,0.363053051,0
ghc,350000,4,9,0.322419959,0
ghc,350000,4,10,0.441518094,0
ghc,350000,8,1,0.434270878,0
ghc,350000,8,2,0.472634004,0
ghc,350000,8,3,0.330992239,0
ghc,350000,8,4,0.520763345,0
ghc,350000,8,5,0.369911085,0
ghc,350000,8,6,0.321170999,0
ghc,350000,8,7,0.484163322,0
ghc,350000,8,8,0.449569753,0
ghc,350000,8,9,0.464356668,0
ghc,350000,8,10,0.540137954,0
ghc,400000,1,1,0.575681925,0
ghc,400000,1,2,0.533033302,0
ghc,400000,1,3,0.528562019,0
ghc,400000,1,4,0.540631946,0
ghc,400000,1,5,0.551119191,0
