variant,N,cutoff,P,rep,seconds
super,8,1,1,1,0.004151583
super,8,1,1,2,0.003498001
super,8,1,1,3,0.002874155
ghc,8,1,1,1,5.26772e-4
ghc,8,1,1,2,5.29677e-4
ghc,8,1,1,3,3.56789e-4
parpseq,8,1,1,1,5.08517e-4
parpseq,8,1,1,2,4.87642e-4
parpseq,8,1,1,3,4.85798e-4
super,8,1,2,1,0.017305347
super,8,1,2,2,0.017069938
super,8,1,2,3,0.019546923
ghc,8,1,2,1,3.33166e-4
ghc,8,1,2,2,3.033e-4
ghc,8,1,2,3,3.94321e-4
parpseq,8,1,2,1,3.12309e-4
parpseq,8,1,2,2,3.60223e-4
parpseq,8,1,2,3,3.51678e-4
super,8,2,4,1,0.064707958
super,8,2,4,2,0.045878254
super,8,2,4,3,0.050643444
ghc,8,2,4,1,1.77572e-4
ghc,8,2,4,2,1.83346e-4
ghc,8,2,4,3,1.91443e-4
parpseq,8,2,4,1,2.37275e-4
parpseq,8,2,4,2,1.94845e-4
parpseq,8,2,4,3,1.97674e-4
super,8,2,8,1,0.059927589
super,8,2,8,2,0.079174886
super,8,2,8,3,0.086369643
ghc,8,2,8,1,1.37903e-4
ghc,8,2,8,2,1.51854e-4
ghc,8,2,8,3,1.53615e-4
parpseq,8,2,8,1,1.4265e-4
parpseq,8,2,8,2,1.26297e-4
parpseq,8,2,8,3,1.2332e-4
super,8,2,12,1,0.081593630
super,8,2,12,2,0.094732676
super,8,2,12,3,0.094164021
ghc,8,2,12,1,1.42749e-4
ghc,8,2,12,2,1.79113e-4
ghc,8,2,12,3,1.86841e-4
parpseq,8,2,12,1,1.00561e-4
parpseq,8,2,12,2,1.24505e-4
parpseq,8,2,12,3,1.02073e-4
super,8,2,16,1,0.114889287
super,8,2,16,2,0.085140857
super,8,2,16,3,0.096496208
ghc,8,2,16,1,1.65242e-4
ghc,8,2,16,2,1.39556e-4
ghc,8,2,16,3,1.2654e-4
parpseq,8,2,16,1,1.27895e-4
parpseq,8,2,16,2,1.29975e-4
parpseq,8,2,16,3,1.23333e-4
super,8,3,20,1,0.230661348
super,8,3,20,2,0.205941095
super,8,3,20,3,0.263181212
ghc,8,3,20,1,2.41588e-4
ghc,8,3,20,2,1.44617e-4
ghc,8,3,20,3,1.64013e-4
parpseq,8,3,20,1,1.53317e-4
parpseq,8,3,20,2,1.21114e-4
parpseq,8,3,20,3,1.2651e-4
super,8,3,24,1,0.245532793
super,8,3,24,2,0.275241645
super,8,3,24,3,0.242928858
ghc,8,3,24,1,1.71743e-4
ghc,8,3,24,2,1.86391e-4
ghc,8,3,24,3,1.62367e-4
parpseq,8,3,24,1,1.79632e-4
parpseq,8,3,24,2,1.50588e-4
parpseq,8,3,24,3,1.81134e-4
super,9,1,1,1,0.004325316
super,9,1,1,2,0.004703996
super,9,1,1,3,0.004445023
ghc,9,1,1,1,1.681099e-3
ghc,9,1,1,2,2.089946e-3
ghc,9,1,1,3,1.647702e-3
parpseq,9,1,1,1,1.876746e-3
parpseq,9,1,1,2,2.40135e-3
parpseq,9,1,1,3,2.281284e-3
super,9,1,2,1,0.025290205
super,9,1,2,2,0.028247330
super,9,1,2,3,0.017807964
ghc,9,1,2,1,1.326343e-3
ghc,9,1,2,2,1.384597e-3
ghc,9,1,2,3,1.340032e-3
parpseq,9,1,2,1,1.363821e-3
parpseq,9,1,2,2,1.289552e-3
parpseq,9,1,2,3,1.228033e-3
super,9,2,4,1,0.070748957
super,9,2,4,2,0.053327276
super,9,2,4,3,0.051512616
ghc,9,2,4,1,6.48615e-4
ghc,9,2,4,2,6.37571e-4
ghc,9,2,4,3,6.05657e-4
parpseq,9,2,4,1,7.16472e-4
parpseq,9,2,4,2,6.8225e-4
parpseq,9,2,4,3,6.42544e-4
super,9,2,8,1,0.082443216
super,9,2,8,2,0.084807003
super,9,2,8,3,0.080665101
ghc,9,2,8,1,3.90712e-4
ghc,9,2,8,2,3.76389e-4
ghc,9,2,8,3,3.6526e-4
parpseq,9,2,8,1,4.8866e-4
parpseq,9,2,8,2,4.51453e-4
parpseq,9,2,8,3,4.71367e-4
super,9,2,12,1,0.094057490
super,9,2,12,2,0.095022689
super,9,2,12,3,0.123930827
ghc,9,2,12,1,4.48923e-4
ghc,9,2,12,2,5.0028e-4
ghc,9,2,12,3,4.39939e-4
parpseq,9,2,12,1,5.11157e-4
parpseq,9,2,12,2,4.09228e-4
parpseq,9,2,12,3,3.83656e-4
super,9,2,16,1,0.106833123
super,9,2,16,2,0.105769810
super,9,2,16,3,0.135078463
ghc,9,2,16,1,4.02043e-4
ghc,9,2,16,2,3.42782e-4
ghc,9,2,16,3,3.65818e-4
parpseq,9,2,16,1,3.81047e-4
parpseq,9,2,16,2,4.07959e-4
parpseq,9,2,16,3,3.50794e-4
super,9,2,20,1,0.114343685
super,9,2,20,2,0.106114096
super,9,2,20,3,0.107763274
ghc,9,2,20,1,3.78467e-4
ghc,9,2,20,2,3.59493e-4
ghc,9,2,20,3,4.21998e-4
parpseq,9,2,20,1,5.29399e-4
parpseq,9,2,20,2,3.82985e-4
parpseq,9,2,20,3,3.83133e-4
super,9,3,24,1,0.363415310
super,9,3,24,2,0.359651871
super,9,3,24,3,0.318648269
ghc,9,3,24,1,3.91627e-4
ghc,9,3,24,2,1.020249e-3
ghc,9,3,24,3,4.71586e-4
parpseq,9,3,24,1,4.41473e-4
parpseq,9,3,24,2,3.92754e-4
parpseq,9,3,24,3,4.36262e-4
super,10,1,1,1,0.008953330
super,10,1,1,2,0.009117786
super,10,1,1,3,0.007993232
ghc,10,1,1,1,8.932321e-3
ghc,10,1,1,2,6.044862e-3
ghc,10,1,1,3,8.907831e-3
parpseq,10,1,1,1,7.286609e-3
parpseq,10,1,1,2,6.417349e-3
parpseq,10,1,1,3,6.742403e-3
super,10,1,2,1,0.022380601
super,10,1,2,2,0.029408062
super,10,1,2,3,0.021396342
ghc,10,1,2,1,5.297185e-3
ghc,10,1,2,2,4.673259e-3
ghc,10,1,2,3,5.507342e-3
parpseq,10,1,2,1,4.307386e-3
parpseq,10,1,2,2,5.105237e-3
parpseq,10,1,2,3,5.168415e-3
super,10,2,4,1,0.062811184
super,10,2,4,2,0.065534583
super,10,2,4,3,0.061983269
ghc,10,2,4,1,2.630166e-3
ghc,10,2,4,2,2.57952e-3
ghc,10,2,4,3,2.602189e-3
parpseq,10,2,4,1,3.099591e-3
parpseq,10,2,4,2,2.819427e-3
parpseq,10,2,4,3,3.362277e-3
super,10,2,8,1,0.069881647
super,10,2,8,2,0.078036096
super,10,2,8,3,0.085329216
ghc,10,2,8,1,1.50362e-3
ghc,10,2,8,2,1.581387e-3
ghc,10,2,8,3,1.592122e-3
parpseq,10,2,8,1,1.933163e-3
parpseq,10,2,8,2,2.053281e-3
parpseq,10,2,8,3,2.123555e-3
super,10,2,12,1,0.112309849
super,10,2,12,2,0.121122026
super,10,2,12,3,0.102778659
ghc,10,2,12,1,1.349935e-3
ghc,10,2,12,2,1.389873e-3
ghc,10,2,12,3,1.244728e-3
parpseq,10,2,12,1,1.635205e-3
parpseq,10,2,12,2,1.902952e-3
parpseq,10,2,12,3,1.490805e-3
super,10,2,16,1,0.113027547
super,10,2,16,2,0.116135926
super,10,2,16,3,0.118434892
ghc,10,2,16,1,1.204852e-3
ghc,10,2,16,2,1.461329e-3
ghc,10,2,16,3,1.233535e-3
parpseq,10,2,16,1,1.512675e-3
parpseq,10,2,16,2,1.754742e-3
parpseq,10,2,16,3,1.738478e-3
super,10,2,20,1,0.136318123
super,10,2,20,2,0.105845359
super,10,2,20,3,0.097049621
ghc,10,2,20,1,1.739702e-3
ghc,10,2,20,2,1.602467e-3
ghc,10,2,20,3,1.402766e-3
parpseq,10,2,20,1,1.667098e-3
parpseq,10,2,20,2,1.398245e-3
parpseq,10,2,20,3,1.866843e-3
super,10,2,24,1,0.103465913
super,10,2,24,2,0.132541136
super,10,2,24,3,0.082341349
ghc,10,2,24,1,1.587676e-3
ghc,10,2,24,2,1.914282e-3
ghc,10,2,24,3,1.567976e-3
parpseq,10,2,24,1,1.625607e-3
parpseq,10,2,24,2,1.743419e-3
parpseq,10,2,24,3,1.653846e-3
super,11,1,1,1,0.031586315
super,11,1,1,2,0.030984949
super,11,1,1,3,0.030000759
ghc,11,1,1,1,2.9724297e-2
ghc,11,1,1,2,2.6043701e-2
ghc,11,1,1,3,3.0816792e-2
parpseq,11,1,1,1,2.7500778e-2
parpseq,11,1,1,2,2.6422432e-2
parpseq,11,1,1,3,2.7335566e-2
super,11,1,2,1,0.041469397
super,11,1,2,2,0.048249642
super,11,1,2,3,0.039931998
ghc,11,1,2,1,1.5637156e-2
ghc,11,1,2,2,2.019786e-2
ghc,11,1,2,3,1.5089992e-2
parpseq,11,1,2,1,1.5427133e-2
parpseq,11,1,2,2,1.682197e-2
parpseq,11,1,2,3,1.8142094e-2
super,11,2,4,1,0.078833645
super,11,2,4,2,0.085028148
super,11,2,4,3,0.083069041
ghc,11,2,4,1,9.862119e-3
ghc,11,2,4,2,1.0129353e-2
ghc,11,2,4,3,1.0159992e-2
parpseq,11,2,4,1,9.922717e-3
parpseq,11,2,4,2,1.0689765e-2
parpseq,11,2,4,3,1.176925e-2
super,11,2,8,1,0.083566002
super,11,2,8,2,0.108153053
super,11,2,8,3,0.106177036
ghc,11,2,8,1,8.394471e-3
ghc,11,2,8,2,7.326657e-3
ghc,11,2,8,3,6.055625e-3
parpseq,11,2,8,1,7.561217e-3
parpseq,11,2,8,2,7.424349e-3
parpseq,11,2,8,3,7.07578e-3
super,11,2,12,1,0.118673678
super,11,2,12,2,0.112063427
super,11,2,12,3,0.121329866
ghc,11,2,12,1,8.824566e-3
ghc,11,2,12,2,7.769412e-3
ghc,11,2,12,3,7.376523e-3
parpseq,11,2,12,1,8.321458e-3
parpseq,11,2,12,2,7.921795e-3
parpseq,11,2,12,3,7.854275e-3
super,11,2,16,1,0.136065532
super,11,2,16,2,0.125870532
super,11,2,16,3,0.137630166
ghc,11,2,16,1,6.502261e-3
ghc,11,2,16,2,7.563601e-3
ghc,11,2,16,3,6.723139e-3
parpseq,11,2,16,1,7.88704e-3
parpseq,11,2,16,2,7.566831e-3
parpseq,11,2,16,3,8.147882e-3
super,11,2,20,1,0.121222499
super,11,2,20,2,0.125040922
super,11,2,20,3,0.148830341
ghc,11,2,20,1,9.620037e-3
ghc,11,2,20,2,7.672431e-3
ghc,11,2,20,3,7.174544e-3
parpseq,11,2,20,1,7.265162e-3
parpseq,11,2,20,2,7.659862e-3
parpseq,11,2,20,3,7.965252e-3
super,11,2,24,1,0.109199397
super,11,2,24,2,0.128400054
super,11,2,24,3,0.173667229
ghc,11,2,24,1,7.573645e-3
ghc,11,2,24,2,7.267242e-3
ghc,11,2,24,3,6.702654e-3
parpseq,11,2,24,1,7.393805e-3
parpseq,11,2,24,2,6.967234e-3
parpseq,11,2,24,3,7.348486e-3
super,12,1,1,1,0.135448257
super,12,1,1,2,0.137464278
super,12,1,1,3,0.140178043
ghc,12,1,1,1,0.129989277
ghc,12,1,1,2,0.135416153
ghc,12,1,1,3,0.131809486
parpseq,12,1,1,1,0.12996861
parpseq,12,1,1,2,0.130244178
parpseq,12,1,1,3,0.133000791
super,12,1,2,1,0.147517514
super,12,1,2,2,0.142673144
super,12,1,2,3,0.136291635
ghc,12,1,2,1,7.6181634e-2
ghc,12,1,2,2,8.8814573e-2
ghc,12,1,2,3,7.6663785e-2
parpseq,12,1,2,1,8.254317e-2
parpseq,12,1,2,2,8.0577088e-2
parpseq,12,1,2,3,8.7308965e-2
super,12,2,4,1,0.159459275
super,12,2,4,2,0.147595358
super,12,2,4,3,0.153522223
ghc,12,2,4,1,4.2569567e-2
ghc,12,2,4,2,4.565656e-2
ghc,12,2,4,3,4.8406472e-2
parpseq,12,2,4,1,4.4275539e-2
parpseq,12,2,4,2,4.3902403e-2
parpseq,12,2,4,3,4.3968129e-2
super,12,2,8,1,0.143349380
super,12,2,8,2,0.147283765
super,12,2,8,3,0.161389547
ghc,12,2,8,1,3.2534405e-2
ghc,12,2,8,2,3.4555934e-2
ghc,12,2,8,3,3.3051417e-2
parpseq,12,2,8,1,3.9203264e-2
parpseq,12,2,8,2,3.4192206e-2
parpseq,12,2,8,3,3.2208392e-2
super,12,2,12,1,0.138379288
super,12,2,12,2,0.154945388
super,12,2,12,3,0.137683449
ghc,12,2,12,1,2.9026064e-2
ghc,12,2,12,2,3.0771602e-2
ghc,12,2,12,3,3.1176694e-2
