variant,N,P,rep,seconds,rc
ghc,500000,1,1,7.9257245e-2,0
ghc,500000,1,2,7.9958768e-2,0
ghc,500000,1,3,7.9052853e-2,0
ghc,500000,2,1,4.3906434e-2,0
ghc,500000,2,2,4.4788213e-2,0
ghc,500000,2,3,4.5525392e-2,0
ghc,500000,4,1,2.7542994e-2,0
ghc,500000,4,2,2.4820579e-2,0
ghc,500000,4,3,2.666389e-2,0
ghc,500000,8,1,2.0296778e-2,0
ghc,500000,8,2,2.1842142e-2,0
ghc,500000,8,3,1.948905e-2,0
ghc,500000,16,1,1.5371641e-2,0
ghc,500000,16,2,1.5674894e-2,0
ghc,500000,16,3,1.7602719e-2,0
ghc,500000,32,1,1.5917394e-2,0
ghc,500000,32,2,1.4265415e-2,0
ghc,500000,32,3,1.3302577e-2,0
ghc,1000000,1,1,0.162655651,0
ghc,1000000,1,2,0.165506152,0
ghc,1000000,1,3,0.163448768,0
ghc,1000000,2,1,9.5370977e-2,0
ghc,1000000,2,2,9.2465837e-2,0
ghc,1000000,2,3,9.4586254e-2,0
ghc,1000000,4,1,5.0089957e-2,0
ghc,1000000,4,2,5.4246344e-2,0
ghc,1000000,4,3,5.8580336e-2,0
ghc,1000000,8,1,3.5758556e-2,0
ghc,1000000,8,2,3.7678126e-2,0
ghc,1000000,8,3,4.2240739e-2,0
ghc,1000000,16,1,2.9087438e-2,0
ghc,1000000,16,2,3.0241392e-2,0
ghc,1000000,16,3,3.2877593e-2,0
ghc,1000000,32,1,2.9773508e-2,0
ghc,1000000,32,2,3.0817649e-2,0
ghc,1000000,32,3,3.0012754e-2,0
ghc,1500000,1,1,0.248510848,0
ghc,1500000,1,2,0.253304127,0
ghc,1500000,1,3,0.248662202,0
ghc,1500000,2,1,0.137147975,0
ghc,1500000,2,2,0.13894737,0
ghc,1500000,2,3,0.137808233,0
ghc,1500000,4,1,9.0230207e-2,0
ghc,1500000,4,2,9.2158843e-2,0
ghc,1500000,4,3,9.0726554e-2,0
ghc,1500000,8,1,6.2082242e-2,0
ghc,1500000,8,2,6.3768346e-2,0
ghc,1500000,8,3,6.4913944e-2,0
ghc,1500000,16,1,5.0811208e-2,0
ghc,1500000,16,2,4.9055692e-2,0
ghc,1500000,16,3,5.0396015e-2,0
ghc,1500000,32,1,4.7628254e-2,0
ghc,1500000,32,2,4.809984e-2,0
ghc,1500000,32,3,4.1693063e-2,0
ghc,2000000,1,1,0.344401919,0
ghc,2000000,1,2,0.345306412,0
ghc,2000000,1,3,0.347276536,0
ghc,2000000,2,1,0.192009785,0
ghc,2000000,2,2,0.193366545,0
ghc,2000000,2,3,0.191706399,0
ghc,2000000,4,1,0.114527767,0
ghc,2000000,4,2,0.116728801,0
ghc,2000000,4,3,0.11991856,0
ghc,2000000,8,1,9.7970494e-2,0
ghc,2000000,8,2,9.1224359e-2,0
ghc,2000000,8,3,9.8434799e-2,0
ghc,2000000,16,1,7.3581403e-2,0
ghc,2000000,16,2,6.6889937e-2,0
