variant,N,P,rep,seconds,rc
parpseq,500000,1,1,4.7309202e-2,0
parpseq,500000,1,2,4.5990725e-2,0
parpseq,500000,1,3,4.4948615e-2,0
parpseq,500000,2,1,3.8694401e-2,0
parpseq,500000,2,2,4.449591e-2,0
parpseq,500000,2,3,2.9527934e-2,0
parpseq,500000,4,1,2.4699504e-2,0
parpseq,500000,4,2,2.2710847e-2,0
parpseq,500000,4,3,2.9294173e-2,0
parpseq,500000,8,1,1.8033207e-2,0
parpseq,500000,8,2,1.9231032e-2,0
parpseq,500000,8,3,1.7794578e-2,0
parpseq,500000,16,1,1.5034482e-2,0
parpseq,500000,16,2,1.6173168e-2,0
parpseq,500000,16,3,1.5809703e-2,0
parpseq,500000,32,1,1.3656794e-2,0
parpseq,500000,32,2,1.4907994e-2,0
parpseq,500000,32,3,1.7251101e-2,0
parpseq,1000000,1,1,9.6739608e-2,0
parpseq,1000000,1,2,9.750859e-2,0
parpseq,1000000,1,3,0.164422294,0
parpseq,1000000,2,1,5.7915008e-2,0
parpseq,1000000,2,2,5.3967678e-2,0
parpseq,1000000,2,3,8.9728664e-2,0
parpseq,1000000,4,1,4.5199659e-2,0
parpseq,1000000,4,2,5.3388474e-2,0
parpseq,1000000,4,3,5.4005648e-2,0
parpseq,1000000,8,1,3.3477873e-2,0
parpseq,1000000,8,2,3.2506054e-2,0
parpseq,1000000,8,3,3.7291118e-2,0
parpseq,1000000,16,1,2.7503084e-2,0
parpseq,1000000,16,2,3.1244532e-2,0
parpseq,1000000,16,3,3.1265024e-2,0
parpseq,1000000,32,1,3.0091125e-2,0
parpseq,1000000,32,2,2.5263694e-2,0
parpseq,1000000,32,3,2.5197361e-2,0
parpseq,1500000,1,1,0.253122971,0
parpseq,1500000,1,2,0.139734061,0
parpseq,1500000,1,3,0.137494873,0
parpseq,1500000,2,1,0.137656634,0
parpseq,1500000,2,2,0.142371073,0
parpseq,1500000,2,3,0.114125699,0
parpseq,1500000,4,1,6.6568365e-2,0
parpseq,1500000,4,2,8.2263744e-2,0
parpseq,1500000,4,3,8.0652553e-2,0
parpseq,1500000,8,1,5.0579297e-2,0
parpseq,1500000,8,2,6.8272876e-2,0
parpseq,1500000,8,3,4.9634381e-2,0
parpseq,1500000,16,1,3.8716508e-2,0
parpseq,1500000,16,2,4.3418412e-2,0
parpseq,1500000,16,3,4.3636715e-2,0
parpseq,1500000,32,1,3.7994313e-2,0
parpseq,1500000,32,2,3.9630065e-2,0
parpseq,1500000,32,3,3.9710788e-2,0
parpseq,2000000,1,1,0.345334526,0
parpseq,2000000,1,2,0.345821937,0
parpseq,2000000,1,3,0.3454283,0
parpseq,2000000,2,1,0.18265131,0
parpseq,2000000,2,2,0.187338956,0
parpseq,2000000,2,3,0.182091822,0
parpseq,2000000,4,1,0.116494725,0
parpseq,2000000,4,2,0.115003761,0
parpseq,2000000,4,3,0.117448728,0
parpseq,2000000,8,1,7.969345e-2,0
parpseq,2000000,8,2,7.1086062e-2,0
parpseq,2000000,8,3,8.8679008e-2,0
parpseq,2000000,16,1,5.9139312e-2,0
parpseq,2000000,16,2,6.7840083e-2,0
parpseq,2000000,16,3,6.6612443e-2,0
parpseq,2000000,32,1,5.8359044e-2,0
parpseq,2000000,32,2,5.0434582e-2,0
parpseq,2000000,32,3,5.9776582e-2,0
parpseq,2500000,1,1,0.432409164,0
parpseq,2500000,1,2,0.433072103,0
parpseq,2500000,1,3,0.43525257,0
parpseq,2500000,2,1,0.24618451,0
parpseq,2500000,2,2,0.240163363,0
parpseq,2500000,2,3,0.241687251,0
parpseq,2500000,4,1,0.15776079,0
parpseq,2500000,4,2,0.1513086,0
parpseq,2500000,4,3,0.15436322,0
parpseq,2500000,8,1,0.109947802,0
parpseq,2500000,8,2,0.121218793,0
parpseq,2500000,8,3,0.104851605,0
parpseq,2500000,16,1,9.375722e-2,0
parpseq,2500000,16,2,9.1323084e-2,0
parpseq,2500000,16,3,9.220602e-2,0
parpseq,2500000,32,1,9.4121812e-2,0
parpseq,2500000,32,2,8.9487144e-2,0
parpseq,2500000,32,3,9.0357466e-2,0
parpseq,3000000,1,1,0.53872601,0
parpseq,3000000,1,2,0.535034111,0
parpseq,3000000,1,3,0.53507575,0
parpseq,3000000,2,1,0.299519413,0
parpseq,3000000,2,2,0.297780524,0
parpseq,3000000,2,3,0.299224128,0
parpseq,3000000,4,1,0.195640651,0
parpseq,3000000,4,2,0.191808855,0
parpseq,3000000,4,3,0.183902002,0
parpseq,3000000,8,1,0.129660081,0
parpseq,3000000,8,2,0.138293236,0
parpseq,3000000,8,3,0.142877436,0
parpseq,3000000,16,1,0.111472011,0
parpseq,3000000,16,2,0.118009285,0
parpseq,3000000,16,3,0.109404077,0
parpseq,3000000,32,1,0.107492557,0
parpseq,3000000,32,2,0.102701704,0
parpseq,3000000,32,3,0.110820292,0
parpseq,3500000,1,1,0.627414618,0
parpseq,3500000,1,2,0.622942989,0
parpseq,3500000,1,3,0.619008573,0
parpseq,3500000,2,1,0.337177112,0
parpseq,3500000,2,2,0.338443566,0
parpseq,3500000,2,3,0.272044071,0
parpseq,3500000,4,1,0.205680407,0
parpseq,3500000,4,2,0.183761896,0
parpseq,3500000,4,3,0.216994824,0
parpseq,3500000,8,1,0.14440131,0
parpseq,3500000,8,2,0.136915019,0
parpseq,3500000,8,3,0.131712584,0
parpseq,3500000,16,1,0.104724626,0
parpseq,3500000,16,2,0.112127912,0
parpseq,3500000,16,3,0.100820422,0
parpseq,3500000,32,1,0.104298941,0
parpseq,3500000,32,2,0.10266642,0
parpseq,3500000,32,3,0.10772272,0
parpseq,4000000,1,1,0.720451738,0
parpseq,4000000,1,2,0.725647511,0
parpseq,4000000,1,3,0.726370869,0
parpseq,4000000,2,1,0.318967998,0
parpseq,4000000,2,2,0.408750577,0
parpseq,4000000,2,3,0.409317083,0
parpseq,4000000,4,1,0.249372138,0
parpseq,4000000,4,2,0.253113936,0
parpseq,4000000,4,3,0.217570862,0
parpseq,4000000,8,1,0.159482208,0
parpseq,4000000,8,2,0.16266496,0
parpseq,4000000,8,3,0.182405265,0
parpseq,4000000,16,1,0.135193536,0
parpseq,4000000,16,2,0.132013875,0
parpseq,4000000,16,3,0.128318672,0
parpseq,4000000,32,1,0.115508291,0
parpseq,4000000,32,2,0.122812711,0
parpseq,4000000,32,3,0.112708473,0
parpseq,4500000,1,1,0.809050608,0
parpseq,4500000,1,2,0.691463932,0
parpseq,4500000,1,3,0.665946109,0
parpseq,4500000,2,1,0.446335869,0
parpseq,4500000,2,2,0.350208197,0
parpseq,4500000,2,3,0.352119968,0
parpseq,4500000,4,1,0.240761789,0
parpseq,4500000,4,2,0.206062133,0
parpseq,4500000,4,3,0.282318346,0
parpseq,4500000,8,1,0.182665855,0
parpseq,4500000,8,2,0.216295897,0
parpseq,4500000,8,3,0.17934687,0
parpseq,4500000,16,1,0.14393185,0
parpseq,4500000,16,2,0.159803845,0
parpseq,4500000,16,3,0.145926735,0
parpseq,4500000,32,1,0.140758696,0
parpseq,4500000,32,2,0.145679241,0
parpseq,4500000,32,3,0.141047611,0
parpseq,5000000,1,1,0.902221194,0
parpseq,5000000,1,2,0.505377506,0
parpseq,5000000,1,3,0.873425896,0
parpseq,5000000,2,1,0.492306218,0
parpseq,5000000,2,2,0.39111695,0
parpseq,5000000,2,3,0.378118921,0
parpseq,5000000,4,1,0.233967513,0
parpseq,5000000,4,2,0.254071721,0
parpseq,5000000,4,3,0.309916047,0
parpseq,5000000,8,1,0.221706301,0
parpseq,5000000,8,2,0.225874958,0
parpseq,5000000,8,3,0.190032332,0
parpseq,5000000,16,1,0.16652608,0
parpseq,5000000,16,2,0.17408946,0
parpseq,5000000,16,3,0.166067116,0
parpseq,5000000,32,1,0.152542918,0
parpseq,5000000,32,2,0.152972515,0
parpseq,5000000,32,3,0.145506126,0
parpseq,5500000,1,1,0.986934211,0
parpseq,5500000,1,2,0.995203575,0
parpseq,5500000,1,3,0.712643514,0
parpseq,5500000,2,1,0.430447995,0
parpseq,5500000,2,2,0.399810241,0
parpseq,5500000,2,3,0.544603434,0
parpseq,5500000,4,1,0.264135629,0
parpseq,5500000,4,2,0.246723733,0
parpseq,5500000,4,3,0.222204396,0
parpseq,5500000,8,1,0.197556696,0
parpseq,5500000,8,2,0.207482099,0
parpseq,5500000,8,3,0.21805305,0
parpseq,5500000,16,1,0.177503691,0
parpseq,5500000,16,2,0.164464358,0
parpseq,5500000,16,3,0.174569716,0
parpseq,5500000,32,1,0.169960607,0
parpseq,5500000,32,2,0.172136854,0
parpseq,5500000,32,3,0.148645382,0
parpseq,6000000,1,1,1.018868955,0
parpseq,6000000,1,2,0.60620967,0
parpseq,6000000,1,3,0.88704653,0
parpseq,6000000,2,1,0.616510167,0
parpseq,6000000,2,2,0.595485153,0
parpseq,6000000,2,3,0.552010782,0
parpseq,6000000,4,1,0.380587693,0
parpseq,6000000,4,2,0.315633543,0
parpseq,6000000,4,3,0.313319226,0
parpseq,6000000,8,1,0.270894174,0
parpseq,6000000,8,2,0.227288282,0
parpseq,6000000,8,3,0.246189296,0
parpseq,6000000,16,1,0.191845529,0
parpseq,6000000,16,2,0.17529361,0
parpseq,6000000,16,3,0.183567313,0
parpseq,6000000,32,1,0.182341603,0
parpseq,6000000,32,2,0.168683981,0
parpseq,6000000,32,3,0.152145477,0
parpseq,6500000,1,1,0.647717831,0
parpseq,6500000,1,2,1.07025659,0
parpseq,6500000,1,3,0.850232703,0
parpseq,6500000,2,1,0.655174994,0
parpseq,6500000,2,2,0.668705139,0
parpseq,6500000,2,3,0.400665235,0
parpseq,6500000,4,1,0.351240572,0
parpseq,6500000,4,2,0.286538491,0
parpseq,6500000,4,3,0.308827357,0
parpseq,6500000,8,1,0.26194063,0
parpseq,6500000,8,2,0.23431581,0
parpseq,6500000,8,3,0.269860694,0
parpseq,6500000,16,1,0.199717913,0
parpseq,6500000,16,2,0.200572203,0
parpseq,6500000,16,3,0.187848257,0
parpseq,6500000,32,1,0.201876801,0
parpseq,6500000,32,2,0.172399415,0
parpseq,6500000,32,3,0.183019025,0
parpseq,7000000,1,1,0.711929196,0
parpseq,7000000,1,2,0.710672246,0
parpseq,7000000,1,3,0.712899426,0
parpseq,7000000,2,1,0.519055499,0
parpseq,7000000,2,2,0.468054543,0
parpseq,7000000,2,3,0.634943462,0
parpseq,7000000,4,1,0.37206693,0
parpseq,7000000,4,2,0.316386066,0
parpseq,7000000,4,3,0.328114111,0
parpseq,7000000,8,1,0.260943231,0
parpseq,7000000,8,2,0.246006571,0
parpseq,7000000,8,3,0.24519867,0
parpseq,7000000,16,1,0.186455617,0
parpseq,7000000,16,2,0.188026719,0
parpseq,7000000,16,3,0.20196678,0
parpseq,7000000,32,1,0.181117744,0
parpseq,7000000,32,2,0.176702757,0
parpseq,7000000,32,3,0.205968565,0
parpseq,7500000,1,1,0.759010301,0
parpseq,7500000,1,2,0.762466728,0
parpseq,7500000,1,3,1.018452189,0
parpseq,7500000,2,1,0.600090156,0
parpseq,7500000,2,2,0.603971602,0
parpseq,7500000,2,3,0.527061345,0
parpseq,7500000,4,1,0.356874808,0
parpseq,7500000,4,2,0.321813779,0
parpseq,7500000,4,3,0.336972372,0
parpseq,7500000,8,1,0.254983538,0
parpseq,7500000,8,2,0.268595822,0
parpseq,7500000,8,3,0.265504937,0
parpseq,7500000,16,1,0.258669959,0
parpseq,7500000,16,2,0.244328211,0
parpseq,7500000,16,3,0.26457583,0
parpseq,7500000,32,1,0.236311355,0
parpseq,7500000,32,2,0.23470596,0
parpseq,7500000,32,3,0.225483277,0
parpseq,8000000,1,1,1.135089801,0
parpseq,8000000,1,2,0.820989419,0
parpseq,8000000,1,3,0.814713957,0
parpseq,8000000,2,1,0.794144594,0
parpseq,8000000,2,2,0.593386339,0
parpseq,8000000,2,3,0.446393854,0
parpseq,8000000,4,1,0.363756702,0
parpseq,8000000,4,2,0.40024103,0
parpseq,8000000,4,3,0.365034355,0
parpseq,8000000,8,1,0.317185855,0
parpseq,8000000,8,2,0.328093046,0
parpseq,8000000,8,3,0.248587971,0
parpseq,8000000,16,1,0.230367139,0
parpseq,8000000,16,2,0.25484824,0
parpseq,8000000,16,3,0.216275945,0
parpseq,8000000,32,1,0.231711798,0
parpseq,8000000,32,2,0.217945815,0
parpseq,8000000,32,3,0.206797391,0
parpseq,8500000,1,1,1.214295606,0
parpseq,8500000,1,2,1.560490666,0
parpseq,8500000,1,3,1.118105212,0
parpseq,8500000,2,1,0.716267981,0
parpseq,8500000,2,2,0.479990637,0
parpseq,8500000,2,3,0.478285132,0
parpseq,8500000,4,1,0.321885217,0
parpseq,8500000,4,2,0.418264599,0
parpseq,8500000,4,3,0.339291081,0
parpseq,8500000,8,1,0.270625068,0
parpseq,8500000,8,2,0.273861936,0
parpseq,8500000,8,3,0.25484463,0
parpseq,8500000,16,1,0.248886101,0
parpseq,8500000,16,2,0.256505231,0
parpseq,8500000,16,3,0.256001571,0
parpseq,8500000,32,1,0.258202207,0
parpseq,8500000,32,2,0.245607601,0
parpseq,8500000,32,3,0.240067642,0
parpseq,9000000,1,1,0.926498916,0
parpseq,9000000,1,2,0.924209891,0
parpseq,9000000,1,3,0.934480447,0
parpseq,9000000,2,1,0.596390001,0
parpseq,9000000,2,2,0.676769473,0
parpseq,9000000,2,3,0.509903676,0
parpseq,9000000,4,1,0.329879537,0
parpseq,9000000,4,2,0.4204695,0
parpseq,9000000,4,3,0.552697765,0
parpseq,9000000,8,1,0.321382384,0
parpseq,9000000,8,2,0.376505817,0
parpseq,9000000,8,3,0.364172869,0
parpseq,9000000,16,1,0.300165614,0
parpseq,9000000,16,2,0.281287667,0
parpseq,9000000,16,3,0.29297491,0
parpseq,9000000,32,1,0.292479418,0
parpseq,9000000,32,2,0.294821847,0
parpseq,9000000,32,3,0.290090743,0
parpseq,9500000,1,1,1.564071917,0
parpseq,9500000,1,2,1.008409739,0
parpseq,9500000,1,3,0.983232626,0
parpseq,9500000,2,1,0.806616173,0
parpseq,9500000,2,2,0.68953456,0
parpseq,9500000,2,3,0.54389675,0
parpseq,9500000,4,1,0.436996843,0
parpseq,9500000,4,2,0.448795423,0
parpseq,9500000,4,3,0.47463399,0
parpseq,9500000,8,1,0.31984045,0
parpseq,9500000,8,2,0.373904474,0
parpseq,9500000,8,3,0.335914624,0
parpseq,9500000,16,1,0.307151971,0
parpseq,9500000,16,2,0.335038745,0
parpseq,9500000,16,3,0.327603882,0
parpseq,9500000,32,1,0.290755641,0
parpseq,9500000,32,2,0.303962151,0
parpseq,9500000,32,3,0.295315611,0
parpseq,10000000,1,1,1.516324602,0
parpseq,10000000,1,2,1.031011216,0
parpseq,10000000,1,3,1.213843378,0
parpseq,10000000,2,1,0.81650278,0
parpseq,10000000,2,2,0.76914503,0
parpseq,10000000,2,3,0.669733697,0
parpseq,10000000,4,1,0.376010411,0
parpseq,10000000,4,2,0.427309149,0
parpseq,10000000,4,3,0.469479077,0
parpseq,10000000,8,1,0.370561416,0
parpseq,10000000,8,2,0.314246843,0
parpseq,10000000,8,3,0.364192627,0
parpseq,10000000,16,1,0.2732092,0
parpseq,10000000,16,2,0.286704476,0
parpseq,10000000,16,3,0.303946766,0
parpseq,10000000,32,1,0.312881637,0
parpseq,10000000,32,2,0.315119866,0
parpseq,10000000,32,3,0.303224726,0
parpseq,10500000,1,1,1.082013734,0
parpseq,10500000,1,2,1.086650034,0
parpseq,10500000,1,3,1.07869973,0
parpseq,10500000,2,1,0.588279837,0
parpseq,10500000,2,2,0.714645386,0
parpseq,10500000,2,3,0.708195629,0
parpseq,10500000,4,1,0.506829517,0
parpseq,10500000,4,2,0.606183604,0
parpseq,10500000,4,3,0.527703529,0
parpseq,10500000,8,1,0.377230163,0
parpseq,10500000,8,2,0.35477731,0
parpseq,10500000,8,3,0.388503696,0
parpseq,10500000,16,1,0.313338675,0
parpseq,10500000,16,2,0.28607205,0
parpseq,10500000,16,3,0.317034097,0
parpseq,10500000,32,1,0.31601425,0
parpseq,10500000,32,2,0.340642805,0
parpseq,10500000,32,3,0.309340609,0
parpseq,11000000,1,1,1.149596854,0
parpseq,11000000,1,2,1.501505595,0
parpseq,11000000,1,3,1.653465705,0
parpseq,11000000,2,1,0.652185085,0
parpseq,11000000,2,2,1.095818777,0
parpseq,11000000,2,3,0.629510247,0
parpseq,11000000,4,1,0.646184127,0
parpseq,11000000,4,2,0.526161264,0
parpseq,11000000,4,3,0.547728049,0
parpseq,11000000,8,1,0.412146678,0
parpseq,11000000,8,2,0.374838928,0
parpseq,11000000,8,3,0.366357276,0
parpseq,11000000,16,1,0.319934248,0
parpseq,11000000,16,2,0.270778722,0
parpseq,11000000,16,3,0.321116234,0
parpseq,11000000,32,1,0.304561299,0
parpseq,11000000,32,2,0.294157705,0
parpseq,11000000,32,3,0.3308082,0
parpseq,11500000,1,1,1.187389247,0
parpseq,11500000,1,2,1.194431502,0
parpseq,11500000,1,3,1.185313099,0
parpseq,11500000,2,1,0.891098039,0
parpseq,11500000,2,2,0.809698347,0
parpseq,11500000,2,3,0.876129674,0
parpseq,11500000,4,1,0.604019373,0
parpseq,11500000,4,2,0.540478979,0
parpseq,11500000,4,3,0.495562522,0
parpseq,11500000,8,1,0.359401747,0
parpseq,11500000,8,2,0.363750621,0
parpseq,11500000,8,3,0.384843422,0
parpseq,11500000,16,1,0.33784623,0
parpseq,11500000,16,2,0.378716082,0
parpseq,11500000,16,3,0.332987103,0
parpseq,11500000,32,1,0.323586803,0
parpseq,11500000,32,2,0.384226569,0
parpseq,11500000,32,3,0.325959205,0
parpseq,12000000,1,1,1.748917204,0
parpseq,12000000,1,2,1.531116489,0
parpseq,12000000,1,3,1.827271718,0
parpseq,12000000,2,1,0.866822873,0
parpseq,12000000,2,2,0.881293055,0
parpseq,12000000,2,3,1.01985224,0
parpseq,12000000,4,1,0.648785668,0
parpseq,12000000,4,2,0.659230735,0
parpseq,12000000,4,3,0.513245425,0
parpseq,12000000,8,1,0.425710619,0
parpseq,12000000,8,2,0.430797536,0
parpseq,12000000,8,3,0.471354883,0
parpseq,12000000,16,1,0.381042195,0
parpseq,12000000,16,2,0.335800825,0
parpseq,12000000,16,3,0.347318208,0
parpseq,12000000,32,1,0.349123517,0
parpseq,12000000,32,2,0.384118172,0
parpseq,12000000,32,3,0.349804523,0
parpseq,12500000,1,1,1.29534981,0
parpseq,12500000,1,2,1.71315134,0
parpseq,12500000,1,3,1.296233362,0
parpseq,12500000,2,1,0.851474252,0
parpseq,12500000,2,2,0.96807966,0
parpseq,12500000,2,3,0.854642814,0
parpseq,12500000,4,1,0.516697479,0
parpseq,12500000,4,2,0.631058565,0
parpseq,12500000,4,3,0.737770247,0
parpseq,12500000,8,1,0.445872311,0
parpseq,12500000,8,2,0.465405267,0
parpseq,12500000,8,3,0.521063207,0
parpseq,12500000,16,1,0.357121593,0
parpseq,12500000,16,2,0.371408696,0
parpseq,12500000,16,3,0.395512416,0
parpseq,12500000,32,1,0.351976381,0
parpseq,12500000,32,2,0.358567865,0
parpseq,12500000,32,3,0.402543003,0
parpseq,13000000,1,1,1.782235805,0
parpseq,13000000,1,2,1.729672979,0
parpseq,13000000,1,3,1.504291834,0
parpseq,13000000,2,1,0.838160987,0
parpseq,13000000,2,2,1.091528106,0
parpseq,13000000,2,3,0.928397573,0
parpseq,13000000,4,1,0.672625229,0
parpseq,13000000,4,2,0.640985314,0
parpseq,13000000,4,3,0.629987061,0
parpseq,13000000,8,1,0.4977101,0
parpseq,13000000,8,2,0.423713318,0
parpseq,13000000,8,3,0.499517994,0
parpseq,13000000,16,1,0.428824495,0
parpseq,13000000,16,2,0.360055324,0
parpseq,13000000,16,3,0.444224646,0
parpseq,13000000,32,1,0.387968404,0
parpseq,13000000,32,2,0.401175329,0
parpseq,13000000,32,3,0.36149053,0
parpseq,13500000,1,1,2.175707336,0
parpseq,13500000,1,2,1.672786204,0
parpseq,13500000,1,3,1.392791194,0
parpseq,13500000,2,1,0.877932844,0
parpseq,13500000,2,2,0.756803114,0
parpseq,13500000,2,3,0.842396845,0
parpseq,13500000,4,1,0.632150759,0
parpseq,13500000,4,2,0.611861921,0
parpseq,13500000,4,3,0.557985887,0
parpseq,13500000,8,1,0.497410522,0
parpseq,13500000,8,2,0.524566013,0
parpseq,13500000,8,3,0.50376059,0
parpseq,13500000,16,1,0.421767933,0
parpseq,13500000,16,2,0.416280112,0
parpseq,13500000,16,3,0.376094778,0
parpseq,13500000,32,1,0.427585955,0
parpseq,13500000,32,2,0.415248713,0
parpseq,13500000,32,3,0.40296223,0
parpseq,14000000,1,1,1.470731388,0
parpseq,14000000,1,2,1.476847127,0
parpseq,14000000,1,3,1.478336707,0
parpseq,14000000,2,1,1.049340793,0
parpseq,14000000,2,2,0.805599568,0
parpseq,14000000,2,3,0.814983865,0
parpseq,14000000,4,1,0.68299601,0
parpseq,14000000,4,2,0.706618484,0
parpseq,14000000,4,3,0.673259946,0
parpseq,14000000,8,1,0.469369183,0
parpseq,14000000,8,2,0.455680861,0
parpseq,14000000,8,3,0.510517363,0
parpseq,14000000,16,1,0.38306117,0
parpseq,14000000,16,2,0.374285485,0
parpseq,14000000,16,3,0.418784237,0
parpseq,14000000,32,1,0.405336467,0
parpseq,14000000,32,2,0.3895004,0
parpseq,14000000,32,3,0.338427427,0
parpseq,14500000,1,1,2.05023331,0
parpseq,14500000,1,2,1.535758327,0
parpseq,14500000,1,3,1.722111723,0
parpseq,14500000,2,1,1.1160627,0
parpseq,14500000,2,2,0.998467205,0
parpseq,14500000,2,3,1.060018427,0
parpseq,14500000,4,1,0.646471945,0
parpseq,14500000,4,2,0.675651214,0
parpseq,14500000,4,3,0.578455678,0
parpseq,14500000,8,1,0.528640209,0
parpseq,14500000,8,2,0.488897709,0
parpseq,14500000,8,3,0.534848916,0
parpseq,14500000,16,1,0.384253292,0
parpseq,14500000,16,2,0.425025027,0
parpseq,14500000,16,3,0.469569336,0
parpseq,14500000,32,1,0.38262661,0
parpseq,14500000,32,2,0.400147259,0
parpseq,14500000,32,3,0.374006823,0
parpseq,15000000,1,1,1.577382185,0
parpseq,15000000,1,2,1.941133574,0
parpseq,15000000,1,3,1.586847806,0
parpseq,15000000,2,1,1.233299364,0
parpseq,15000000,2,2,1.071536334,0
parpseq,15000000,2,3,1.064350889,0
parpseq,15000000,4,1,0.65126918,0
parpseq,15000000,4,2,0.752226787,0
parpseq,15000000,4,3,0.714006864,0
parpseq,15000000,8,1,0.590230767,0
parpseq,15000000,8,2,0.531037685,0
