variant,N,P,rep,seconds,rc
super,500000,1,1,0.026502,0
super,500000,1,2,0.027792,0
super,500000,1,3,0.027148,0
super,500000,2,1,0.025978,0
super,500000,2,2,0.025351,0
super,500000,2,3,0.023130,0
super,500000,4,1,0.020654,0
super,500000,4,2,0.025327,0
super,500000,4,3,0.023663,0
super,500000,8,1,0.025959,0
super,500000,8,2,0.024977,0
super,500000,8,3,0.022112,0
super,500000,16,1,0.030115,0
super,500000,16,2,0.027778,0
super,500000,16,3,0.026185,0
super,500000,32,1,0.034865,0
super,500000,32,2,0.031410,0
super,500000,32,3,0.049829,0
super,1000000,1,1,0.051495,0
super,1000000,1,2,0.048512,0
super,1000000,1,3,0.046617,0
super,1000000,2,1,0.039966,0
super,1000000,2,2,0.036342,0
super,1000000,2,3,0.036079,0
super,1000000,4,1,0.033802,0
super,1000000,4,2,0.036718,0
super,1000000,4,3,0.034237,0
super,1000000,8,1,0.034718,0
super,1000000,8,2,0.032727,0
super,1000000,8,3,0.030469,0
super,1000000,16,1,0.031101,0
super,1000000,16,2,0.030038,0
super,1000000,16,3,0.032240,0
super,1000000,32,1,0.042179,0
super,1000000,32,2,0.039339,0
super,1000000,32,3,0.041903,0
super,1500000,1,1,0.075155,0
super,1500000,1,2,0.074673,0
super,1500000,1,3,0.075372,0
super,1500000,2,1,0.052478,0
super,1500000,2,2,0.052291,0
super,1500000,2,3,0.050844,0
super,1500000,4,1,0.043263,0
super,1500000,4,2,0.043340,0
super,1500000,4,3,0.041483,0
super,1500000,8,1,0.037628,0
super,1500000,8,2,0.037051,0
super,1500000,8,3,0.039437,0
super,1500000,16,1,0.037718,0
super,1500000,16,2,0.036413,0
super,1500000,16,3,0.036950,0
super,1500000,32,1,0.037751,0
super,1500000,32,2,0.034570,0
super,1500000,32,3,0.047092,0
super,2000000,1,1,0.102552,0
super,2000000,1,2,0.100750,0
super,2000000,1,3,0.098536,0
super,2000000,2,1,0.069199,0
super,2000000,2,2,0.070839,0
super,2000000,2,3,0.069022,0
super,2000000,4,1,0.052043,0
super,2000000,4,2,0.052761,0
super,2000000,4,3,0.050929,0
super,2000000,8,1,0.040782,0
super,2000000,8,2,0.039462,0
super,2000000,8,3,0.041929,0
super,2000000,16,1,0.038476,0
super,2000000,16,2,0.038855,0
super,2000000,16,3,0.039249,0
super,2000000,32,1,0.044302,0
super,2000000,32,2,0.048121,0
super,2000000,32,3,0.038402,0
super,2500000,1,1,0.126780,0
super,2500000,1,2,0.123543,0
super,2500000,1,3,0.122181,0
super,2500000,2,1,0.081360,0
super,2500000,2,2,0.084957,0
super,2500000,2,3,0.083009,0
super,2500000,4,1,0.060927,0
super,2500000,4,2,0.063211,0
super,2500000,4,3,0.065355,0
super,2500000,8,1,0.045380,0
super,2500000,8,2,0.044508,0
super,2500000,8,3,0.045642,0
super,2500000,16,1,0.039681,0
super,2500000,16,2,0.043547,0
super,2500000,16,3,0.039743,0
super,2500000,32,1,0.046885,0
super,2500000,32,2,0.047026,0
super,2500000,32,3,0.044496,0
super,3000000,1,1,0.147978,0
super,3000000,1,2,0.146404,0
super,3000000,1,3,0.147773,0
super,3000000,2,1,0.098273,0
super,3000000,2,2,0.098823,0
super,3000000,2,3,0.093016,0
super,3000000,4,1,0.069888,0
super,3000000,4,2,0.069149,0
super,3000000,4,3,0.070541,0
super,3000000,8,1,0.048206,0
super,3000000,8,2,0.048410,0
super,3000000,8,3,0.048821,0
super,3000000,16,1,0.044418,0
super,3000000,16,2,0.046847,0
super,3000000,16,3,0.045730,0
super,3000000,32,1,0.058683,0
super,3000000,32,2,0.056850,0
super,3000000,32,3,0.055971,0
super,3500000,1,1,0.171958,0
super,3500000,1,2,0.171153,0
super,3500000,1,3,0.169762,0
super,3500000,2,1,0.109014,0
super,3500000,2,2,0.103416,0
super,3500000,2,3,0.106766,0
super,3500000,4,1,0.079814,0
super,3500000,4,2,0.077885,0
super,3500000,4,3,0.080285,0
super,3500000,8,1,0.053223,0
super,3500000,8,2,0.058982,0
super,3500000,8,3,0.052776,0
super,3500000,16,1,0.039311,0
super,3500000,16,2,0.037189,0
super,3500000,16,3,0.036271,0
super,3500000,32,1,0.049542,0
super,3500000,32,2,0.037010,0
super,3500000,32,3,0.040564,0
super,4000000,1,1,0.197829,0
super,4000000,1,2,0.189248,0
super,4000000,1,3,0.187953,0
super,4000000,2,1,0.126818,0
super,4000000,2,2,0.131446,0
super,4000000,2,3,0.116675,0
super,4000000,4,1,0.089171,0
super,4000000,4,2,0.082610,0
super,4000000,4,3,0.082725,0
super,4000000,8,1,0.064050,0
super,4000000,8,2,0.050468,0
super,4000000,8,3,0.051458,0
super,4000000,16,1,0.034844,0
super,4000000,16,2,0.037838,0
super,4000000,16,3,0.037430,0
super,4000000,32,1,0.030345,0
super,4000000,32,2,0.043226,0
super,4000000,32,3,0.044355,0
super,4500000,1,1,0.215683,0
super,4500000,1,2,0.201859,0
super,4500000,1,3,0.209613,0
super,4500000,2,1,0.126380,0
super,4500000,2,2,0.130691,0
super,4500000,2,3,0.128586,0
super,4500000,4,1,0.091868,0
super,4500000,4,2,0.090348,0
super,4500000,4,3,0.087410,0
super,4500000,8,1,0.056947,0
super,4500000,8,2,0.057422,0
super,4500000,8,3,0.054689,0
super,4500000,16,1,0.040052,0
super,4500000,16,2,0.042425,0
super,4500000,16,3,0.039969,0
super,4500000,32,1,0.052166,0
super,4500000,32,2,0.042769,0
super,4500000,32,3,0.046548,0
super,5000000,1,1,0.215673,0
super,5000000,1,2,0.218863,0
super,5000000,1,3,0.210094,0
super,5000000,2,1,0.130623,0
super,5000000,2,2,0.133926,0
super,5000000,2,3,0.126795,0
super,5000000,4,1,0.094340,0
super,5000000,4,2,0.093361,0
super,5000000,4,3,0.091724,0
super,5000000,8,1,0.059817,0
super,5000000,8,2,0.059136,0
super,5000000,8,3,0.057370,0
super,5000000,16,1,0.044238,0
super,5000000,16,2,0.044633,0
super,5000000,16,3,0.043580,0
super,5000000,32,1,0.049823,0
super,5000000,32,2,0.049991,0
super,5000000,32,3,0.041750,0
super,5500000,1,1,0.243081,0
super,5500000,1,2,0.260846,0
super,5500000,1,3,0.261195,0
super,5500000,2,1,0.170014,0
