variant,N,P,rep,seconds,rc
asm_example,0,1,1,0.340056,0
asm_example,0,1,2,0.323831,0
asm_example,0,1,3,0.319495,0
asm_example,0,1,4,0.328041,0
asm_example,0,1,5,0.342744,0
asm_example,0,1,6,0.334424,0
asm_example,0,1,7,0.339320,0
asm_example,0,1,8,0.333375,0
asm_example,0,1,9,0.330172,0
asm_example,0,1,10,0.328417,0
asm_example,0,1,11,0.329001,0
asm_example,0,1,12,0.335072,0
asm_example,0,1,13,0.331729,0
asm_example,0,1,14,0.320859,0
asm_example,0,1,15,0.309906,0
asm_example,0,1,16,0.327312,0
asm_example,0,1,17,0.324280,0
asm_example,0,1,18,0.313830,0
asm_example,0,1,19,0.318660,0
asm_example,0,1,20,0.346135,0
asm_example,0,2,1,0.732788,0
asm_example,0,2,2,0.720251,0
asm_example,0,2,3,0.687208,0
asm_example,0,2,4,0.632619,0
asm_example,0,2,5,0.697790,0
asm_example,0,2,6,0.652314,0
asm_example,0,2,7,0.687200,0
asm_example,0,2,8,0.652574,0
asm_example,0,2,9,0.644596,0
asm_example,0,2,10,0.696510,0
asm_example,0,2,11,0.658132,0
asm_example,0,2,12,0.647841,0
asm_example,0,2,13,0.714470,0
asm_example,0,2,14,0.710346,0
asm_example,0,2,15,0.735262,0
asm_example,0,2,16,0.671731,0
asm_example,0,2,17,0.680612,0
asm_example,0,2,18,0.660433,0
asm_example,0,2,19,0.680825,0
asm_example,0,2,20,0.690141,0
asm_example,0,4,1,1.403934,0
asm_example,0,4,2,1.390895,0
asm_example,0,4,3,1.444153,0
asm_example,0,4,4,1.457116,0
asm_example,0,4,5,1.420120,0
asm_example,0,4,6,1.461203,0
asm_example,0,4,7,1.487656,0
asm_example,0,4,8,1.493154,0
asm_example,0,4,9,1.405886,0
asm_example,0,4,10,1.475446,0
asm_example,0,4,11,1.389168,0
asm_example,0,4,12,1.395515,0
asm_example,0,4,13,1.424672,0
asm_example,0,4,14,1.413937,0
asm_example,0,4,15,1.431388,0
asm_example,0,4,16,1.413928,0
asm_example,0,4,17,1.387037,0
asm_example,0,4,18,1.385773,0
asm_example,0,4,19,1.385509,0
asm_example,0,4,20,1.385600,0
asm_example,0,6,1,2.143425,0
asm_example,0,6,2,2.104069,0
asm_example,0,6,3,2.078762,0
asm_example,0,6,4,2.162003,0
