variant,N,D,n_heads,n_blocks,P,rep,seconds,checksum,expected
seq_haskell,4096,512,8,1,1,1,54.15809163,1145997357,1145997357
seq_haskell,4096,512,8,1,1,2,55.083902211,1145997357,1145997357
seq_haskell,4096,512,8,1,1,3,53.744078646,1145997357,1145997357
seq_haskell,4096,512,8,1,1,4,54.719532688,1145997357,1145997357
seq_haskell,4096,512,8,1,1,5,53.447219985,1145997357,1145997357
seq_haskell,4096,512,8,1,1,6,55.1254107,1145997357,1145997357
seq_haskell,4096,512,8,1,1,7,54.143994824,1145997357,1145997357
seq_c,4096,512,8,1,1,1,14.697543,1145997357,1145997357
seq_c,4096,512,8,1,1,2,14.467335,1145997357,1145997357
seq_c,4096,512,8,1,1,3,14.413836,1145997357,1145997357
seq_c,4096,512,8,1,1,4,14.463724,1145997357,1145997357
seq_c,4096,512,8,1,1,5,14.391852,1145997357,1145997357
seq_c,4096,512,8,1,1,6,14.475966,1145997357,1145997357
seq_c,4096,512,8,1,1,7,14.336582,1145997357,1145997357
seq_rust,4096,512,8,1,1,1,15.43735158,1145997357,1145997357
seq_rust,4096,512,8,1,1,2,15.413464448,1145997357,1145997357
seq_rust,4096,512,8,1,1,3,16.914930295,1145997357,1145997357
seq_rust,4096,512,8,1,1,4,14.050405851,1145997357,1145997357
seq_rust,4096,512,8,1,1,5,14.42944363,1145997357,1145997357
seq_rust,4096,512,8,1,1,6,14.098820217,1145997357,1145997357
seq_rust,4096,512,8,1,1,7,14.146656846,1145997357,1145997357
ribault_c,4096,512,8,2,2,1,8.199780646,1145997357,1145997357
ribault_c,4096,512,8,2,2,2,7.964072802,1145997357,1145997357
ribault_c,4096,512,8,2,2,3,8.150987834,1145997357,1145997357
ribault_c,4096,512,8,2,2,4,7.875742518,1145997357,1145997357
ribault_c,4096,512,8,2,2,5,7.930854683,1145997357,1145997357
ribault_c,4096,512,8,2,2,6,7.999693459,1145997357,1145997357
ribault_c,4096,512,8,2,2,7,8.082690261,1145997357,1145997357
ribault_rust,4096,512,8,2,2,1,7.479978633,1145997357,1145997357
ribault_rust,4096,512,8,2,2,2,7.430012588,1145997357,1145997357
ribault_rust,4096,512,8,2,2,3,7.511339843,1145997357,1145997357
ribault_rust,4096,512,8,2,2,4,7.353549917,1145997357,1145997357
ribault_rust,4096,512,8,2,2,5,7.536048123,1145997357,1145997357
ribault_rust,4096,512,8,2,2,6,7.539647278,1145997357,1145997357
ribault_rust,4096,512,8,2,2,7,7.577510232,1145997357,1145997357
ribault_hs,4096,512,8,2,2,1,26.770394380,1145997357,1145997357
ribault_hs,4096,512,8,2,2,2,27.468544627,1145997357,1145997357
ribault_hs,4096,512,8,2,2,3,26.728857614,1145997357,1145997357
ribault_hs,4096,512,8,2,2,4,27.031263120,1145997357,1145997357
ribault_hs,4096,512,8,2,2,5,27.456782275,1145997357,1145997357
ribault_hs,4096,512,8,2,2,6,27.328126982,1145997357,1145997357
ribault_hs,4096,512,8,2,2,7,29.017584839,1145997357,1145997357
strategies,4096,512,8,2,2,1,27.488482945,1145997357,1145997357
strategies,4096,512,8,2,2,2,27.172221937,1145997357,1145997357
strategies,4096,512,8,2,2,3,27.544137386,1145997357,1145997357
strategies,4096,512,8,2,2,4,26.51615397,1145997357,1145997357
strategies,4096,512,8,2,2,5,55.113175456,1145997357,1145997357
strategies,4096,512,8,2,2,6,54.53352342,1145997357,1145997357
strategies,4096,512,8,2,2,7,55.542801123,1145997357,1145997357
timely,4096,512,8,2,2,1,7.744174657,1145997357,1145997357
timely,4096,512,8,2,2,2,7.352371751,1145997357,1145997357
timely,4096,512,8,2,2,3,7.377832369,1145997357,1145997357
timely,4096,512,8,2,2,4,7.396862864,1145997357,1145997357
timely,4096,512,8,2,2,5,7.396435845,1145997357,1145997357
timely,4096,512,8,2,2,6,7.418567854,1145997357,1145997357
timely,4096,512,8,2,2,7,7.513981279,1145997357,1145997357
sucuri,4096,512,8,2,2,1,7.857427928596735,1145997357,1145997357
sucuri,4096,512,8,2,2,2,7.443780034780502,1145997357,1145997357
sucuri,4096,512,8,2,2,3,7.73862985894084,1145997357,1145997357
sucuri,4096,512,8,2,2,4,7.446218200027943,1145997357,1145997357
sucuri,4096,512,8,2,2,5,7.814025741070509,1145997357,1145997357
sucuri,4096,512,8,2,2,6,7.639993079006672,1145997357,1145997357
sucuri,4096,512,8,2,2,7,7.351926311850548,1145997357,1145997357
