variant,N,P,imb,delta,rep,seconds,rc
super,1000,2,1,0,1,0.634362,0
super,1000,2,1,0,2,0.620183,0
super,1000,2,1,0,3,0.630271,0
super,1000,2,1,0,4,0.603016,0
super,1000,2,1,0,5,0.597923,0
super,1000,2,1,0,6,0.616591,0
super,1000,2,1,0,7,0.618520,0
super,1000,2,1,0,8,0.623769,0
super,1000,2,1,0,9,0.620115,0
super,1000,2,1,0,10,0.615701,0
super,2000,2,1,0,1,0.635207,0
super,2000,2,1,0,2,0.680230,0
super,2000,2,1,0,3,0.673914,0
super,2000,2,1,0,4,0.683981,0
super,2000,2,1,0,5,0.636421,0
super,2000,2,1,0,6,0.701243,0
super,2000,2,1,0,7,0.679974,0
super,2000,2,1,0,8,0.682975,0
super,2000,2,1,0,9,0.707265,0
super,2000,2,1,0,10,0.657142,0
super,3000,2,1,0,1,0.643645,0
super,3000,2,1,0,2,0.722023,0
super,3000,2,1,0,3,0.693999,0
super,3000,2,1,0,4,0.655591,0
super,3000,2,1,0,5,0.666890,0
super,3000,2,1,0,6,0.646632,0
super,3000,2,1,0,7,0.640938,0
super,3000,2,1,0,8,0.638273,0
super,3000,2,1,0,9,0.634565,0
super,3000,2,1,0,10,0.636418,0
super,4000,2,1,0,1,0.631076,0
super,4000,2,1,0,2,0.625481,0
super,4000,2,1,0,3,0.627446,0
super,4000,2,1,0,4,0.626566,0
super,4000,2,1,0,5,0.629992,0
super,4000,2,1,0,6,0.631190,0
super,4000,2,1,0,7,0.648596,0
super,4000,2,1,0,8,0.752503,0
super,4000,2,1,0,9,0.729173,0
super,4000,2,1,0,10,0.743402,0
super,5000,2,1,0,1,0.776297,0
super,5000,2,1,0,2,0.644948,0
super,5000,2,1,0,3,0.715898,0
super,5000,2,1,0,4,0.743346,0
super,5000,2,1,0,5,0.740675,0
super,5000,2,1,0,6,0.718664,0
super,5000,2,1,0,7,0.666441,0
super,5000,2,1,0,8,0.726467,0
super,5000,2,1,0,9,0.723542,0
super,5000,2,1,0,10,0.653667,0
super,6000,2,1,0,1,0.660740,0
super,6000,2,1,0,2,0.647979,0
super,6000,2,1,0,3,0.639889,0
super,6000,2,1,0,4,0.639567,0
super,6000,2,1,0,5,0.639109,0
super,6000,2,1,0,6,0.612781,0
super,6000,2,1,0,7,0.609819,0
super,6000,2,1,0,8,0.630706,0
super,6000,2,1,0,9,0.629974,0
super,6000,2,1,0,10,0.718701,0
super,7000,2,1,0,1,0.632302,0
super,7000,2,1,0,2,0.640660,0
super,7000,2,1,0,3,0.720385,0
super,7000,2,1,0,4,0.647673,0
super,7000,2,1,0,5,0.718020,0
super,7000,2,1,0,6,0.703054,0
super,7000,2,1,0,7,0.725622,0
super,7000,2,1,0,8,0.654369,0
super,7000,2,1,0,9,0.720514,0
super,7000,2,1,0,10,0.702594,0
super,8000,2,1,0,1,0.726802,0
super,8000,2,1,0,2,0.706403,0
super,8000,2,1,0,3,0.648713,0
super,8000,2,1,0,4,0.707947,0
super,8000,2,1,0,5,0.688411,0
super,8000,2,1,0,6,0.652285,0
super,8000,2,1,0,7,0.639661,0
super,8000,2,1,0,8,0.622592,0
super,8000,2,1,0,9,0.645503,0
super,8000,2,1,0,10,0.641544,0
super,9000,2,1,0,1,0.641879,0
