variant,N,P,imb,delta,rep,seconds,rc
ghc,1000,2,1,0,1,0.012289,0
ghc,1000,2,1,0,2,0.012084,0
ghc,1000,2,1,0,3,0.012167,0
ghc,1000,2,1,0,4,0.012402,0
ghc,1000,2,1,0,5,0.012329,0
ghc,1000,2,1,0,6,0.012177,0
ghc,1000,2,1,0,7,0.012155,0
ghc,1000,2,1,0,8,0.012343,0
ghc,1000,2,1,0,9,0.012116,0
ghc,1000,2,1,0,10,0.012290,0
ghc,1000,2,1,2,1,0.012253,0
ghc,1000,2,1,2,2,0.011905,0
ghc,1000,2,1,2,3,0.012154,0
ghc,1000,2,1,2,4,0.012157,0
ghc,1000,2,1,2,5,0.012206,0
ghc,1000,2,1,2,6,0.012205,0
ghc,1000,2,1,2,7,0.012101,0
ghc,1000,2,1,2,8,0.012215,0
ghc,1000,2,1,2,9,0.012015,0
ghc,1000,2,1,2,10,0.012109,0
ghc,1000,2,1,-2,1,0.012174,0
ghc,1000,2,1,-2,2,0.012176,0
ghc,1000,2,1,-2,3,0.012211,0
ghc,1000,2,1,-2,4,0.012076,0
ghc,1000,2,1,-2,5,0.012011,0
ghc,1000,2,1,-2,6,0.012051,0
ghc,1000,2,1,-2,7,0.011969,0
ghc,1000,2,1,-2,8,0.012140,0
ghc,1000,2,1,-2,9,0.012122,0
ghc,1000,2,1,-2,10,0.012144,0
ghc,1000,2,25,0,1,0.012484,0
ghc,1000,2,25,0,2,0.012137,0
ghc,1000,2,25,0,3,0.012307,0
ghc,1000,2,25,0,4,0.012044,0
ghc,1000,2,25,0,5,0.011994,0
ghc,1000,2,25,0,6,0.012203,0
ghc,1000,2,25,0,7,0.012281,0
ghc,1000,2,25,0,8,0.012079,0
ghc,1000,2,25,0,9,0.012224,0
ghc,1000,2,25,0,10,0.012183,0
ghc,1000,2,25,2,1,0.012181,0
ghc,1000,2,25,2,2,0.012152,0
ghc,1000,2,25,2,3,0.012119,0
ghc,1000,2,25,2,4,0.012020,0
ghc,1000,2,25,2,5,0.012097,0
ghc,1000,2,25,2,6,0.012095,0
ghc,1000,2,25,2,7,0.012142,0
ghc,1000,2,25,2,8,0.012205,0
ghc,1000,2,25,2,9,0.012052,0
ghc,1000,2,25,2,10,0.012113,0
ghc,1000,2,25,-2,1,0.012344,0
ghc,1000,2,25,-2,2,0.011971,0
ghc,1000,2,25,-2,3,0.012177,0
ghc,1000,2,25,-2,4,0.012175,0
ghc,1000,2,25,-2,5,0.012143,0
ghc,1000,2,25,-2,6,0.012050,0
ghc,1000,2,25,-2,7,0.012081,0
ghc,1000,2,25,-2,8,0.012113,0
ghc,1000,2,25,-2,9,0.012262,0
ghc,1000,2,25,-2,10,0.012202,0
ghc,1000,2,50,0,1,0.012351,0
ghc,1000,2,50,0,2,0.012223,0
ghc,1000,2,50,0,3,0.012273,0
ghc,1000,2,50,0,4,0.012197,0
ghc,1000,2,50,0,5,0.012111,0
ghc,1000,2,50,0,6,0.012202,0
ghc,1000,2,50,0,7,0.012072,0
ghc,1000,2,50,0,8,0.012147,0
ghc,1000,2,50,0,9,0.012132,0
ghc,1000,2,50,0,10,0.012106,0
ghc,1000,2,50,2,1,0.012362,0
ghc,1000,2,50,2,2,0.012078,0
ghc,1000,2,50,2,3,0.012062,0
ghc,1000,2,50,2,4,0.012326,0
ghc,1000,2,50,2,5,0.013006,0
ghc,1000,2,50,2,6,0.012474,0
ghc,1000,2,50,2,7,0.012228,0
ghc,1000,2,50,2,8,0.011927,0
ghc,1000,2,50,2,9,0.011908,0
ghc,1000,2,50,2,10,0.011932,0
ghc,1000,2,50,-2,1,0.012874,0
ghc,1000,2,50,-2,2,0.011982,0
ghc,1000,2,50,-2,3,0.011923,0
ghc,1000,2,50,-2,4,0.012335,0
ghc,1000,2,50,-2,5,0.012890,0
ghc,1000,2,50,-2,6,0.013323,0
ghc,1000,2,50,-2,7,0.013637,0
ghc,1000,2,50,-2,8,0.015273,0
ghc,1000,2,50,-2,9,0.014680,0
ghc,1000,2,50,-2,10,0.012281,0
ghc,1000,2,75,0,1,0.012271,0
ghc,1000,2,75,0,2,0.012021,0
ghc,1000,2,75,0,3,0.012175,0
ghc,1000,2,75,0,4,0.012277,0
ghc,1000,2,75,0,5,0.012143,0
ghc,1000,2,75,0,6,0.012336,0
ghc,1000,2,75,0,7,0.012106,0
ghc,1000,2,75,0,8,0.011949,0
ghc,1000,2,75,0,9,0.012115,0
ghc,1000,2,75,0,10,0.012391,0
ghc,1000,2,75,2,1,0.012324,0
ghc,1000,2,75,2,2,0.012467,0
ghc,1000,2,75,2,3,0.012155,0
ghc,1000,2,75,2,4,0.012183,0
ghc,1000,2,75,2,5,0.012318,0
ghc,1000,2,75,2,6,0.012239,0
ghc,1000,2,75,2,7,0.012409,0
ghc,1000,2,75,2,8,0.012224,0
ghc,1000,2,75,2,9,0.012452,0
ghc,1000,2,75,2,10,0.012246,0
ghc,1000,2,75,-2,1,0.012478,0
ghc,1000,2,75,-2,2,0.012306,0
ghc,1000,2,75,-2,3,0.012324,0
ghc,1000,2,75,-2,4,0.012325,0
ghc,1000,2,75,-2,5,0.012435,0
ghc,1000,2,75,-2,6,0.012492,0
ghc,1000,2,75,-2,7,0.012431,0
ghc,1000,2,75,-2,8,0.012294,0
ghc,1000,2,75,-2,9,0.012201,0
ghc,1000,2,75,-2,10,0.012192,0
ghc,1000,2,100,0,1,0.022617,0
ghc,1000,2,100,0,2,0.012615,0
ghc,1000,2,100,0,3,0.012626,0
ghc,1000,2,100,0,4,0.012383,0
ghc,1000,2,100,0,5,0.022600,0
ghc,1000,2,100,0,6,0.022658,0
