variant,seq_len,dim_rows,dim_cols,P,rep,seconds
seq,100000,1,1,1,1,50.474656962
seq,100000,1,1,1,2,48.894327089
seq,100000,1,1,1,3,49.396239442
seq,100000,1,1,1,4,49.833710423
seq,100000,1,1,1,5,50.119077698
seq,100000,1,1,1,6,49.248858062
seq,100000,1,1,1,7,49.683152938
super,100000,2,1000,2,1,22.268991781
super,100000,2,1000,2,2,23.754364440
super,100000,2,1000,2,3,23.695092714
super,100000,2,1000,2,4,23.959834167
super,100000,2,1000,2,5,24.026534508
super,100000,2,1000,2,6,24.157900055
super,100000,2,1000,2,7,23.894902035
strategies,100000,2,1000,2,1,34.416707355
strategies,100000,2,1000,2,2,32.607011681
strategies,100000,2,1000,2,3,32.69117625
strategies,100000,2,1000,2,4,32.113654609
strategies,100000,2,1000,2,5,32.060098686
strategies,100000,2,1000,2,6,32.382189381
strategies,100000,2,1000,2,7,31.950410192
super,100000,4,1000,4,1,15.591690825
super,100000,4,1000,4,2,14.786470929
super,100000,4,1000,4,3,14.998247562
super,100000,4,1000,4,4,14.646122733
super,100000,4,1000,4,5,14.936572612
super,100000,4,1000,4,6,14.760623568
super,100000,4,1000,4,7,14.702614559
strategies,100000,4,1000,4,1,27.566346108
strategies,100000,4,1000,4,2,26.688502913
strategies,100000,4,1000,4,3,26.269194822
strategies,100000,4,1000,4,4,26.965949915
strategies,100000,4,1000,4,5,25.426382663
strategies,100000,4,1000,4,6,25.308669033
strategies,100000,4,1000,4,7,28.409242738
super,100000,8,1000,8,1,9.251361091
super,100000,8,1000,8,2,8.200996895
super,100000,8,1000,8,3,8.011127924
super,100000,8,1000,8,4,7.817436124
super,100000,8,1000,8,5,7.696946728
super,100000,8,1000,8,6,8.205069315
super,100000,8,1000,8,7,8.218538999
strategies,100000,8,1000,8,1,20.028167523
strategies,100000,8,1000,8,2,20.481028357
strategies,100000,8,1000,8,3,20.444211583
strategies,100000,8,1000,8,4,20.457232246
strategies,100000,8,1000,8,5,20.556246325
strategies,100000,8,1000,8,6,20.498223347
strategies,100000,8,1000,8,7,20.49733291
super,100000,16,1000,16,1,6.402872330
super,100000,16,1000,16,2,6.277707040
super,100000,16,1000,16,3,6.261142651
super,100000,16,1000,16,4,6.260449207
super,100000,16,1000,16,5,6.191888959
super,100000,16,1000,16,6,6.072514511
super,100000,16,1000,16,7,6.054913719
strategies,100000,16,1000,16,1,19.992665604
strategies,100000,16,1000,16,2,20.127659509
strategies,100000,16,1000,16,3,20.124301102
strategies,100000,16,1000,16,4,20.089668211
strategies,100000,16,1000,16,5,20.107271414
strategies,100000,16,1000,16,6,20.130782557
strategies,100000,16,1000,16,7,20.151143341
super,100000,24,1000,24,1,4.421388633
super,100000,24,1000,24,2,4.055633972
super,100000,24,1000,24,3,3.929496875
super,100000,24,1000,24,4,3.899914981
super,100000,24,1000,24,5,3.879087245
super,100000,24,1000,24,6,3.968740971
super,100000,24,1000,24,7,3.884658614
strategies,100000,24,1000,24,1,20.05368259
strategies,100000,24,1000,24,2,20.090447323
strategies,100000,24,1000,24,3,20.126418896
strategies,100000,24,1000,24,4,20.175519701
strategies,100000,24,1000,24,5,20.188721142
strategies,100000,24,1000,24,6,20.123299113
strategies,100000,24,1000,24,7,20.114752119
super,100000,32,1000,32,1,4.291362559
super,100000,32,1000,32,2,4.222789424
super,100000,32,1000,32,3,4.185189416
super,100000,32,1000,32,4,4.143028194
super,100000,32,1000,32,5,4.094463742
super,100000,32,1000,32,6,4.137849707
super,100000,32,1000,32,7,4.101678745
strategies,100000,32,1000,32,1,20.038837345
strategies,100000,32,1000,32,2,20.1520576
strategies,100000,32,1000,32,3,20.146120736
strategies,100000,32,1000,32,4,20.218301875
strategies,100000,32,1000,32,5,20.212578898
strategies,100000,32,1000,32,6,20.18061185
strategies,100000,32,1000,32,7,20.182569518
super,100000,48,1000,48,1,4.860448871
super,100000,48,1000,48,2,5.666284981
super,100000,48,1000,48,3,5.203918270
super,100000,48,1000,48,4,5.384447133
super,100000,48,1000,48,5,5.719042436
super,100000,48,1000,48,6,4.499582556
super,100000,48,1000,48,7,5.942818719
strategies,100000,48,1000,48,1,19.983325643
strategies,100000,48,1000,48,2,20.298695037
strategies,100000,48,1000,48,3,20.223352475
strategies,100000,48,1000,48,4,20.236243547
strategies,100000,48,1000,48,5,20.221508437
strategies,100000,48,1000,48,6,20.178693266
strategies,100000,48,1000,48,7,20.170290914
ribault_c,100000,2,1000,2,1,4.346522257
ribault_c,100000,2,1000,2,2,3.504657903
ribault_c,100000,2,1000,2,3,3.579077220
ribault_c,100000,2,1000,2,4,3.593087941
ribault_c,100000,2,1000,2,5,3.539347003
ribault_c,100000,2,1000,2,6,3.574256346
ribault_c,100000,2,1000,2,7,3.577504236
ribault_c,100000,4,1000,4,1,2.112191397
ribault_c,100000,4,1000,4,2,1.936311233
