LCS WAVEFRONT — median speedup with 95% bootstrap CI (10000 paired resamples)
Format: median× [lo×, hi×]

=== N=100000 (SEQ Haskell median = 50.04s; n=14 reps) ===
   P |                 Ribault-Hs |                  Ribault-C |               Ribault-Rust |                  GHC Strat |                     Sucuri |                     Timely |                 Timely-Reb
   2 |  2.09× [ 2.07,  2.13] | 13.99× [13.84, 14.22] |  9.10× [ 8.89,  9.34] |  1.55× [ 1.52,  1.57] |  3.24× [ 3.03,  3.32] |  9.20× [ 9.09,  9.31] |  8.57× [ 8.45,  8.66]
   3 |  2.88× [ 2.84,  2.92] | 21.15× [20.93, 21.38] | 13.83× [13.57, 14.03] |  1.64× [ 1.54,  1.67] |  5.19× [ 5.13,  5.26] |  2.34× [ 2.32,  2.37] |  6.82× [ 6.58,  6.92]
   4 |  3.38× [ 3.32,  3.42] | 25.52× [25.21, 25.96] | 16.89× [16.65, 17.34] |  1.88× [ 1.81,  1.98] |  5.78× [ 5.72,  5.91] | 17.36× [16.99, 17.76] | 16.07× [15.87, 16.39]
   7 |  5.68× [ 5.59,  5.85] | 41.15× [39.71, 41.63] | 28.39× [27.88, 28.83] |  2.45× [ 2.34,  2.51] |  7.21× [ 7.04,  7.62] | 13.94× [13.81, 14.18] | 14.73× [14.46, 14.98]
   8 |  6.10× [ 6.05,  6.44] | 43.01× [33.15, 43.82] | 29.61× [25.83, 30.61] |  2.44× [ 2.42,  2.47] |  6.67× [ 6.51,  6.84] | 24.62× [24.23, 24.88] | 29.75× [29.01, 30.19]
  13 |  6.59× [ 6.51,  6.69] | 46.08× [40.74, 46.97] | 35.12× [33.96, 36.34] |  2.49× [ 2.47,  2.51] |  7.12× [ 6.02,  7.20] | 43.32× [42.84, 43.81] | 43.39× [41.48, 43.81]
  16 |  7.99× [ 7.91,  8.28] | 37.48× [36.03, 38.77] | 32.74× [30.37, 35.02] |  2.49× [ 2.47,  2.51] |  6.73× [ 5.74,  6.81] | 48.87× [42.71, 50.23] | 48.20× [44.65, 49.02]
  19 |  9.91× [ 8.63, 10.80] | 40.73× [38.48, 41.49] | 33.31× [31.75, 35.30] |  2.49× [ 2.47,  2.51] |  6.73× [ 6.58,  6.80] | 33.14× [32.82, 33.44] | 32.67× [32.39, 32.96]
  23 | 11.90× [11.74, 12.32] | 36.83× [35.39, 37.55] | 32.60× [31.59, 34.18] |  2.48× [ 2.47,  2.51] |  6.59× [ 5.73,  6.66] | 38.94× [38.32, 39.28] | 34.11× [33.44, 34.42]
  24 | 12.74× [12.27, 12.95] | 30.35× [28.81, 30.85] | 27.91× [27.20, 31.48] |  2.49× [ 2.47,  2.51] |  6.50× [ 6.44,  6.56] | 24.14× [23.79, 24.45] | 58.10× [57.57, 58.89]
  32 | 12.08× [11.78, 12.26] | 22.32× [20.77, 23.33] | 20.51× [19.94, 21.13] |  2.48× [ 2.46,  2.50] |  6.28× [ 5.60,  6.40] | 57.18× [56.20, 58.03] | 54.39× [53.55, 55.49]
  48 |  9.29× [ 8.70, 10.37] | 18.11× [15.80, 28.73] | 13.09× [10.78, 18.26] |  2.47× [ 2.46,  2.50] |  5.83× [ 5.65,  5.90] | 14.23× [13.90, 14.42] | 17.97× [17.54, 18.71]

=== N=200000 (SEQ Haskell median = 195.01s; n=14 reps) ===
   P |                 Ribault-Hs |                  Ribault-C |               Ribault-Rust |                  GHC Strat |                     Sucuri |                     Timely |                 Timely-Reb
   2 |  2.19× [ 2.14,  2.22] | 14.35× [13.94, 14.87] |  9.18× [ 8.91,  9.33] |  1.50× [ 1.46,  1.52] |  3.01× [ 2.95,  3.08] |  8.79× [ 8.57,  8.93] |  8.35× [ 8.18,  8.68]
   3 |  2.84× [ 2.77,  2.89] | 20.52× [20.00, 20.85] | 13.18× [12.84, 13.40] |  1.88× [ 1.81,  1.90] |  4.85× [ 4.75,  4.93] | 11.82× [11.29, 12.33] | 11.85× [11.15, 12.16]
   4 |  3.58× [ 3.44,  3.67] | 26.12× [25.50, 26.80] | 17.30× [16.85, 17.62] |  2.31× [ 2.25,  2.35] |  5.85× [ 5.70,  5.97] | 15.95× [15.31, 16.32] | 15.75× [15.40, 16.38]
   7 |  4.87× [ 4.60,  5.02] | 42.46× [41.36, 43.10] | 27.98× [27.33, 28.96] |  2.71× [ 2.65,  2.78] |  6.97× [ 6.62,  7.21] | 14.17× [13.77, 14.80] | 14.10× [13.65, 14.38]
   8 |  5.81× [ 5.67,  5.90] | 45.94× [44.94, 46.58] | 30.58× [29.85, 31.27] |  2.60× [ 2.53,  2.64] |  6.92× [ 6.60,  7.15] | 29.14× [27.81, 29.87] | 28.38× [27.57, 28.85]
  13 |  7.20× [ 6.93,  7.30] | 61.82× [58.17, 62.81] | 45.21× [44.23, 46.11] |  4.21× [ 4.09,  4.30] |  7.08× [ 6.76,  7.28] | 41.71× [40.12, 42.86] | 43.04× [40.67, 43.95]
  16 |  9.29× [ 8.99,  9.54] | 68.38× [64.86, 69.62] | 50.72× [49.26, 51.53] |  4.81× [ 4.72,  4.89] |  6.82× [ 6.67,  6.95] | 50.68× [49.10, 52.04] | 41.35× [38.31, 42.00]
  19 |  9.38× [ 9.15,  9.61] | 66.10× [64.19, 68.59] | 51.64× [50.53, 52.59] |  4.85× [ 4.75,  4.92] |  6.71× [ 6.57,  6.83] | 58.01× [56.19, 58.82] | 48.57× [47.43, 58.16]
  23 | 11.08× [10.69, 11.28] | 66.62× [63.65, 68.27] | 52.94× [51.85, 54.73] |  4.85× [ 4.75,  4.92] |  6.63× [ 6.49,  6.97] | 39.49× [38.49, 40.04] | 38.74× [37.82, 39.26]
  24 | 12.29× [11.63, 12.58] | 60.97× [58.83, 61.94] | 52.20× [50.22, 54.50] |  4.85× [ 4.74,  4.91] |  6.64× [ 6.50,  6.78] | 35.82× [34.58, 36.34] | 35.52× [34.76, 36.03]
  32 | 13.85× [13.57, 14.16] | 43.64× [41.73, 44.57] | 42.40× [41.16, 43.15] |  4.84× [ 4.74,  4.91] |  6.52× [ 6.18,  6.79] | 60.11× [58.83, 60.97] | 62.07× [58.19, 63.08]
  48 | 13.23× [12.71, 14.40] | 34.10× [28.52, 36.90] | 24.82× [22.42, 29.08] |  4.82× [ 4.72,  4.89] |  6.36× [ 5.96,  6.49] | 34.97× [33.44, 35.95] | 35.04× [34.17, 35.92]

=== N=300000 (SEQ Haskell median = 587.24s; n=14 reps) ===
   P |                 Ribault-Hs |                  Ribault-C |               Ribault-Rust |                  GHC Strat |                     Sucuri |                     Timely |                 Timely-Reb
   2 |  2.68× [ 2.63,  2.73] | 19.33× [19.13, 19.57] | 11.86× [11.71, 12.03] |  1.97× [ 1.94,  2.00] |  4.27× [ 4.18,  4.38] | 11.32× [11.11, 11.44] | 11.39× [11.01, 11.59]
   3 |  3.47× [ 3.43,  3.52] | 28.13× [27.40, 28.38] | 17.94× [17.50, 18.21] |  2.77× [ 2.72,  2.80] |  6.79× [ 6.61,  6.94] | 16.40× [15.90, 16.56] | 17.16× [16.64, 17.42]
   4 |  4.48× [ 4.37,  4.52] | 35.85× [35.31, 36.59] | 22.83× [22.56, 23.48] |  3.29× [ 3.25,  3.36] |  8.42× [ 8.27,  8.60] | 20.69× [20.37, 21.13] | 21.68× [21.38, 22.04]
   7 |  6.15× [ 6.06,  6.30] | 59.54× [58.66, 60.38] | 37.46× [36.83, 37.81] |  5.09× [ 4.27,  5.26] | 10.18× [ 9.98, 10.42] | 18.96× [18.39, 19.27] | 19.80× [19.30, 20.07]
   8 |  7.40× [ 7.26,  7.62] | 63.66× [62.82, 64.39] | 41.29× [40.86, 41.65] |  4.40× [ 4.26,  4.51] |  9.70× [ 9.47,  9.80] | 37.31× [36.72, 37.64] | 40.48× [39.39, 40.85]
  13 |  9.26× [ 9.07,  9.42] | 93.41× [91.87, 94.90] | 62.81× [62.03, 63.56] |  6.28× [ 6.17,  6.40] |  9.98× [ 9.87, 10.14] | 57.64× [56.85, 59.08] | 59.36× [54.47, 59.86]
  16 | 12.33× [12.17, 12.52] | 101.81× [100.07, 103.10] | 72.18× [71.41, 73.07] |  7.23× [ 7.14,  7.48] |  9.69× [ 9.59,  9.81] | 68.23× [67.23, 68.86] | 68.93× [65.16, 69.81]
