variant,N,P,rep,seconds,rc
super,1000,2,1,1.426388,0
super,1000,2,2,1.424086,0
super,1000,2,3,1.427198,0
super,1000,2,4,1.423727,0
super,1000,2,5,1.425674,0
super,1000,2,6,1.422320,0
super,1000,2,7,1.400438,0
super,1000,2,8,1.431653,0
super,1000,2,9,1.429755,0
super,1000,2,10,1.429225,0
super,1000,4,1,1.534512,0
super,1000,4,2,1.538695,0
super,1000,4,3,1.540896,0
super,1000,4,4,1.526760,0
super,1000,4,5,1.538876,0
super,1000,4,6,1.540925,0
super,1000,4,7,1.548707,0
super,1000,4,8,1.538883,0
super,1000,4,9,1.534472,0
super,1000,4,10,1.531766,0
super,1000,6,1,1.598909,0
super,1000,6,2,1.587027,0
super,1000,6,3,1.588312,0
super,1000,6,4,1.593414,0
super,1000,6,5,1.588490,0
super,1000,6,6,1.586441,0
super,1000,6,7,1.584462,0
super,1000,6,8,1.581803,0
super,1000,6,9,1.570772,0
super,1000,6,10,1.579209,0
super,1000,8,1,1.644299,0
super,1000,8,2,1.598340,0
super,1000,8,3,1.627814,0
super,1000,8,4,1.626542,0
super,1000,8,5,1.636252,0
super,1000,8,6,1.587392,0
super,1000,8,7,1.637330,0
super,1000,8,8,1.617703,0
super,1000,8,9,1.608995,0
super,1000,8,10,1.626978,0
super,2000,2,1,1.514662,0
super,2000,2,2,1.505006,0
super,2000,2,3,1.498568,0
super,2000,2,4,1.511813,0
super,2000,2,5,1.508046,0
super,2000,2,6,1.517533,0
super,2000,2,7,1.509543,0
super,2000,2,8,1.507328,0
super,2000,2,9,1.507544,0
super,2000,2,10,1.507253,0
super,2000,4,1,1.681147,0
super,2000,4,2,1.686938,0
super,2000,4,3,1.674132,0
super,2000,4,4,1.675907,0
super,2000,4,5,1.683323,0
super,2000,4,6,1.686323,0
super,2000,4,7,1.659423,0
super,2000,4,8,1.682977,0
super,2000,4,9,1.691852,0
super,2000,4,10,1.677562,0
super,2000,6,1,1.743230,0
super,2000,6,2,1.737484,0
super,2000,6,3,1.729064,0
super,2000,6,4,1.743219,0
super,2000,6,5,1.753853,0
super,2000,6,6,1.749009,0
super,2000,6,7,1.750472,0
super,2000,6,8,1.723062,0
super,2000,6,9,1.745714,0
super,2000,6,10,1.724380,0
super,2000,8,1,1.782712,0
super,2000,8,2,1.770123,0
super,2000,8,3,1.779440,0
super,2000,8,4,1.761269,0
super,2000,8,5,1.796592,0
super,2000,8,6,1.780824,0
super,2000,8,7,1.768174,0
super,2000,8,8,1.800756,0
super,2000,8,9,1.791486,0
super,2000,8,10,1.764113,0
super,3000,2,1,1.591949,0
super,3000,2,2,1.606914,0
super,3000,2,3,1.593583,0
super,3000,2,4,1.588342,0
super,3000,2,5,1.595537,0
super,3000,2,6,1.589263,0
super,3000,2,7,1.593397,0
super,3000,2,8,1.594474,0
