variant,N,cutoff,P,rep,seconds,checksum,expected
seq_haskell,3000000,512,1,1,0.886849605,3299331579,3299331579
seq_haskell,3000000,512,1,2,0.886032814,3299331579,3299331579
seq_haskell,3000000,512,1,3,0.579361167,3299331579,3299331579
seq_haskell,3000000,512,1,4,0.512102618,3299331579,3299331579
seq_haskell,3000000,512,1,5,0.541063417,3299331579,3299331579
seq_haskell,3000000,512,1,6,0.51372903,3299331579,3299331579
seq_haskell,3000000,512,1,7,0.516722661,3299331579,3299331579
seq_c,3000000,512,1,1,0.290945,3299331579,3299331579
seq_c,3000000,512,1,2,0.287436,3299331579,3299331579
seq_c,3000000,512,1,3,0.290924,3299331579,3299331579
seq_c,3000000,512,1,4,0.284766,3299331579,3299331579
seq_c,3000000,512,1,5,0.285095,3299331579,3299331579
seq_c,3000000,512,1,6,0.292385,3299331579,3299331579
seq_c,3000000,512,1,7,0.288489,3299331579,3299331579
seq_rust,3000000,512,1,1,0.235558916,3299331579,3299331579
seq_rust,3000000,512,1,2,0.233869218,3299331579,3299331579
seq_rust,3000000,512,1,3,0.232761555,3299331579,3299331579
seq_rust,3000000,512,1,4,0.223197467,3299331579,3299331579
seq_rust,3000000,512,1,5,0.227438021,3299331579,3299331579
seq_rust,3000000,512,1,6,0.22478304,3299331579,3299331579
seq_rust,3000000,512,1,7,0.231823484,3299331579,3299331579
ribault_c,3000000,512,2,1,0.252827835,3299331579,3299331579
ribault_c,3000000,512,2,2,0.240162023,3299331579,3299331579
ribault_c,3000000,512,2,3,0.199269123,3299331579,3299331579
ribault_c,3000000,512,2,4,0.204440425,3299331579,3299331579
ribault_c,3000000,512,2,5,0.194960256,3299331579,3299331579
ribault_c,3000000,512,2,6,0.197098557,3299331579,3299331579
ribault_c,3000000,512,2,7,0.196754035,3299331579,3299331579
ribault_rust,3000000,512,2,1,0.225607876,3299331579,3299331579
ribault_rust,3000000,512,2,2,0.182093468,3299331579,3299331579
ribault_rust,3000000,512,2,3,0.186005519,3299331579,3299331579
ribault_rust,3000000,512,2,4,0.186611137,3299331579,3299331579
ribault_rust,3000000,512,2,5,0.193047947,3299331579,3299331579
ribault_rust,3000000,512,2,6,0.188948804,3299331579,3299331579
ribault_rust,3000000,512,2,7,0.186272381,3299331579,3299331579
ribault_hs,3000000,512,2,1,0.266991607,3299331579,3299331579
ribault_hs,3000000,512,2,2,0.270107832,3299331579,3299331579
ribault_hs,3000000,512,2,3,0.277693458,3299331579,3299331579
ribault_hs,3000000,512,2,4,0.268878222,3299331579,3299331579
ribault_hs,3000000,512,2,5,0.221805041,3299331579,3299331579
ribault_hs,3000000,512,2,6,0.223887963,3299331579,3299331579
ribault_hs,3000000,512,2,7,0.227592517,3299331579,3299331579
strategies,3000000,512,2,1,0.284414899,3299331579,3299331579
strategies,3000000,512,2,2,0.296979513,3299331579,3299331579
strategies,3000000,512,2,3,0.297029265,3299331579,3299331579
strategies,3000000,512,2,4,0.303241424,3299331579,3299331579
strategies,3000000,512,2,5,0.284875057,3299331579,3299331579
strategies,3000000,512,2,6,0.301022267,3299331579,3299331579
strategies,3000000,512,2,7,0.282817038,3299331579,3299331579
parpseq,3000000,512,2,1,0.353704882,3299331579,3299331579
parpseq,3000000,512,2,2,0.352047384,3299331579,3299331579
parpseq,3000000,512,2,3,0.349831862,3299331579,3299331579
parpseq,3000000,512,2,4,0.356282686,3299331579,3299331579
parpseq,3000000,512,2,5,0.360477757,3299331579,3299331579
parpseq,3000000,512,2,6,0.366922812,3299331579,3299331579
parpseq,3000000,512,2,7,0.362472356,3299331579,3299331579
sucuri,3000000,512,2,1,0.8053395785391331,3299331579,3299331579
sucuri,3000000,512,2,2,0.7901096828281879,3299331579,3299331579
sucuri,3000000,512,2,3,0.7369811087846756,3299331579,3299331579
sucuri,3000000,512,2,4,0.5583905652165413,3299331579,3299331579
sucuri,3000000,512,2,5,0.5638143345713615,3299331579,3299331579
sucuri,3000000,512,2,6,0.5730369351804256,3299331579,3299331579
sucuri,3000000,512,2,7,0.5732724107801914,3299331579,3299331579
ribault_c,3000000,512,3,1,0.205870027,3299331579,3299331579
ribault_c,3000000,512,3,2,0.194020459,3299331579,3299331579
ribault_c,3000000,512,3,3,0.176950618,3299331579,3299331579
ribault_c,3000000,512,3,4,0.173634936,3299331579,3299331579
ribault_c,3000000,512,3,5,0.179564773,3299331579,3299331579
ribault_c,3000000,512,3,6,0.178953726,3299331579,3299331579
ribault_c,3000000,512,3,7,0.207833384,3299331579,3299331579
ribault_rust,3000000,512,3,1,0.162351118,3299331579,3299331579
ribault_rust,3000000,512,3,2,0.166264338,3299331579,3299331579
ribault_rust,3000000,512,3,3,0.167741823,3299331579,3299331579
