N,P,mean_seconds,std_seconds,Pref,T_ref,speedup_rel,efficiency_rel
40,2,0.118004,0.002982,2,0.118004,1.000000,1.000000
40,4,0.157923,0.010579,2,0.118004,0.747220,0.373610
40,6,0.194116,0.015817,2,0.118004,0.607901,0.202634
40,8,0.241660,0.013218,2,0.118004,0.488305,0.122076
48,2,0.145898,0.003290,2,0.145898,1.000000,1.000000
48,4,0.183804,0.013171,2,0.145898,0.793772,0.396886
48,6,0.219693,0.009845,2,0.145898,0.664102,0.221367
48,8,0.254601,0.013065,2,0.145898,0.573046,0.143261
56,2,0.179533,0.003888,2,0.179533,1.000000,1.000000
56,4,0.211611,0.012380,2,0.179533,0.848414,0.424207
56,6,0.255900,0.011280,2,0.179533,0.701577,0.233859
56,8,0.294368,0.015896,2,0.179533,0.609894,0.152474
64,2,0.212439,0.014446,2,0.212439,1.000000,1.000000
64,4,0.256686,0.006657,2,0.212439,0.827624,0.413812
64,6,0.296010,0.014906,2,0.212439,0.717675,0.239225
64,8,0.323280,0.025329,2,0.212439,0.657136,0.164284
72,2,0.249346,0.010543,2,0.249346,1.000000,1.000000
72,4,0.299069,0.005552,2,0.249346,0.833741,0.416870
72,6,0.332635,0.010958,2,0.249346,0.749608,0.249869
72,8,0.371424,0.018825,2,0.249346,0.671325,0.167831
80,2,0.294637,0.009027,2,0.294637,1.000000,1.000000
80,4,0.344318,0.007675,2,0.294637,0.855713,0.427856
80,6,0.386646,0.012073,2,0.294637,0.762034,0.254011
80,8,0.417586,0.017738,2,0.294637,0.705572,0.176393
88,2,0.348808,0.007669,2,0.348808,1.000000,1.000000
88,4,0.392459,0.008803,2,0.348808,0.888774,0.444387
88,6,0.433098,0.014352,2,0.348808,0.805378,0.268459
88,8,0.461919,0.017193,2,0.348808,0.755127,0.188782
96,2,0.411632,0.005682,2,0.411632,1.000000,1.000000
96,4,0.432407,0.017320,2,0.411632,0.951954,0.475977
96,6,0.477182,0.017590,2,0.411632,0.862630,0.287543
96,8,0.507969,0.024861,2,0.411632,0.810348,0.202587
104,2,0.464637,0.007790,2,0.464637,1.000000,1.000000
104,4,0.512702,0.008735,2,0.464637,0.906253,0.453126
104,6,0.545293,0.014595,2,0.464637,0.852087,0.284029
104,8,0.593424,0.006284,2,0.464637,0.782977,0.195744
112,2,0.524324,0.008781,2,0.524324,1.000000,1.000000
112,4,0.563435,0.010526,2,0.524324,0.930585,0.465293
112,6,0.601910,0.020912,2,0.524324,0.871101,0.290367
112,8,0.624176,0.020858,2,0.524324,0.840026,0.210007
120,2,0.594432,0.011078,2,0.594432,1.000000,1.000000
120,4,0.640876,0.013603,2,0.594432,0.927531,0.463765
120,6,0.674606,0.016497,2,0.594432,0.881153,0.293718
120,8,0.704582,0.011431,2,0.594432,0.843666,0.210917
128,2,0.678860,0.016177,2,0.678860,1.000000,1.000000
128,4,0.710047,0.013572,2,0.678860,0.956078,0.478039
128,6,0.742437,0.010694,2,0.678860,0.914366,0.304789
128,8,0.836759,0.045029,2,0.678860,0.811297,0.202824
136,2,0.913318,0.021630,2,0.913318,1.000000,1.000000
136,4,0.905763,0.021259,2,0.913318,1.008341,0.504170
136,6,0.904626,0.027317,2,0.913318,1.009609,0.336536
136,8,0.928855,0.040997,2,0.913318,0.983273,0.245818
144,2,1.028283,0.031103,2,1.028283,1.000000,1.000000
144,4,1.016348,0.015841,2,1.028283,1.011743,0.505871
144,6,1.016633,0.035718,2,1.028283,1.011459,0.337153
144,8,1.027918,0.018467,2,1.028283,1.000355,0.250089
152,2,1.142074,0.032361,2,1.142074,1.000000,1.000000
152,4,1.110325,0.028392,2,1.142074,1.028594,0.514297
152,6,1.100764,0.013760,2,1.142074,1.037529,0.345843
152,8,1.111036,0.033626,2,1.142074,1.027936,0.256984
160,2,1.245157,0.036844,2,1.245157,1.000000,1.000000
160,4,1.218059,0.038307,2,1.245157,1.022247,0.511124
160,6,1.197713,0.016827,2,1.245157,1.039612,0.346537
160,8,1.227104,0.028033,2,1.245157,1.014712,0.253678
168,2,1.368191,0.038359,2,1.368191,1.000000,1.000000
168,4,1.343309,0.042530,2,1.368191,1.018523,0.509261
168,6,1.318882,0.036054,2,1.368191,1.037387,0.345796
168,8,1.332348,0.042279,2,1.368191,1.026902,0.256725
176,2,1.471473,0.035614,2,1.471473,1.000000,1.000000
176,4,1.439355,0.031553,2,1.471473,1.022314,0.511157
176,6,1.426843,0.027099,2,1.471473,1.031279,0.343760
176,8,1.441050,0.038669,2,1.471473,1.021112,0.255278
184,2,1.605488,0.032692,2,1.605488,1.000000,1.000000
184,4,1.561107,0.033005,2,1.605488,1.028429,0.514215
184,6,1.569985,0.032649,2,1.605488,1.022614,0.340871
184,8,1.592416,0.036971,2,1.605488,1.008209,0.252052
192,2,1.782388,0.092849,2,1.782388,1.000000,1.000000
192,4,1.690298,0.031781,2,1.782388,1.054482,0.527241
192,6,1.701640,0.044490,2,1.782388,1.047453,0.349151
192,8,1.684254,0.053294,2,1.782388,1.058265,0.264566
200,2,1.896850,0.059420,2,1.896850,1.000000,1.000000
200,4,2.345274,0.820784,2,1.896850,0.808797,0.404399
200,6,1.854108,0.068691,2,1.896850,1.023053,0.341018
200,8,1.816253,0.036229,2,1.896850,1.044375,0.261094
