N,P,rep,seconds,rc
40,2,1,0.116440,0
40,2,2,0.110714,0
40,2,3,0.120202,0
40,2,4,0.120725,0
40,2,5,0.119039,0
40,2,6,0.117966,0
40,2,7,0.118133,0
40,2,8,0.117374,0
40,2,9,0.118172,0
40,2,10,0.121271,0
40,4,1,0.139933,0
40,4,2,0.160298,0
40,4,3,0.168319,0
40,4,4,0.165822,0
40,4,5,0.159866,0
40,4,6,0.161745,0
40,4,7,0.165777,0
40,4,8,0.145366,0
40,4,9,0.167514,0
40,4,10,0.144594,0
40,6,1,0.212906,0
40,6,2,0.185361,0
40,6,3,0.188064,0
40,6,4,0.194791,0
40,6,5,0.158293,0
40,6,6,0.199492,0
40,6,7,0.207414,0
40,6,8,0.205212,0
40,6,9,0.204077,0
40,6,10,0.185554,0
40,8,1,0.247913,0
40,8,2,0.227825,0
40,8,3,0.254323,0
40,8,4,0.249510,0
40,8,5,0.221379,0
40,8,6,0.245810,0
40,8,7,0.248984,0
40,8,8,0.219851,0
40,8,9,0.252188,0
40,8,10,0.248815,0
48,2,1,0.145553,0
48,2,2,0.141088,0
48,2,3,0.143217,0
48,2,4,0.150318,0
48,2,5,0.150488,0
48,2,6,0.144653,0
48,2,7,0.147929,0
48,2,8,0.148652,0
48,2,9,0.142543,0
48,2,10,0.144541,0
48,4,1,0.170212,0
48,4,2,0.171241,0
48,4,3,0.187881,0
48,4,4,0.170715,0
48,4,5,0.199345,0
48,4,6,0.195363,0
48,4,7,0.189059,0
48,4,8,0.164330,0
48,4,9,0.194447,0
48,4,10,0.195444,0
48,6,1,0.230593,0
48,6,2,0.233886,0
48,6,3,0.214140,0
48,6,4,0.215811,0
48,6,5,0.212986,0
48,6,6,0.235929,0
48,6,7,0.215560,0
48,6,8,0.214494,0
48,6,9,0.215478,0
48,6,10,0.208048,0
48,8,1,0.254031,0
48,8,2,0.258023,0
48,8,3,0.280291,0
48,8,4,0.252995,0
48,8,5,0.259403,0
48,8,6,0.256759,0
48,8,7,0.256883,0
48,8,8,0.237569,0
48,8,9,0.258361,0
48,8,10,0.231698,0
56,2,1,0.176671,0
56,2,2,0.174106,0
56,2,3,0.176274,0
56,2,4,0.182921,0
56,2,5,0.177988,0
56,2,6,0.180925,0
56,2,7,0.181900,0
56,2,8,0.175644,0
56,2,9,0.185650,0
56,2,10,0.183254,0
56,4,1,0.201094,0
56,4,2,0.223814,0
56,4,3,0.198184,0
56,4,4,0.225414,0
56,4,5,0.223033,0
56,4,6,0.199309,0
56,4,7,0.225538,0
56,4,8,0.218034,0
56,4,9,0.201170,0
56,4,10,0.200515,0
56,6,1,0.263760,0
56,6,2,0.266870,0
56,6,3,0.240895,0
56,6,4,0.268794,0
56,6,5,0.252554,0
56,6,6,0.268603,0
56,6,7,0.246139,0
56,6,8,0.246216,0
56,6,9,0.242889,0
56,6,10,0.262278,0
56,8,1,0.282307,0
56,8,2,0.304878,0
56,8,3,0.289094,0
56,8,4,0.306723,0
56,8,5,0.307586,0
