n,p,rep,elapsed_ms,dir
16,4,1,2.3360070772469044,results/ms/asm_n/N_16/p_4/rep_1
16,4,2,2.4271979928016663,results/ms/asm_n/N_16/p_4/rep_2
24,4,1,2.6283031329512596,results/ms/asm_n/N_24/p_4/rep_1
24,4,2,2.4324110709130764,results/ms/asm_n/N_24/p_4/rep_2
32,4,1,2.8563039377331734,results/ms/asm_n/N_32/p_4/rep_1
32,4,2,2.433568937703967,results/ms/asm_n/N_32/p_4/rep_2
40,4,1,2.726048929616809,results/ms/asm_n/N_40/p_4/rep_1
40,4,2,2.5083599612116814,results/ms/asm_n/N_40/p_4/rep_2
48,4,1,2.6104238349944353,results/ms/asm_n/N_48/p_4/rep_1
48,4,2,2.420544857159257,results/ms/asm_n/N_48/p_4/rep_2
56,4,1,3.231187118217349,results/ms/asm_n/N_56/p_4/rep_1
56,4,2,2.514396095648408,results/ms/asm_n/N_56/p_4/rep_2
