n,p,rep,elapsed_ms,dir
16,4,1,291.49555088952184,results/ms/super_n/N_16/p_4/rep_1
16,4,2,291.59365384839475,results/ms/super_n/N_16/p_4/rep_2
24,4,1,322.3796389065683,results/ms/super_n/N_24/p_4/rep_1
24,4,2,292.81245986931026,results/ms/super_n/N_24/p_4/rep_2
32,4,1,294.4366610608995,results/ms/super_n/N_32/p_4/rep_1
32,4,2,297.24404285661876,results/ms/super_n/N_32/p_4/rep_2
40,4,1,299.1674810182303,results/ms/super_n/N_40/p_4/rep_1
40,4,2,293.27760683372617,results/ms/super_n/N_40/p_4/rep_2
48,4,1,295.6795438658446,results/ms/super_n/N_48/p_4/rep_1
48,4,2,290.70055787451565,results/ms/super_n/N_48/p_4/rep_2
56,4,1,289.91003101691604,results/ms/super_n/N_56/p_4/rep_1
56,4,2,293.16053190268576,results/ms/super_n/N_56/p_4/rep_2
