variant,N,P,rep,seconds,rc
asm,10000,2,1,0.793801,0
asm,10000,2,2,0.792511,0
asm,10000,2,3,0.790127,0
asm,10000,2,4,0.780889,0
asm,10000,2,5,0.780156,0
asm,10000,2,6,0.759350,0
asm,10000,2,7,0.777020,0
asm,10000,2,8,0.789953,0
asm,10000,2,9,0.782179,0
asm,10000,2,10,0.794222,0
asm,10000,4,1,0.855850,0
asm,10000,4,2,0.878395,0
asm,10000,4,3,0.880637,0
asm,10000,4,4,0.888013,0
asm,10000,4,5,0.869450,0
asm,10000,4,6,0.885523,0
asm,10000,4,7,0.881939,0
asm,10000,4,8,0.848799,0
asm,10000,4,9,0.898420,0
asm,10000,4,10,0.901008,0
asm,10000,6,1,0.857647,0
asm,10000,6,2,0.848373,0
asm,10000,6,3,0.864769,0
asm,10000,6,4,0.884567,0
asm,10000,6,5,0.879046,0
asm,10000,6,6,0.863584,0
asm,10000,6,7,0.872764,0
asm,10000,6,8,0.884438,0
asm,10000,6,9,0.892043,0
asm,10000,6,10,0.843505,0
asm,10000,8,1,0.955238,0
asm,10000,8,2,0.951689,0
asm,10000,8,3,0.970193,0
asm,10000,8,4,0.967917,0
asm,10000,8,5,0.963246,0
asm,10000,8,6,0.970366,0
asm,10000,8,7,1.013867,0
asm,10000,8,8,0.957529,0
asm,10000,8,9,0.968581,0
asm,10000,8,10,0.945176,0
asm,10000,10,1,0.957661,0
asm,10000,10,2,1.000204,0
asm,10000,10,3,0.999261,0
asm,10000,10,4,1.015576,0
asm,10000,10,5,0.943904,0
asm,10000,10,6,0.938735,0
asm,10000,10,7,0.993549,0
asm,10000,10,8,0.984017,0
asm,10000,10,9,1.015236,0
asm,10000,10,10,0.958488,0
asm,10000,12,1,1.020601,0
asm,10000,12,2,0.981190,0
asm,10000,12,3,0.965745,0
asm,10000,12,4,0.924079,0
asm,10000,12,5,0.937409,0
asm,10000,12,6,0.978778,0
asm,10000,12,7,0.992001,0
asm,10000,12,8,0.938437,0
asm,10000,12,9,0.971400,0
asm,10000,12,10,1.005801,0
asm,15000,2,1,1.160917,0
asm,15000,2,2,1.145211,0
asm,15000,2,3,1.132116,0
asm,15000,2,4,1.147426,0
asm,15000,2,5,1.117050,0
asm,15000,2,6,1.158179,0
asm,15000,2,7,1.152985,0
asm,15000,2,8,1.142288,0
asm,15000,2,9,1.140723,0
asm,15000,2,10,1.116720,0
asm,15000,4,1,1.266272,0
