variant,N,P,mean_secs,stdev_secs,reps
asm,10000,2,0.7840208,0.010698253313300987,10
asm,10000,4,0.8788034,0.016785557821466,10
asm,10000,6,0.8690735999999999,0.016255843408858647,10
asm,10000,8,0.9663802,0.018768740328298852,10
asm,10000,10,0.9806630999999999,0.028769676144046782,10
asm,10000,12,0.9715441,0.031076685178048773,10
asm,15000,2,1.1413615,0.015409039044592556,10
asm,15000,4,1.2622039,0.017268170014670237,10
asm,15000,6,1.2338911,0.024884752397357275,10
asm,15000,8,1.3600489,0.01478782963152847,10
asm,15000,10,1.382787,0.013757658529787093,10
asm,15000,12,1.3614763,0.02852845706015898,10
asm,20000,2,1.4997011,0.017517750771717196,10
asm,20000,4,1.6790816,0.027790451434500558,10
asm,20000,6,1.6584105,0.023298505394361953,10
asm,20000,8,1.783934,0.02265685464587805,10
asm,20000,10,1.7675988,0.03862854378939086,10
asm,20000,12,1.8009267000000002,0.04590368627911172,10
asm,25000,2,1.8562032,0.0261577040565702,10
asm,25000,4,2.053783,0.022522575735865073,10
asm,25000,6,1.9918856999999999,0.03655992604250366,10
asm,25000,8,2.1675025,0.024382022900535198,10
asm,25000,10,2.1631659,0.015464354859195102,10
asm,25000,12,2.1997608,0.05324783060953957,10
asm,30000,2,2.2250503999999998,0.030281698804540184,10
asm,30000,4,2.4759,0.04155970283553258,10
asm,30000,6,2.3638835,0.023647613406712634,10
asm,30000,8,2.5921203999999998,0.028293259146933883,10
asm,30000,10,2.5554892,0.023248380401414824,10
asm,30000,12,2.6157933,0.05692438221603971,10
asm,35000,2,2.6124817,0.03652166864281471,10
asm,35000,4,2.8406203999999997,0.03112483049199724,10
asm,35000,6,2.7553788,0.04022709183235707,10
asm,35000,8,2.9892066,0.04359958295977916,10
asm,35000,10,2.9445264,0.021397720907714482,10
asm,35000,12,3.0491336,0.0640157691097366,10
asm,40000,2,2.9724882,0.039706560652421674,10
asm,40000,4,3.2162016,0.05535781355308196,10
asm,40000,6,3.1019282,0.027381567968251943,10
asm,40000,8,3.3781033999999996,0.03103975453869153,10
asm,40000,10,3.3256208999999997,0.022138565387877628,10
asm,40000,12,3.4314199000000003,0.06426393771081887,10
asm,45000,2,3.3114849,0.023970562193611173,10
asm,45000,4,3.6209412999999997,0.04280725402195291,10
asm,45000,6,3.4888016,0.03429141920915167,10
asm,45000,8,3.7853017,0.031039564326302463,10
asm,45000,10,3.7188299999999996,0.031560309405609104,10
asm,45000,12,3.8138025,0.08321150869287522,10
asm,50000,2,3.6945939,0.0577537834017055,10
asm,50000,4,4.035894000000001,0.03589004688087096,10
asm,50000,6,3.9519078999999997,0.07375741538079784,10
asm,50000,8,4.1604414,0.026180244855828004,10
asm,50000,10,4.112900000000001,0.022755140098203896,10
asm,50000,12,4.258744699999999,0.10593722855545687,10
asm,55000,2,4.0633354,0.04202448987647292,10
asm,55000,4,4.4033738,0.05130120709604309,10
asm,55000,6,4.1889737,0.05116901283448378,10
asm,55000,8,4.5299259,0.036417268234390454,10
asm,55000,10,4.4822919,0.04424555612199327,10
asm,55000,12,4.7047555,0.11462356937699261,10
asm,60000,2,4.3861524,0.0252308063692868,10
asm,60000,4,4.7904896,0.0351973536069594,10
asm,60000,6,4.5458726,0.04139601656413064,10
asm,60000,8,4.9355215999999995,0.043268026335081845,10
asm,60000,10,4.8745124,0.0468724513741517,10
asm,60000,12,5.1067765000000005,0.08697885149244274,10
asm,65000,2,4.7716244,0.03776157382019159,10
asm,65000,4,5.149838600000001,0.11193358191177473,10
asm,65000,6,5.1083034,0.0741410529691734,10
asm,65000,8,5.3826125000000005,0.04426882214945408,10
asm,65000,10,5.2727848999999996,0.029050034218568464,10
asm,65000,12,5.6397327,0.12174276780166912,10
asm,70000,2,5.1263204,0.06324329532351847,10
asm,70000,4,5.6498384,0.1026666124796393,10
asm,70000,6,5.3397504,0.08324066395591899,10
asm,70000,8,5.7379622,0.061095548960987685,10
asm,70000,10,5.6448666,0.03864746034548119,10
asm,70000,12,5.8946174,0.06413067679044097,10
asm,75000,2,5.488063,0.05238772240388661,10
asm,75000,4,6.0115095,0.09368214487445181,10
asm,75000,6,5.7121999,0.08122744957962867,10
asm,75000,8,6.1788595,0.07615869184399703,10
asm,75000,10,6.0182595999999995,0.04262635576781641,10
asm,75000,12,6.2945724,0.15108929108032615,10
asm,80000,2,5.8738983,0.03875788470907837,10
asm,80000,4,6.4093833,0.17503510742518044,10
asm,80000,6,6.3818378000000004,0.11940552467750867,10
asm,80000,8,6.5660322,0.06884124999639869,10
asm,80000,10,6.433733599999999,0.028324047698809585,10
asm,80000,12,6.775498799999999,0.09226231369404189,10
asm,85000,2,6.2668419,0.09722021670579756,10
asm,85000,4,6.7685946,0.14701271214588513,10
asm,85000,6,6.4238006,0.07860015086103703,10
asm,85000,8,6.936035200000001,0.07706339632017262,10
asm,85000,10,6.826635400000001,0.032631841485137,10
asm,85000,12,7.2096313,0.10340068738655044,10
asm,90000,2,6.6126165,0.05282653527084872,10
asm,90000,4,7.1832808,0.09871492963275634,10
asm,90000,6,6.7575425,0.035519343309901856,10
asm,90000,8,7.415835599999999,0.05435014012493434,10
asm,90000,10,7.2024237,0.021989160410681167,10
asm,90000,12,7.5130161,0.08452141449945619,10
asm,95000,2,6.9498763,0.07295268626392197,10
asm,95000,4,7.615981700000001,0.12064090674490703,10
asm,95000,6,7.488609200000001,0.21563756322011965,10
asm,95000,8,7.7789817,0.08312453401313,10
asm,95000,10,7.621468899999999,0.06205640932508275,10
asm,95000,12,7.9548654,0.11952676563589319,10
asm,100000,2,7.2308511,0.044679770531714465,10
asm,100000,4,7.8879531,0.10941504199905776,10
asm,100000,6,7.6016656,0.1336009391028204,10
asm,100000,8,8.1212257,0.09086549053536935,10
asm,100000,10,8.0071116,0.06198757882601255,10
asm,100000,12,8.5879773,0.0880304290749635,10
super,10000,2,1.0562464999999999,0.00866066206412006,10
super,10000,4,1.1508568000000001,0.018161092929667014,10
super,10000,6,0.8218829,0.011792028375606603,10
super,10000,8,1.2520911,0.01834383759952586,10
super,10000,10,1.2512572,0.019664567372702453,10
super,10000,12,0.86829,0.04025098445724996,10
super,15000,2,1.4112870000000002,0.011489376590766105,10
super,15000,4,1.5347583,0.017438948592478614,10
super,15000,6,1.1945885,0.015392069287280504,10
super,15000,8,1.6426068999999999,0.015159882962389024,10
super,15000,10,1.6522077,0.019387772893988835,10
super,15000,12,1.2268705,0.01427184208502885,10
super,20000,2,1.7563400999999998,0.014266496404357856,10
super,20000,4,1.9171600999999998,0.02469986797288149,10
super,20000,6,1.5972431,0.027872697598785336,10
super,20000,8,2.3104243,0.2503486521105449,10
super,20000,10,2.1650929000000003,0.3449143952771953,10
super,20000,12,1.6359783,0.05995529847413174,10
super,25000,2,2.1419614,0.02866260154200175,10
super,25000,4,2.3388859,0.047211101863980136,10
super,25000,6,1.8996477999999999,0.07552899297591328,10
super,25000,8,5.7508906,1.2958994967830215,10
super,25000,10,4.8224453,2.017647930540358,10
super,25000,12,2.0916342,0.04784437136243582,10
super,30000,2,2.491977,0.03017802890993523,10
super,30000,4,2.6945613,0.043228170110730144,10
super,30000,6,2.2966646,0.025989838190253405,10
super,30000,8,3.4876829000000003,0.4477641115506766,10
super,30000,10,3.0659832000000002,0.1595568627876038,10
super,30000,12,2.2070976,0.0842349754927647,10
super,35000,2,2.9114579,0.04460287511273477,10
super,35000,4,3.1305679,0.08409742149759676,10
super,35000,6,2.7887776,0.0988866302334817,10
super,35000,8,4.5137465,0.08266442314193516,10
super,35000,10,3.9165652,0.047601484145396646,10
super,35000,12,2.5817336,0.049956976285599995,10
super,40000,2,3.2948402999999997,0.08509368050834068,10
super,40000,4,3.4812531,0.04487578353249722,10
super,40000,6,2.991371,0.11877918527811736,10
super,40000,8,4.2822766,0.23120362260772062,10
super,40000,10,4.0555658,0.3325325187729932,10
super,40000,12,3.0447376,0.13808306547485583,10
super,45000,2,3.7143098,0.080500435358105,10
super,45000,4,4.0736930000000005,0.15090083605025736,10
super,45000,6,3.3947431000000003,0.1341510111109864,10
super,45000,8,7.2605419,2.5165880627059085,10
super,45000,10,5.0290396,0.18759064898703717,10
super,45000,12,3.3130862,0.06252403194825695,10
super,50000,2,4.0675152,0.04448954370985499,10
super,50000,4,4.276787799999999,0.058541857015681084,10
super,50000,6,3.7477683999999996,0.08282505964206194,10
super,50000,8,5.1983545,1.0725753598357188,10
super,50000,10,4.3919011,0.04095301156867995,10
super,50000,12,4.2145696,0.06544623233905651,10
super,55000,2,4.3033328,0.039255765704755634,10
super,55000,4,4.6243437,0.04751850524222698,10
super,55000,6,4.1378691000000005,0.03439351139855038,10
super,55000,8,6.042351,0.879646500964134,10
super,55000,10,5.4589123,0.5155931519606111,10
super,55000,12,4.0462507,0.10972194663587892,10
super,60000,2,4.7607069,0.050897710097912205,10
super,60000,4,5.234108600000001,0.0738766827718853,10
super,60000,6,4.5802858,0.12210520331055151,10
super,60000,8,8.5739948,0.24579624016507823,10
super,60000,10,5.8866686,0.6307603052993884,10
super,60000,12,4.9240618,0.12368272685994233,10
super,65000,2,5.010706000000001,0.030349986879001197,10
super,65000,4,5.4042037999999994,0.10668563767734726,10
super,65000,6,5.0113119,0.06786797688560081,10
super,65000,8,5.6518011999999995,0.06464816012471741,10
super,65000,10,5.555937999999999,0.030696020404389006,10
super,65000,12,5.4867951,0.15564615066693205,10
super,70000,2,5.3465736999999995,0.022816410887536442,10
super,70000,4,5.7776362,0.05466589748198698,10
super,70000,6,5.2864052,0.07689670419725407,10
super,70000,8,6.093490699999999,0.03015329474921986,10
super,70000,10,5.9346327,0.025511432587719984,10
super,70000,12,5.9154922,0.07485065554051251,10
super,75000,2,5.7101994,0.050112939928392386,10
super,75000,4,6.1922805,0.05283192402589341,10
super,75000,6,5.6416846,0.12391032971844322,10
super,75000,8,6.3982366,0.05235963045706103,10
super,75000,10,6.300226,0.02625458215668668,10
super,75000,12,6.0603009,0.07180685476014413,10
super,80000,2,6.1394889,0.11070938717445979,10
super,80000,4,6.5829869,0.07685696663926359,10
super,80000,6,6.1335959,0.1588236077942024,10
super,80000,8,10.6115196,0.49962186757658156,10
super,80000,10,7.1535022,0.7101215854246058,10
super,80000,12,6.698988299999999,0.09082794946496987,10
super,85000,2,6.4460566,0.04343351265043558,10
super,85000,4,6.9881916,0.07616187363212357,10
super,85000,6,6.3889602,0.07877037615161342,10
super,85000,8,7.3190916,0.061670874256815826,10
super,85000,10,7.1179437000000005,0.027217662982580527,10
super,85000,12,7.0818325,0.11335057726486354,10
super,90000,2,6.7669722000000005,0.04250015370900321,10
super,90000,4,7.3890822,0.049850858714993236,10
super,90000,6,6.744757300000001,0.047013166295434866,10
super,90000,8,7.653806400000001,0.06328687556445729,10
super,90000,10,7.474430700000001,0.03273606901687768,10
super,90000,12,7.3634441,0.15441774876645503,10
super,95000,2,7.123387200000001,0.05938963022241806,10
super,95000,4,7.8218719,0.04506728088449783,10
super,95000,6,7.2725358,0.08673814834802747,10
super,95000,8,8.106688,0.05332271447412329,10
super,95000,10,7.856721,0.0399082876104701,10
super,95000,12,7.9635459,0.14379215288854347,10
super,100000,2,7.5867226,0.10636771706804025,10
super,100000,4,8.1797878,0.05215106072171494,10
super,100000,6,7.4159048,0.07105400559949697,10
super,100000,8,8.512904899999999,0.054308305594489355,10
super,100000,10,8.253506699999999,0.0364293566724241,10
super,100000,12,8.4446626,0.19495099837491936,10
