variant,N,cutoff,P,rep,seconds
super,15,1,1,1,34.484624916
super,15,1,1,2,34.927006436
super,15,1,1,3,35.138869574
ghc,15,1,1,1,34.775212989
ghc,15,1,1,2,34.080767871
ghc,15,1,1,3,34.101345693
parpseq,15,1,1,1,33.89581625
parpseq,15,1,1,2,34.148229143
parpseq,15,1,1,3,34.227019238
super,15,2,4,1,14.255365060
super,15,2,4,2,14.234559624
super,15,2,4,3,13.989774982
ghc,15,2,4,1,10.254651881
ghc,15,2,4,2,10.649647865
ghc,15,2,4,3,10.599611247
parpseq,15,2,4,1,10.853035073
parpseq,15,2,4,2,10.707650185
parpseq,15,2,4,3,10.362006094
super,15,2,8,1,7.840559680
super,15,2,8,2,7.797550763
super,15,2,8,3,8.209498919
ghc,15,2,8,1,7.738258806
ghc,15,2,8,2,7.814569542
ghc,15,2,8,3,7.536118381
parpseq,15,2,8,1,7.821679157
parpseq,15,2,8,2,7.830507586
parpseq,15,2,8,3,7.909102274
super,15,2,12,1,6.304869888
super,15,2,12,2,6.092799651
super,15,2,12,3,6.284366951
ghc,15,2,12,1,7.543172097
ghc,15,2,12,2,7.595268769
ghc,15,2,12,3,7.597207753
parpseq,15,2,12,1,7.444081145
parpseq,15,2,12,2,7.221203985
parpseq,15,2,12,3,7.259391054
super,15,2,16,1,7.096899866
super,15,2,16,2,6.721611376
super,15,2,16,3,6.952488011
ghc,15,2,16,1,7.769913236
ghc,15,2,16,2,7.737127878
ghc,15,2,16,3,7.718184375
parpseq,15,2,16,1,7.596275853
parpseq,15,2,16,2,7.709736551
parpseq,15,2,16,3,7.419446521
super,15,2,24,1,9.239968966
super,15,2,24,2,6.153794481
super,15,2,24,3,6.304539989
ghc,15,2,24,1,7.772655726
ghc,15,2,24,2,7.67153452
ghc,15,2,24,3,7.521320719
parpseq,15,2,24,1,7.437180581
parpseq,15,2,24,2,7.844077608
parpseq,15,2,24,3,7.860940112
