variant,N,cutoff,P,rep,seconds
super,14,1,1,1,5.382547329
super,14,1,1,2,5.665999016
super,14,1,1,3,5.248148378
ghc,14,1,1,1,5.199548726
ghc,14,1,1,2,5.200572905
ghc,14,1,1,3,5.161715843
parpseq,14,1,1,1,5.13166298
parpseq,14,1,1,2,5.027908949
parpseq,14,1,1,3,5.075880734
super,14,2,4,1,2.128159016
super,14,2,4,2,2.858752917
super,14,2,4,3,2.209145440
ghc,14,2,4,1,1.437042992
ghc,14,2,4,2,1.496851302
ghc,14,2,4,3,1.496570437
parpseq,14,2,4,1,1.499290902
parpseq,14,2,4,2,1.463179197
parpseq,14,2,4,3,1.449721291
super,14,2,8,1,1.383047785
super,14,2,8,2,1.913499438
super,14,2,8,3,1.181151301
ghc,14,2,8,1,0.996325659
ghc,14,2,8,2,0.990437019
ghc,14,2,8,3,1.121265115
parpseq,14,2,8,1,1.126369956
parpseq,14,2,8,2,1.097977336
parpseq,14,2,8,3,1.088951568
super,14,2,12,1,1.004929413
super,14,2,12,2,0.948513517
super,14,2,12,3,0.984146819
ghc,14,2,12,1,1.14937212
ghc,14,2,12,2,1.127996249
ghc,14,2,12,3,1.156965661
parpseq,14,2,12,1,1.140902993
parpseq,14,2,12,2,1.080619853
parpseq,14,2,12,3,1.157721202
super,14,2,16,1,1.147003030
super,14,2,16,2,1.199747769
super,14,2,16,3,1.288045716
ghc,14,2,16,1,1.238320529
ghc,14,2,16,2,1.195735525
ghc,14,2,16,3,1.178406866
parpseq,14,2,16,1,1.188546269
parpseq,14,2,16,2,1.196551878
parpseq,14,2,16,3,1.231885493
super,14,2,24,1,1.100818216
super,14,2,24,2,1.135643855
super,14,2,24,3,1.063753534
ghc,14,2,24,1,1.183050951
ghc,14,2,24,2,1.177182316
ghc,14,2,24,3,1.170915538
parpseq,14,2,24,1,1.203410259
parpseq,14,2,24,2,1.146940962
parpseq,14,2,24,3,1.265721059
